"","X2","X1"
"1",1,0
"2",0.125,0.875
"3",0,1
"4",0,1
"5",1,0
"6",1,0
"7",1,0
"8",0,1
"9",0,1
"10",1,0
"11",0,1
"12",0,1
"13",0,1
"14",1,0
"15",0,1
"16",1,0
"17",1,0
"18",1,0
"19",0,1
"20",0.75,0.25
"21",0,1
"22",0,1
"23",0.8,0.2
"24",0,1
"25",1,0
"26",1,0
"27",1,0
"28",0,1
"29",0.833333333333333,0.166666666666667
"30",0,1
"31",0,1
"32",1,0
"33",0.333333333333333,0.666666666666667
"34",0,1
"35",0,1
"36",0,1
"37",1,0
"38",0,1
"39",0,1
"40",1,0
"41",0,1
"42",1,0
"43",0.333333333333333,0.666666666666667
"44",0,1
"45",0.25,0.75
"46",0.333333333333333,0.666666666666667
"47",1,0
"48",1,0
"49",0,1
"50",1,0
"51",0,1
"52",1,0
"53",0,1
"54",0,1
"55",0,1
"56",0,1
"57",1,0
"58",0,1
"59",1,0
"60",0,1
"61",1,0
"62",1,0
"63",1,0
"64",1,0
"65",1,0
"66",1,0
"67",1,0
"68",0,1
"69",0.818181818181818,0.181818181818182
"70",0,1
"71",0,1
"72",0,1
"73",0,1
"74",0.857142857142857,0.142857142857143
"75",1,0
"76",1,0
"77",1,0
"78",0.166666666666667,0.833333333333333
"79",0,1
"80",1,0
"81",0.0714285714285714,0.928571428571429
"82",1,0
"83",0,1
"84",0.75,0.25
"85",0,1
"86",0,1
"87",1,0
"88",0.333333333333333,0.666666666666667
"89",1,0
"90",1,0
"91",0,1
"92",0,1
"93",0,1
"94",0.5,0.5
"95",1,0
"96",0,1
"97",1,0
"98",1,0
"99",0,1
"100",0,1
"101",0,1
"102",0.428571428571429,0.571428571428571
"103",1,0
"104",1,0
"105",0.333333333333333,0.666666666666667
"106",1,0
"107",1,0
"108",1,0
"109",0,1
