"","X2","X1"
"4",0.11864406779661,0.88135593220339
"7",0.859375,0.140625
"9",0.11864406779661,0.88135593220339
"12",0.11864406779661,0.88135593220339
"23",0.11864406779661,0.88135593220339
"24",0.11864406779661,0.88135593220339
"29",0.859375,0.140625
"30",0.859375,0.140625
"39",0.11864406779661,0.88135593220339
"49",0.11864406779661,0.88135593220339
"50",0.25,0.75
"53",0.11864406779661,0.88135593220339
"94",0.859375,0.140625
"98",0.11864406779661,0.88135593220339
"103",0.666666666666667,0.333333333333333
"105",0.666666666666667,0.333333333333333
"109",0.11864406779661,0.88135593220339
"113",0.859375,0.140625
"114",0.859375,0.140625
"118",0.859375,0.140625
"120",0.859375,0.140625
"123",0.859375,0.140625
"131",0.666666666666667,0.333333333333333
"132",0.859375,0.140625
"139",0.25,0.75
"141",0.11864406779661,0.88135593220339
"143",0.859375,0.140625
"145",0.11864406779661,0.88135593220339
"146",0.859375,0.140625
"147",0.859375,0.140625
"148",0.859375,0.140625
"155",0.11864406779661,0.88135593220339
"156",0.11864406779661,0.88135593220339
"160",0.859375,0.140625
"161",0.859375,0.140625
"166",0.859375,0.140625
"167",0.11864406779661,0.88135593220339
"170",0.859375,0.140625
"171",0.25,0.75
"172",0.859375,0.140625
"173",0.859375,0.140625
"175",0.859375,0.140625
"176",0.859375,0.140625
"182",0.859375,0.140625
"186",0.859375,0.140625
"191",0.859375,0.140625
"192",0.859375,0.140625
"193",0.859375,0.140625
"194",0.859375,0.140625
"195",0.859375,0.140625
"196",0.859375,0.140625
"204",0.859375,0.140625
