"","NO","YES"
"3",0.0421326108644981,0.957867389135502
"4",5.13618839375903e-08,0.999999948638116
"6",0.357923505485318,0.642076494514682
"14",3.07830372022026e-10,0.99999999969217
"18",2.79213524840609e-09,0.999999997207865
"20",5.2525091705927e-08,0.999999947474908
"23",2.75033276068877e-09,0.999999997249667
"25",3.78004713262626e-09,0.999999996219953
"31",2.30121402325435e-09,0.999999997698786
"33",7.76317820138017e-10,0.999999999223682
"39",1.24564455327216e-09,0.999999998754355
"46",9.28985220924567e-10,0.999999999071015
"48",0.000294460378748601,0.999705539621252
"54",0.384639109759633,0.615360890240367
"56",0.290760879898178,0.709239120101822
"58",2.36473723364189e-07,0.999999763526277
"65",1.85630480807429e-07,0.999999814369519
"66",2.24344726440495e-07,0.999999775655274
"71",0.00143122094089721,0.998568779059103
"76",7.98818123105561e-05,0.999920118187689
"80",1.9432158275481e-08,0.999999980567842
"82",0.0958764532325418,0.904123546767458
"83",2.59716374365679e-07,0.999999740283626
"88",4.66424948126074e-06,0.999995335750519
"92",1.04283861226265e-09,0.999999998957161
"95",0.180237463679968,0.819762536320032
