"","NO","YES"
"1",0.5,0.5
"2",0,1
"3",0,1
"4",1,0
"5",1,0
"6",1,0
"7",1,0
"8",1,0
"9",1,0
"10",1,0
"11",0.25,0.75
"12",1,0
"13",1,0
"14",1,0
"15",1,0
"16",0,1
"17",1,0
"18",0,1
"19",1,0
"20",0.25,0.75
"21",0.666666666666667,0.333333333333333
"22",1,0
"23",1,0
"24",1,0
"25",1,0
"26",0,1
"27",0,1
"28",1,0
"29",1,0
"30",0.333333333333333,0.666666666666667
"31",1,0
"32",0.75,0.25
"33",1,0
"34",1,0
"35",1,0
"36",1,0
"37",0,1
"38",1,0
"39",1,0
"40",1,0
"41",1,0
"42",1,0
"43",0.25,0.75
"44",1,0
"45",1,0
"46",1,0
"47",1,0
"48",1,0
"49",1,0
"50",0,1
"51",0,1
"52",0.2,0.8
"53",1,0
"54",0.4,0.6
"55",1,0
"56",0.75,0.25
"57",0,1
"58",0,1
"59",1,0
"60",1,0
"61",1,0
"62",0.666666666666667,0.333333333333333
"63",1,0
"64",1,0
"65",1,0
"66",1,0
"67",1,0
"68",1,0
"69",1,0
"70",0,1
"71",1,0
"72",0,1
"73",1,0
"74",0,1
"75",1,0
"76",1,0
"77",0,1
"78",0.2,0.8
"79",1,0
"80",1,0
"81",1,0
"82",1,0
"83",1,0
"84",1,0
"85",0.666666666666667,0.333333333333333
"86",1,0
"87",1,0
"88",1,0
"89",0,1
"90",1,0
"91",1,0
"92",1,0
"93",1,0
"94",1,0
"95",1,0
"96",1,0
"97",1,0
"98",1,0
"99",1,0
"100",1,0
"101",1,0
"102",1,0
"103",1,0
"104",1,0
"105",1,0
"106",1,0
"107",0,1
"108",0,1
"109",1,0
"110",1,0
"111",1,0
"112",0.75,0.25
"113",0,1
"114",1,0
"115",0,1
"116",0,1
"117",0.666666666666667,0.333333333333333
"118",1,0
"119",1,0
"120",1,0
"121",0,1
"122",1,0
"123",0,1
"124",1,0
"125",1,0
"126",1,0
"127",1,0
"128",0,1
"129",0,1
"130",1,0
"131",1,0
"132",0,1
"133",1,0
"134",0,1
"135",0,1
"136",1,0
"137",0,1
"138",0.833333333333333,0.166666666666667
"139",1,0
"140",0,1
"141",1,0
"142",1,0
"143",0,1
"144",1,0
"145",1,0
"146",0.5,0.5
"147",0.25,0.75
"148",0,1
"149",0,1
"150",1,0
"151",1,0
"152",1,0
"153",0.666666666666667,0.333333333333333
"154",1,0
"155",1,0
"156",0.6,0.4
"157",1,0
"158",0.666666666666667,0.333333333333333
"159",1,0
"160",1,0
"161",1,0
"162",0,1
"163",0,1
"164",0,1
"165",1,0
"166",0,1
"167",0,1
"168",0,1
"169",0,1
"170",0.333333333333333,0.666666666666667
"171",1,0
"172",1,0
"173",1,0
"174",0.25,0.75
"175",1,0
"176",0,1
