"","NO","YES"
"4",0.888,0.112
"9",0.816,0.184
"11",0.066,0.934
"14",0.934,0.066
"18",0.976,0.024
"19",0.938,0.062
"21",0.988,0.012
"27",0.99,0.01
"28",0.992,0.008
"29",0.99,0.01
"32",0.196,0.804
"36",0.988,0.012
"48",0.934,0.066
"49",0.938,0.062
"51",0.988,0.012
"52",0.068,0.932
"64",0.808,0.192
"65",0.07,0.93
"67",0.978,0.022
"68",0.704,0.296
"74",0.85,0.15
"79",0.96,0.04
"80",0.994,0.006
"81",0.896,0.104
"85",0.99,0.01
"87",0.224,0.776
"94",0.12,0.88
"97",0.956,0.044
"110",0.956,0.044
"124",0.322,0.678
"127",0.992,0.008
"128",0.8,0.2
"129",0.934,0.066
"133",0.998,0.002
"136",0.85,0.15
"139",0.988,0.012
"150",0.152,0.848
"151",0.996,0.004
"155",0.984,0.016
"157",0.978,0.022
"159",0.94,0.06
"161",0.994,0.006
"169",0.772,0.228
"172",0.98,0.02
"173",0.98,0.02
"179",0.964,0.036
"181",0.938,0.062
"182",0.942,0.058
"195",0.972,0.028
"197",0.02,0.98
"198",0.026,0.974
"199",0.248,0.752
"200",0.958,0.042
"208",0.28,0.72
"209",0.942,0.058
"215",0.944,0.056
"216",0.172,0.828
"227",0.188,0.812
"231",0.984,0.016
"235",0.988,0.012
"240",0.992,0.008
"245",0.916,0.084
"253",0.998,0.002
"255",0.958,0.042
"267",0.948,0.052
"274",0.99,0.01
"275",0.95,0.05
"281",0.978,0.022
"289",0.992,0.008
"291",0.106,0.894
"294",0.946,0.054
"298",0.256,0.744
"299",0.908,0.092
"300",0.06,0.94
"304",0.96,0.04
"306",0.98,0.02
"307",0.222,0.778
"309",0.13,0.87
"311",0.982,0.018
"320",0.998,0.002
"321",0.998,0.002
"325",0.996,0.004
"326",0.986,0.014
"329",0.992,0.008
"336",0.942,0.058
"339",0.972,0.028
"341",0.822,0.178
"346",0.996,0.004
"349",0.242,0.758
"353",0.996,0.004
"358",0.998,0.002
"362",0.974,0.026
"363",0.992,0.008
"370",0.974,0.026
"373",0.994,0.006
"375",0.944,0.056
"376",0.904,0.096
"377",0.998,0.002
"378",0.878,0.122
"389",0.982,0.018
"391",0.994,0.006
"392",0.84,0.16
"399",0.992,0.008
"401",0.964,0.036
"405",0.99,0.01
"407",0.922,0.078
"431",0.118,0.882
"432",0.022,0.978
"433",0.998,0.002
"437",0.964,0.036
"440",0.988,0.012
"441",0.826,0.174
"449",0.068,0.932
"456",0.986,0.014
"465",0.144,0.856
"469",0.054,0.946
"472",0.342,0.658
"481",0.99,0.01
"482",0.986,0.014
"483",0.992,0.008
"487",0.07,0.93
"490",0.952,0.048
"494",0.028,0.972
"496",0.978,0.022
"497",0.95,0.05
"508",0.962,0.038
"510",0.992,0.008
"512",0.07,0.93
"529",0.022,0.978
"530",0.988,0.012
"531",0.984,0.016
"534",0.104,0.896
"537",0.992,0.008
"541",0.112,0.888
"550",0.032,0.968
"553",0.996,0.004
"559",0.074,0.926
"560",0.744,0.256
"567",0.932,0.068
"569",0.072,0.928
"571",0.948,0.052
"572",0.992,0.008
"574",0.032,0.968
"576",0.938,0.062
"582",0.944,0.056
"583",0.804,0.196
"584",0.268,0.732
"587",0.022,0.978
"588",0.06,0.94
"590",0.992,0.008
"594",0.988,0.012
"595",0.946,0.054
"600",0.858,0.142
"608",0.992,0.008
"612",0.994,0.006
"616",0.89,0.11
"620",0.996,0.004
"624",0.282,0.718
"632",0.992,0.008
"647",0.98,0.02
"657",0.922,0.078
"661",0.202,0.798
"662",0.08,0.92
"666",0.068,0.932
"668",0.95,0.05
"679",0.124,0.876
"680",0.076,0.924
"681",0.054,0.946
"682",0.07,0.93
"686",0.17,0.83
"687",0.896,0.104
"691",0.982,0.018
"692",0.952,0.048
"695",0.272,0.728
"701",0.948,0.052
"704",0.066,0.934
