"","NO","YES"
"1",1,0
"2",1,0
"3",1,0
"4",1,0
"5",0,1
"6",0.9,0.1
"7",0.875,0.125
"8",0,1
"9",0,1
"10",0,1
"11",1,0
"12",0,1
"13",0.714285714285714,0.285714285714286
"14",1,0
"15",1,0
"16",0.3,0.7
"17",0.454545454545455,0.545454545454545
"18",0,1
"19",1,0
"20",1,0
"21",1,0
"22",0.833333333333333,0.166666666666667
"23",0.857142857142857,0.142857142857143
"24",1,0
"25",0,1
"26",0.1,0.9
"27",0,1
"28",1,0
"29",1,0
"30",0,1
"31",0.222222222222222,0.777777777777778
"32",0,1
"33",1,0
"34",0.5,0.5
"35",0,1
"36",0.8,0.2
"37",0,1
"38",0.375,0.625
"39",0,1
"40",0.285714285714286,0.714285714285714
"41",0.7,0.3
"42",0,1
"43",0,1
"44",1,0
"45",0.111111111111111,0.888888888888889
"46",0,1
"47",0,1
"48",1,0
"49",0,1
"50",0.25,0.75
"51",0.2,0.8
"52",0.769230769230769,0.230769230769231
"53",0,1
"54",0,1
"55",1,0
"56",0,1
"57",1,0
"58",0.285714285714286,0.714285714285714
"59",1,0
"60",0,1
"61",0,1
"62",1,0
"63",0,1
"64",1,0
"65",0.533333333333333,0.466666666666667
"66",1,0
"67",1,0
"68",0.25,0.75
"69",0.2,0.8
"70",1,0
"71",1,0
"72",0,1
"73",1,0
