"","NO","YES"
"2",0.999999357231897,6.42768102819322e-07
"6",0.999970301797506,2.96982024937977e-05
"10",0.999994946087558,5.05391244222704e-06
"18",0.999999918408708,8.15912923802382e-08
"20",0.0150983521356229,0.984901647864377
"22",0.999982221984789,1.77780152112562e-05
"24",0.999987425089675,1.25749103252636e-05
"25",0.00245025825804487,0.997549741741955
"31",0.000509400540413977,0.999490599459586
"33",0.566466994514986,0.433533005485014
"36",0.999999996239554,3.76044599396139e-09
"39",0.00109980383254479,0.998900196167455
"41",0.999870974651431,0.000129025348569323
"42",0.999999985029965,1.49700346434759e-08
"46",0.99999936770237,6.32297629985957e-07
"49",0.534216343638857,0.465783656361143
"52",0.999776786147482,0.000223213852517899
"54",0.000574313314630921,0.999425686685369
"55",0.999993829064916,6.17093508443543e-06
"56",0.999999601351033,3.98648966421348e-07
"61",0.999999804890753,1.9510924663976e-07
"63",0.999778977941571,0.000221022058428977
"65",0.999914246665559,8.57533344410874e-05
"71",0.999988742651274,1.12573487262753e-05
"74",0.00567040663344484,0.994329593366555
"75",0.229748756165544,0.770251243834456
"87",0.722455571785949,0.277544428214051
"89",0.999988985019616,1.10149803843107e-05
"92",0.999994979736849,5.02026315043872e-06
"94",0.0136154721928265,0.986384527807173
"102",0.773917170531927,0.226082829468073
"106",0.0105940969115635,0.989405903088437
"112",0.999998971349567,1.02865043298859e-06
"115",0.999614319494181,0.000385680505819301
"125",0.12797366266779,0.87202633733221
"133",0.999722053302003,0.000277946697996822
"135",0.00185156297879866,0.998148437021201
"137",0.893521415907644,0.106478584092356
"140",0.00196146084220149,0.998038539157798
"144",0.838995995262895,0.161004004737105
"145",0.999868884736569,0.000131115263430567
"156",0.020024436528416,0.979975563471584
"161",0.521263477977131,0.478736522022869
"165",0.999999666092124,3.33907875880859e-07
"169",0.0254085178851316,0.974591482114868
"178",0.00111624429188617,0.998883755708114
"187",0.0121019134491154,0.987898086550885
"196",0.999999752316728,2.47683272421009e-07
"197",0.0031728987948508,0.996827101205149
"198",0.646477401204772,0.353522598795228
"211",0.125787782065514,0.874212217934486
"215",0.999700019315304,0.00029998068469586
"216",0.000428505468069781,0.99957149453193
"217",0.00662915674127673,0.993370843258723
"218",0.999999886416132,1.1358386808433e-07
"223",0.27120425662747,0.72879574337253
"225",0.999969569129803,3.04308701970434e-05
"228",0.709688820077571,0.290311179922429
"229",0.999999883771401,1.16228598682706e-07
"230",0.0343565987528718,0.965643401247128
"237",0.00320202614411756,0.996797973855882
"249",0.999999955157718,4.48422817848289e-08
"254",0.0191838091985912,0.980816190801409
"259",0.999999023526672,9.76473327521686e-07
"261",0.998942705712063,0.00105729428793747
"262",0.999998841044481,1.1589555192953e-06
"276",0.999997972959248,2.02704075160331e-06
"277",0.999700173613182,0.000299826386818097
"278",0.768231316912844,0.231768683087156
"281",0.999999683232929,3.16767071015913e-07
"284",0.999995954817544,4.04518245561464e-06
"287",0.00612136079679819,0.993878639203202
"289",0.999998185870809,1.81412919125284e-06
