"","NO","YES"
"2",0.91,0.09
"6",0.862,0.138
"10",0.848,0.152
"18",0.95,0.05
"20",0.08,0.92
"22",0.818,0.182
"24",0.834,0.166
"25",0.052,0.948
"31",0.012,0.988
"33",0.29,0.71
"36",0.98,0.02
"39",0.01,0.99
"41",0.756,0.244
"42",0.984,0.016
"46",0.966,0.034
"49",0.132,0.868
"52",0.842,0.158
"54",0.012,0.988
"55",0.79,0.21
"56",0.956,0.044
"61",0.946,0.054
"63",0.886,0.114
"65",0.7,0.3
"71",0.912,0.088
"74",0.066,0.934
"75",0.148,0.852
"87",0.286,0.714
"89",0.822,0.178
"92",0.852,0.148
"94",0.082,0.918
"102",0.27,0.73
"106",0.064,0.936
"112",0.896,0.104
"115",0.786,0.214
"125",0.252,0.748
"133",0.792,0.208
"135",0.038,0.962
"137",0.334,0.666
"140",0.02,0.98
"144",0.21,0.79
"145",0.768,0.232
"156",0.068,0.932
"161",0.134,0.866
"165",0.924,0.076
"169",0.11,0.89
"178",0.012,0.988
"187",0.18,0.82
"196",0.954,0.046
"197",0.082,0.918
"198",0.184,0.816
"211",0.198,0.802
"215",0.776,0.224
"216",0.03,0.97
"217",0.12,0.88
"218",0.976,0.024
"223",0.276,0.724
"225",0.838,0.162
"228",0.174,0.826
"229",0.874,0.126
"230",0.144,0.856
"237",0.052,0.948
"249",0.956,0.044
"254",0.094,0.906
"259",0.958,0.042
"261",0.756,0.244
"262",0.882,0.118
"276",0.836,0.164
"277",0.812,0.188
"278",0.298,0.702
"281",0.932,0.068
"284",0.832,0.168
"287",0.078,0.922
"289",0.962,0.038
