"","X2","X1"
"4",0.164,0.836
"5",0.164,0.836
"6",0.164,0.836
"13",0.164,0.836
"16",0.164,0.836
"22",0.164,0.836
"30",0.164,0.836
"35",0.164,0.836
"38",0.164,0.836
"43",0.164,0.836
"47",0.164,0.836
"49",0.164,0.836
"53",0.164,0.836
"55",0.164,0.836
"75",0.164,0.836
"82",0.164,0.836
"83",0.164,0.836
"88",0.164,0.836
"90",0.164,0.836
"98",0.164,0.836
"103",0.164,0.836
"104",0.164,0.836
"105",0.164,0.836
"106",0.164,0.836
"107",0.164,0.836
"119",0.164,0.836
"120",0.164,0.836
"121",0.164,0.836
"125",0.164,0.836
"129",0.164,0.836
"134",0.164,0.836
"135",0.164,0.836
"142",0.164,0.836
"151",0.164,0.836
"154",0.164,0.836
"166",0.164,0.836
"167",0.164,0.836
"168",0.164,0.836
"169",0.164,0.836
"170",0.164,0.836
"176",0.164,0.836
"177",0.164,0.836
"180",0.164,0.836
"181",0.164,0.836
"186",0.164,0.836
"194",0.164,0.836
"195",0.164,0.836
"208",0.164,0.836
"212",0.164,0.836
"220",0.164,0.836
"222",0.164,0.836
"226",0.164,0.836
"228",0.164,0.836
"233",0.164,0.836
"236",0.164,0.836
"241",0.164,0.836
"242",0.164,0.836
"244",0.164,0.836
"245",0.164,0.836
"248",0.164,0.836
"258",0.164,0.836
"261",0.164,0.836
"262",0.164,0.836
"263",0.164,0.836
"267",0.164,0.836
"269",0.164,0.836
"274",0.164,0.836
"278",0.164,0.836
"280",0.164,0.836
"281",0.164,0.836
"284",0.164,0.836
"285",0.164,0.836
"286",0.164,0.836
"295",0.164,0.836
"298",0.164,0.836
"300",0.164,0.836
"302",0.164,0.836
"306",0.164,0.836
"307",0.164,0.836
"314",0.164,0.836
"315",0.164,0.836
"322",0.164,0.836
"325",0.164,0.836
"326",0.164,0.836
"330",0.164,0.836
"331",0.164,0.836
"336",0.164,0.836
"340",0.164,0.836
"345",0.164,0.836
"350",0.164,0.836
"355",0.164,0.836
"360",0.164,0.836
"363",0.164,0.836
"364",0.164,0.836
"365",0.164,0.836
"366",0.164,0.836
"368",0.164,0.836
"386",0.164,0.836
"388",0.164,0.836
"389",0.164,0.836
"391",0.164,0.836
"405",0.164,0.836
"407",0.164,0.836
"411",0.164,0.836
"422",0.164,0.836
"427",0.164,0.836
"434",0.164,0.836
"435",0.164,0.836
"437",0.164,0.836
"440",0.164,0.836
"442",0.164,0.836
"444",0.164,0.836
"445",0.164,0.836
"451",0.164,0.836
"453",0.164,0.836
"454",0.164,0.836
"460",0.164,0.836
"461",0.164,0.836
"467",0.164,0.836
"469",0.164,0.836
"470",0.164,0.836
"471",0.164,0.836
"473",0.164,0.836
"483",0.164,0.836
"489",0.164,0.836
"490",0.164,0.836
"495",0.164,0.836
"498",0.164,0.836
"499",0.164,0.836
"502",0.164,0.836
"505",0.164,0.836
"513",0.164,0.836
"514",0.164,0.836
"515",0.164,0.836
"527",0.164,0.836
"531",0.164,0.836
"533",0.164,0.836
"535",0.164,0.836
"538",0.164,0.836
"541",0.164,0.836
"546",0.164,0.836
"554",0.164,0.836
"571",0.164,0.836
"574",0.164,0.836
"580",0.164,0.836
"588",0.164,0.836
"594",0.164,0.836
"597",0.164,0.836
"599",0.164,0.836
"604",0.164,0.836
"613",0.164,0.836
"614",0.164,0.836
"615",0.164,0.836
"618",0.164,0.836
"619",0.164,0.836
"627",0.164,0.836
"639",0.164,0.836
"640",0.164,0.836
"641",0.164,0.836
"643",0.164,0.836
"647",0.164,0.836
"652",0.164,0.836
"663",0.164,0.836
"666",0.164,0.836
"672",0.164,0.836
"676",0.164,0.836
"682",0.164,0.836
"684",0.164,0.836
"686",0.164,0.836
"691",0.164,0.836
"704",0.164,0.836
"707",0.164,0.836
"709",0.164,0.836
"712",0.164,0.836
"713",0.164,0.836
"715",0.164,0.836
"716",0.164,0.836
"723",0.164,0.836
"730",0.166,0.834
"733",0.164,0.836
"734",0.164,0.836
"735",0.164,0.836
"737",0.164,0.836
"739",0.164,0.836
"740",0.164,0.836
"757",0.16,0.84
"760",0.164,0.836
"763",0.164,0.836
"767",0.164,0.836
"771",0.164,0.836
"777",0.164,0.836
"779",0.164,0.836
"783",0.164,0.836
"784",0.164,0.836
"793",0.164,0.836
"800",0.164,0.836
"801",0.164,0.836
"802",0.164,0.836
"812",0.164,0.836
"819",0.164,0.836
"830",0.166,0.834
"838",0.164,0.836
"839",0.164,0.836
"840",0.164,0.836
"841",0.164,0.836
"849",0.166,0.834
"851",0.164,0.836
"857",0.164,0.836
"860",0.164,0.836
"861",0.164,0.836
"868",0.164,0.836
"872",0.164,0.836
"876",0.164,0.836
"878",0.164,0.836
"880",0.164,0.836
"881",0.164,0.836
"882",0.164,0.836
"887",0.164,0.836
"892",0.164,0.836
"895",0.164,0.836
"900",0.164,0.836
"902",0.164,0.836
"906",0.164,0.836
"910",0.164,0.836
"932",0.164,0.836
"938",0.16,0.84
"947",0.16,0.84
"951",0.164,0.836
"955",0.164,0.836
"957",0.164,0.836
"959",0.16,0.84
"960",0.162,0.838
"967",0.164,0.836
"971",0.164,0.836
"974",0.162,0.838
"983",0.164,0.836
"987",0.16,0.84
"988",0.164,0.836
"993",0.164,0.836
"995",0.16,0.84
"997",0.16,0.84
"998",0.162,0.838
"999",0.162,0.838
"1000",0.16,0.84
"1001",0.164,0.836
"1009",0.164,0.836
"1015",0.164,0.836
"1024",0.16,0.84
"1025",0.16,0.84
"1027",0.16,0.84
"1032",0.164,0.836
"1033",0.16,0.84
"1035",0.16,0.84
"1036",0.16,0.84
"1039",0.16,0.84
"1041",0.164,0.836
"1042",0.16,0.84
"1045",0.16,0.84
"1046",0.164,0.836
"1055",0.16,0.84
"1061",0.164,0.836
"1062",0.16,0.84
"1067",0.164,0.836
"1068",0.16,0.84
"1069",0.16,0.84
"1081",0.164,0.836
"1085",0.16,0.84
"1089",0.16,0.84
"1091",0.164,0.836
"1093",0.164,0.836
"1094",0.164,0.836
"1096",0.164,0.836
"1098",0.164,0.836
"1099",0.164,0.836
"1113",0.164,0.836
"1118",0.164,0.836
"1122",0.164,0.836
"1124",0.164,0.836
"1125",0.164,0.836
"1126",0.164,0.836
"1128",0.164,0.836
"1129",0.164,0.836
"1131",0.164,0.836
"1132",0.164,0.836
"1133",0.164,0.836
"1134",0.164,0.836
"1137",0.164,0.836
"1145",0.164,0.836
"1156",0.164,0.836
"1157",0.164,0.836
"1159",0.164,0.836
"1169",0.164,0.836
"1189",0.164,0.836
"1198",0.164,0.836
"1200",0.16,0.84
"1201",0.164,0.836
"1202",0.164,0.836
"1209",0.164,0.836
"1214",0.164,0.836
"1215",0.164,0.836
"1231",0.164,0.836
"1233",0.164,0.836
"1237",0.164,0.836
"1243",0.164,0.836
"1248",0.164,0.836
"1251",0.164,0.836
"1253",0.164,0.836
"1254",0.164,0.836
"1262",0.164,0.836
"1264",0.164,0.836
"1265",0.164,0.836
"1270",0.162,0.838
"1274",0.164,0.836
"1278",0.164,0.836
"1280",0.162,0.838
"1283",0.164,0.836
"1287",0.16,0.84
"1290",0.164,0.836
"1296",0.164,0.836
"1304",0.164,0.836
"1308",0.164,0.836
"1312",0.164,0.836
"1314",0.164,0.836
"1316",0.164,0.836
"1318",0.164,0.836
"1324",0.164,0.836
"1332",0.164,0.836
"1336",0.164,0.836
"1341",0.164,0.836
"1344",0.164,0.836
"1347",0.164,0.836
"1349",0.164,0.836
"1352",0.164,0.836
"1354",0.164,0.836
"1356",0.164,0.836
"1357",0.164,0.836
"1359",0.164,0.836
"1368",0.164,0.836
"1369",0.164,0.836
"1370",0.164,0.836
"1381",0.164,0.836
"1387",0.168,0.832
"1397",0.164,0.836
"1398",0.164,0.836
"1401",0.164,0.836
"1402",0.164,0.836
"1404",0.16,0.84
"1405",0.164,0.836
"1407",0.164,0.836
"1411",0.164,0.836
"1422",0.164,0.836
"1440",0.164,0.836
"1442",0.164,0.836
"1446",0.164,0.836
"1448",0.164,0.836
"1449",0.164,0.836
"1452",0.164,0.836
"1454",0.164,0.836
"1456",0.164,0.836
