"","X1","X2"
"3",0.984,0.016
"4",0.216,0.784
"10",0.212,0.788
"11",0.024,0.976
"13",0.29,0.71
"17",0.498,0.502
"18",0.178,0.822
"20",0.082,0.918
"25",0.938,0.062
"27",0.92,0.08
"28",0.13,0.87
"31",0.23,0.77
"45",0.97,0.03
"50",0.002,0.998
"52",0.98,0.02
"57",0.092,0.908
"63",0.23,0.77
"65",0.208,0.792
"71",0.326,0.674
"73",0.848,0.152
"76",0.776,0.224
"79",0.576,0.424
"83",0.978,0.022
"89",0.966,0.034
"91",0.962,0.038
"99",0.714,0.286
"105",0.802,0.198
"115",0.722,0.278
"123",0.982,0.018
"124",0.008,0.992
"125",0.158,0.842
"130",0.152,0.848
"136",0.986,0.014
"140",0.002,0.998
"144",0.03,0.97
"146",0.156,0.844
"147",0.24,0.76
"149",0.818,0.182
"150",0.056,0.944
"151",0.33,0.67
"157",0.94,0.06
"161",0.928,0.072
"168",0.878,0.122
"170",0.518,0.482
"171",0.706,0.294
"173",0.892,0.108
"177",0.944,0.056
"180",0.228,0.772
"184",0.496,0.504
"189",0.99,0.01
"193",0.776,0.224
"194",0.226,0.774
"200",0.784,0.216
"201",0.026,0.974
"202",0.948,0.052
"203",0.17,0.83
"206",0.376,0.624
"211",0.226,0.774
"212",0.582,0.418
"217",0.712,0.288
"221",0.032,0.968
"222",0.944,0.056
"224",0.85,0.15
"232",0.854,0.146
"239",0.828,0.172
"242",0.078,0.922
"243",0.046,0.954
"256",0.16,0.84
"262",0.242,0.758
"264",0.702,0.298
"265",0.188,0.812
"269",0.972,0.028
"270",0.992,0.008
"284",0.952,0.048
"286",0.268,0.732
"290",0.99,0.01
"293",0.008,0.992
"297",0.986,0.014
"299",0.19,0.81
"304",0.992,0.008
"305",0.924,0.076
"311",0.938,0.062
"312",0.476,0.524
"313",0.438,0.562
"314",0.226,0.774
"318",0.236,0.764
"320",0.174,0.826
"333",0.632,0.368
"334",0.872,0.128
"335",0.95,0.05
"336",0.956,0.044
"341",1,0
"343",0.11,0.89
"353",0.108,0.892
"357",0.638,0.362
"361",0.204,0.796
"365",0.962,0.038
"369",0.874,0.126
"380",0.038,0.962
"386",0.008,0.992
"387",0.928,0.072
"396",0.514,0.486
"406",0.464,0.536
"408",0.984,0.016
"415",0.366,0.634
"418",0.23,0.77
"440",0.982,0.018
"443",0.908,0.092
"445",0.972,0.028
"452",0.748,0.252
"459",0.858,0.142
"460",0.052,0.948
"469",0.392,0.608
"470",0.912,0.088
"471",0.118,0.882
"476",0.092,0.908
"477",0.956,0.044
"480",0.338,0.662
"482",0.458,0.542
"487",0.074,0.926
"498",0.05,0.95
"499",0.796,0.204
"502",0.988,0.012
"506",0.296,0.704
"514",0.02,0.98
"515",0.972,0.028
"517",0.29,0.71
"519",0.306,0.694
"524",0.072,0.928
"527",0.552,0.448
"528",0.902,0.098
"529",0.996,0.004
"540",0.096,0.904
"542",0.986,0.014
"548",0.824,0.176
"549",0.952,0.048
"550",0.412,0.588
"554",0.296,0.704
"557",0.99,0.01
"563",0.83,0.17
"582",0.158,0.842
"584",0.788,0.212
"588",0.364,0.636
"589",0.178,0.822
"595",0.77,0.23
"607",0.908,0.092
"609",0.984,0.016
"610",0.138,0.862
"614",0.91,0.09
"615",0.106,0.894
"616",0.058,0.942
"619",0.926,0.074
"620",0.28,0.72
"621",0.898,0.102
"627",0.588,0.412
"632",0.956,0.044
"633",0.64,0.36
"638",0.924,0.076
"646",0.956,0.044
"647",0.246,0.754
"654",0.038,0.962
"656",0.96,0.04
"657",0.324,0.676
"660",0.994,0.006
"671",0.43,0.57
"672",0.298,0.702
"678",0.606,0.394
"681",0.616,0.384
"682",0.548,0.452
"685",0.072,0.928
"687",0.918,0.082
"688",0.258,0.742
"689",0.218,0.782
