"","X1","X2"
"8",0.066,0.934
"9",0.372,0.628
"11",0.334,0.666
"12",0.476,0.524
"14",0.516,0.484
"22",0.096,0.904
"26",0.454,0.546
"29",0.35,0.65
"30",0.136,0.864
"33",0.3,0.7
"41",0.43,0.57
"44",0.018,0.982
"52",0.55,0.45
"62",0.402,0.598
"67",0.526,0.474
"71",0.306,0.694
"78",0.412,0.588
"80",0.282,0.718
"85",0.01,0.99
"90",0.4,0.6
"92",0.12,0.88
"94",0.246,0.754
"96",0.368,0.632
"106",0.244,0.756
"114",0.156,0.844
"119",0.554,0.446
"121",0.698,0.302
"122",0.756,0.244
"127",0.058,0.942
"135",0.512,0.488
"137",0.27,0.73
"144",0.112,0.888
"145",0.098,0.902
"147",0.216,0.784
"151",0.432,0.568
"158",0.036,0.964
"166",0.112,0.888
"177",0.5,0.5
"187",0.4,0.6
"188",0.646,0.354
"195",0.044,0.956
"198",0.43,0.57
"205",0.094,0.906
"207",0.224,0.776
"214",0.306,0.694
"215",0.276,0.724
"226",0.308,0.692
"263",0.122,0.878
"264",0.084,0.916
"265",0.082,0.918
"270",0.268,0.732
"278",0.57,0.43
"284",0.586,0.414
"290",0.08,0.92
"298",0.08,0.92
"301",0.616,0.384
"302",0.432,0.568
"304",0.046,0.954
"310",0.71,0.29
"313",0.252,0.748
"323",0.706,0.294
"327",0.626,0.374
"328",0.248,0.752
"341",0.17,0.83
"342",0.298,0.702
"343",0.498,0.502
"344",0.41,0.59
"345",0.346,0.654
"349",0.056,0.944
"363",0.688,0.312
"367",0.402,0.598
"370",0.12,0.88
"374",0.108,0.892
"375",0.232,0.768
"376",0.298,0.702
"377",0.474,0.526
"388",0.444,0.556
"395",0.612,0.388
"397",0.748,0.252
"402",0.284,0.716
"406",0.456,0.544
"410",0.856,0.144
"411",0.548,0.452
"418",0.442,0.558
"423",0.278,0.722
"424",0.058,0.942
"425",0.064,0.936
"430",0.544,0.456
"438",0.2,0.8
"442",0.726,0.274
"443",0.298,0.702
"447",0.384,0.616
"452",0.196,0.804
"454",0.088,0.912
"459",0.746,0.254
"468",0.722,0.278
"472",0.666,0.334
"474",0.362,0.638
"475",0.552,0.448
"483",0.7,0.3
"485",0.578,0.422
"489",0.976,0.024
"490",0.97,0.03
"493",0.964,0.036
"499",0.976,0.024
"502",0.97,0.03
"503",0.984,0.016
"510",0.988,0.012
"513",0.998,0.002
"515",0.99,0.01
"527",0.99,0.01
"535",0.972,0.028
