"","X1","X2"
"1",1,0
"2",1,0
"6",1,0
"7",0.998,0.002
"13",0.996,0.004
"15",1,0
"21",1,0
"29",0.996,0.004
"31",1,0
"33",1,0
"35",1,0
"37",1,0
"40",0.998,0.002
"42",0.996,0.004
"44",0.996,0.004
"48",1,0
"49",1,0
"50",1,0
"54",1,0
"57",0.996,0.004
"60",1,0
"68",1,0
"71",1,0
"72",0.998,0.002
"73",1,0
"76",0.692,0.308
"81",1,0
"83",1,0
"86",1,0
"87",0.936,0.064
"89",0.724,0.276
"91",1,0
"96",1,0
"98",1,0
"99",1,0
"100",1,0
"102",1,0
"107",0.998,0.002
"110",1,0
"111",0.868,0.132
"113",1,0
"118",0.956,0.044
"124",1,0
"127",1,0
"129",1,0
"139",1,0
"140",0.996,0.004
"142",1,0
"146",0.948,0.052
"147",0.972,0.028
"148",1,0
"153",1,0
"154",1,0
"155",1,0
"157",1,0
"158",1,0
"163",1,0
"164",0.966,0.034
"166",1,0
"168",1,0
"171",1,0
"172",1,0
"177",1,0
"181",1,0
"182",1,0
"187",0.998,0.002
"188",0.998,0.002
"192",1,0
"200",0.642,0.358
"201",1,0
"203",0.998,0.002
"205",1,0
"206",0.998,0.002
"210",1,0
"213",0.82,0.18
"225",1,0
"233",0.998,0.002
"237",1,0
"242",1,0
"245",1,0
"251",1,0
"253",0.996,0.004
"254",1,0
"255",0.998,0.002
"256",1,0
"261",1,0
"266",1,0
"269",0.856,0.144
"279",0.998,0.002
"284",1,0
"285",1,0
"290",1,0
"291",0.998,0.002
"292",1,0
"295",1,0
"300",1,0
"304",1,0
"306",1,0
"308",0.998,0.002
"313",1,0
"322",0.996,0.004
"323",0.998,0.002
"324",1,0
"326",1,0
"327",1,0
"333",1,0
"340",0.998,0.002
"354",1,0
"355",1,0
"358",1,0
"365",1,0
"367",1,0
"371",1,0
"372",1,0
"375",1,0
"377",1,0
"380",1,0
"382",1,0
"384",0.996,0.004
"392",1,0
"399",0.992,0.008
"404",0.992,0.008
"407",0.972,0.028
"410",1,0
"412",1,0
"414",0.818,0.182
"421",0.996,0.004
"434",0.998,0.002
"442",1,0
"453",0.866,0.134
"457",1,0
"459",1,0
"466",0.998,0.002
"474",1,0
"475",0.998,0.002
"476",0.996,0.004
"479",1,0
"481",1,0
"487",1,0
"489",1,0
"492",0.996,0.004
"494",1,0
"499",0.998,0.002
"504",0.944,0.056
"506",1,0
"507",1,0
