"","X3","X1","X2"
"12",1,0,0
"13",1,0,0
"15",1,0,0
"18",1,0,0
"21",1,0,0
"23",0.998,0.002,0
"24",0.33,0.67,0
"28",1,0,0
"30",0.996,0.004,0
"31",1,0,0
"32",1,0,0
"35",1,0,0
"36",0.388,0.612,0
"38",1,0,0
"39",1,0,0
"40",1,0,0
"45",1,0,0
"47",1,0,0
"51",0.998,0.002,0
"58",0.998,0.002,0
"61",0.998,0.002,0
"62",1,0,0
"65",0.998,0.002,0
"76",1,0,0
"77",1,0,0
"82",1,0,0
"85",1,0,0
"88",1,0,0
"89",1,0,0
"92",1,0,0
"95",0.352,0.648,0
"97",0.998,0.002,0
"98",0.436,0.564,0
"106",1,0,0
"109",0.998,0.002,0
"122",1,0,0
"123",0.964,0.036,0
"125",0.996,0.004,0
"136",0.81,0.19,0
"140",1,0,0
"147",1,0,0
"148",1,0,0
"150",1,0,0
"154",0.134,0.866,0
"161",1,0,0
"162",1,0,0
"170",1,0,0
"182",1,0,0
"186",1,0,0
"189",0.958,0.042,0
"203",0.998,0.002,0
"209",1,0,0
"211",1,0,0
"215",0.99,0.01,0
"218",0.246,0.754,0
"219",1,0,0
"221",1,0,0
"222",1,0,0
"223",0.966,0.034,0
"225",1,0,0
"227",0.99,0.01,0
"232",1,0,0
"234",1,0,0
"237",1,0,0
"243",1,0,0
"244",1,0,0
"246",1,0,0
"247",1,0,0
"248",1,0,0
"251",1,0,0
"252",1,0,0
"256",1,0,0
"259",0.294,0.706,0
"261",0.97,0.03,0
"263",1,0,0
"264",1,0,0
"267",0.994,0.006,0
"272",1,0,0
"280",1,0,0
"281",1,0,0
"284",1,0,0
"286",1,0,0
"289",1,0,0
"292",0.986,0.014,0
"301",1,0,0
"305",1,0,0
"309",1,0,0
"312",1,0,0
"320",1,0,0
"321",1,0,0
"329",1,0,0
"330",1,0,0
"331",1,0,0
"332",1,0,0
"334",1,0,0
"335",1,0,0
"337",0.468,0.532,0
"343",1,0,0
"344",1,0,0
"350",0.998,0.002,0
"351",1,0,0
"354",1,0,0
"359",1,0,0
"364",0.996,0.004,0
"367",1,0,0
"378",0.998,0.002,0
"381",1,0,0
"382",0.994,0.006,0
"383",1,0,0
"387",0.392,0.608,0
"392",0.998,0.002,0
"393",1,0,0
"396",0.938,0.062,0
"399",1,0,0
"400",1,0,0
"417",1,0,0
"419",0.998,0.002,0
"425",1,0,0
"427",1,0,0
"431",0.998,0.002,0
"432",1,0,0
"433",1,0,0
"440",0.99,0.01,0
"442",1,0,0
"452",0.998,0.002,0
"460",0.988,0.012,0
"462",1,0,0
"492",1,0,0
"493",1,0,0
"494",1,0,0
"499",0.996,0.004,0
"504",0.968,0.032,0
"518",1,0,0
"531",1,0,0
"532",0.258,0.742,0
"533",1,0,0
"535",1,0,0
"542",1,0,0
"550",0.998,0.002,0
"554",1,0,0
"559",1,0,0
"561",1,0,0
"573",1,0,0
"575",0.998,0.002,0
"577",1,0,0
"578",0.998,0.002,0
"589",0.812,0.188,0
"594",0.978,0.022,0
"596",0.998,0.002,0
"604",1,0,0
"605",0.998,0.002,0
"611",0.996,0.004,0
"615",1,0,0
"620",1,0,0
"621",0.97,0.03,0
"623",1,0,0
"629",1,0,0
"632",0.998,0.002,0
"634",1,0,0
"640",1,0,0
"641",1,0,0
"646",0.312,0.688,0
"647",1,0,0
"648",0.688,0.312,0
"649",1,0,0
"650",0.99,0.01,0
"653",1,0,0
"658",1,0,0
"660",1,0,0
"667",0.856,0.144,0
"674",0.994,0.006,0
"679",1,0,0
"681",0.966,0.034,0
"687",0.964,0.034,0.002
"688",0.504,0.496,0
"697",1,0,0
"698",0.998,0.002,0
"701",0.99,0.01,0
"702",1,0,0
"705",0.998,0.002,0
"711",1,0,0
"713",0.996,0.004,0
"714",1,0,0
"715",1,0,0
"716",1,0,0
"718",1,0,0
"720",0.998,0.002,0
"721",0.236,0.764,0
"727",1,0,0
"728",1,0,0
"729",0.9,0.1,0
"741",0.496,0.504,0
"747",0.994,0.006,0
"753",0.998,0.002,0
"755",0.18,0.82,0
"756",0.518,0.482,0
"760",1,0,0
"762",0.998,0.002,0
"763",0.992,0.008,0
"778",1,0,0
"785",1,0,0
"786",0.928,0.072,0
"788",0.21,0.79,0
"794",1,0,0
"795",1,0,0
"804",1,0,0
"807",1,0,0
"813",1,0,0
"816",0.996,0.004,0
"819",1,0,0
"821",1,0,0
"824",0.958,0.042,0
"825",1,0,0
"830",1,0,0
"840",1,0,0
