"","X2","X1"
"3",0.114,0.886
"4",0.176,0.824
"6",0.592,0.408
"9",0.538,0.462
"10",0.272,0.728
"13",0.266,0.734
"17",0.504,0.496
"19",0.26,0.74
"20",0.232,0.768
"24",0.142,0.858
"26",0.376,0.624
"27",0.062,0.938
"44",0.052,0.948
"46",0.004,0.996
"47",0.158,0.842
"56",0.536,0.464
"61",0.246,0.754
"62",0.03,0.97
"65",0.23,0.77
"66",0.04,0.96
"69",0.064,0.936
"70",0.06,0.94
"71",0.554,0.446
"75",0.886,0.114
"77",0.372,0.628
"82",0.522,0.478
"90",0.4,0.6
"91",0.508,0.492
"99",0.504,0.496
"102",0.492,0.508
"109",0.546,0.454
"117",0.062,0.938
"118",0.02,0.98
"120",0.296,0.704
"122",0.174,0.826
"125",0.196,0.804
"132",0.154,0.846
"133",0.048,0.952
"136",0.236,0.764
"141",0.24,0.76
"144",0.078,0.922
"148",0.1,0.9
"155",0.062,0.938
"160",0.226,0.774
"170",0.922,0.078
"174",0.188,0.812
"177",0.184,0.816
"178",0.262,0.738
"179",0.228,0.772
"180",0.112,0.888
"183",0.348,0.652
"185",0.138,0.862
"190",0.122,0.878
"195",0.384,0.616
"196",0.342,0.658
"197",0.306,0.694
"199",0.19,0.81
"201",0.106,0.894
"205",0.202,0.798
"210",0.01,0.99
"214",0.032,0.968
"217",0.028,0.972
"218",0.058,0.942
"227",0.446,0.554
"247",0.044,0.956
"253",0.118,0.882
"258",0.908,0.092
"262",0.76,0.24
"264",0.834,0.166
"265",0.938,0.062
"274",0.994,0.006
"277",0.934,0.066
"283",0.94,0.06
"286",0.968,0.032
"291",0.972,0.028
"297",0.84,0.16
"301",0.856,0.144
"303",0.976,0.024
"308",0.99,0.01
"311",0.87,0.13
"316",0.674,0.326
"321",0.962,0.038
"328",0.856,0.144
"330",0.916,0.084
"334",0.946,0.054
"335",0.858,0.142
"336",0.902,0.098
"347",0.956,0.044
"351",0.958,0.042
"358",0.704,0.296
"368",0.924,0.076
"370",0.864,0.136
"382",0.964,0.036
"383",0.932,0.068
"385",0.902,0.098
"387",0.998,0.002
"389",0.99,0.01
"390",0.76,0.24
"391",0.834,0.166
"402",0.91,0.09
"406",0.878,0.122
"408",0.81,0.19
"421",0.992,0.008
"430",0.828,0.172
"435",0.9,0.1
"438",0.706,0.294
"444",0.968,0.032
"454",0.904,0.096
"456",0.81,0.19
"458",0.944,0.056
"463",0.892,0.108
"464",0.88,0.12
"467",0.94,0.06
"470",0.96,0.04
"473",0.972,0.028
"476",0.994,0.006
"478",0.96,0.04
"484",0.93,0.07
"498",0.168,0.832
"499",0.306,0.694
"500",0.058,0.942
"501",0.142,0.858
"503",0.53,0.47
"505",0.394,0.606
"511",0.23,0.77
"513",0.124,0.876
"514",0.254,0.746
"519",0.312,0.688
"525",0.386,0.614
"526",0.426,0.574
"528",0.232,0.768
"529",0.13,0.87
"532",0.344,0.656
"535",0.406,0.594
"540",0.17,0.83
"542",0.318,0.682
"548",0.1,0.9
"552",0.128,0.872
"560",0.052,0.948
"564",0.272,0.728
"565",0.162,0.838
"567",0.07,0.93
"572",0.37,0.63
"580",0.018,0.982
"589",0.13,0.87
"601",0.182,0.818
"608",0.986,0.014
"609",0.602,0.398
"615",0.982,0.018
"619",0.926,0.074
"620",0.566,0.434
"632",0.882,0.118
"639",0.98,0.02
"643",0.914,0.086
"649",0.754,0.246
"655",0.974,0.026
"657",0.918,0.082
"661",0.936,0.064
"663",0.986,0.014
"664",0.966,0.034
"666",0.718,0.282
"667",0.992,0.008
"668",0.88,0.12
"669",0.942,0.058
"670",0.988,0.012
"672",0.934,0.066
"676",0.962,0.038
"679",0.966,0.034
"689",0.848,0.152
"690",0.752,0.248
