"","X3","X1","X2"
"7",0.246,0.754,0
"9",0.24,0.76,0
"20",0.39,0.61,0
"23",0.908,0.092,0
"24",0.818,0.182,0
"29",0.448,0.546,0.006
"35",0.39,0.574,0.036
"38",0.57,0.43,0
"41",0.828,0.166,0.006
"45",0.576,0.414,0.01
"52",0.212,0.772,0.016
"55",0.536,0.464,0
"56",0.352,0.644,0.004
"58",0.39,0.61,0
"62",0.618,0.382,0
"66",0.466,0.528,0.006
"75",0.424,0.576,0
"76",0.464,0.518,0.018
"77",0.182,0.818,0
"82",0.474,0.524,0.002
"88",0.362,0.638,0
"93",0.452,0.516,0.032
"95",0.01,0.99,0
"98",0.27,0.72,0.01
"101",0.366,0.634,0
"102",0.822,0.178,0
"103",0.682,0.318,0
"105",0.422,0.578,0
"111",0.24,0.752,0.008
"113",0.198,0.802,0
