"","X2","X1"
"5",0.696,0.304
"20",0.524,0.476
"22",0.962,0.038
"27",0.836,0.164
"31",0.554,0.446
"33",0.986,0.014
"34",0.11,0.89
"36",0.142,0.858
"38",0.756,0.244
"39",0.912,0.088
"41",0.676,0.324
"46",0.946,0.054
"49",0.504,0.496
"55",0.986,0.014
"56",0.824,0.176
"58",0.788,0.212
"59",0.578,0.422
"65",0.584,0.416
"74",0.91,0.09
"78",0.826,0.174
"82",0.148,0.852
"91",0.938,0.062
"95",0.216,0.784
"104",0.07,0.93
"106",0.482,0.518
"107",0.794,0.206
"109",0.352,0.648
"115",0.952,0.048
"116",0.964,0.036
"120",0.15,0.85
"121",0.394,0.606
"125",0.582,0.418
"134",0.108,0.892
"139",0.984,0.016
"143",0.676,0.324
"147",0.428,0.572
"157",0.184,0.816
"163",0.912,0.088
"164",0.002,0.998
"165",0.54,0.46
"166",0.358,0.642
"175",0.946,0.054
"177",0.058,0.942
"179",0.49,0.51
"180",0.98,0.02
"187",0.136,0.864
"188",0.238,0.762
"189",0.502,0.498
"192",0.188,0.812
"193",0.562,0.438
"195",0.838,0.162
"198",0.946,0.054
"200",0.366,0.634
"203",0.002,0.998
"205",0.04,0.96
"210",0.464,0.536
"212",0.622,0.378
"218",0.57,0.43
"219",0.602,0.398
"222",0.076,0.924
"232",0.29,0.71
"237",0.97,0.03
"241",0.504,0.496
"247",0.388,0.612
"249",0.576,0.424
"255",0.904,0.096
"256",0.804,0.196
"266",0.802,0.198
