"","X2","X1"
"5",2.14109087475202e-12,0.999999999997859
"9",0.115379520392983,0.884620479607017
"19",0.991733883984074,0.00826611601592632
"20",0.999995914390488,4.08560951162918e-06
"22",5.74198271863973e-06,0.999994258017281
"24",1.06612443720162e-32,1
"26",0.213298078991604,0.786701921008396
"30",4.23170075212062e-15,0.999999999999996
"34",1.40301331524909e-20,1
"35",0.975604718426782,0.0243952815732182
"37",1.86440281865366e-05,0.999981355971814
"38",2.78276954790383e-29,1
"39",1.83371942875407e-16,1
"41",0.990355292159935,0.00964470784006504
"46",3.58581145927796e-07,0.999999641418854
"48",0.999977462620098,2.2537379901794e-05
"51",0.999978625187669,2.13748123310527e-05
"54",0.999787902143876,0.000212097856124445
"55",0.997799582474479,0.00220041752552136
"57",0.99999642853061,3.57146939037635e-06
"63",0.998840417995542,0.00115958200445744
"65",0.999964669982243,3.53300177574635e-05
"66",0.99996985815524,3.01418447600921e-05
"70",0.976503113266016,0.0234968867339844
"73",0.999731601397188,0.000268398602812506
"77",0.0354916974615674,0.964508302538433
"80",0.999973240106153,2.6759893847511e-05
"87",1.61165469675478e-06,0.999998388345303
"93",5.6235713069194e-05,0.999943764286931
"94",9.79302455279353e-42,1
"98",2.02811097734186e-05,0.999979718890227
"103",9.25813658271187e-31,1
"114",3.5424924245461e-15,0.999999999999996
"115",0.99658356875004,0.00341643124996016
"126",4.06871542115573e-06,0.999995931284579
"137",1.33996113448154e-43,1
"154",2.76996368221464e-37,1
"157",3.22019798368142e-18,1
"161",1.75244019892434e-22,1
"162",3.8451865458706e-13,0.999999999999616
"169",9.68951066224042e-06,0.999990310489338
"186",0.790807471505412,0.209192528494588
"192",1.09494661210467e-09,0.999999998905053
"193",6.85651668947191e-21,1
"195",0.995374224611825,0.00462577538817508
"196",0.99999722217454,2.77782546028526e-06
"198",4.07670003455329e-08,0.999999959233
"202",0.0326948919428411,0.967305108057159
"207",6.81215578789147e-06,0.999993187844212
"209",0.938047689082268,0.0619523109177321
"210",1.39281431724396e-12,0.999999999998607
"212",3.94322928806224e-12,0.999999999996057
"214",1.96675798624553e-31,1
"218",2.29369282010689e-10,0.999999999770631
"220",4.63648528958555e-39,1
"222",7.95788205143305e-19,1
"224",2.46961278353048e-05,0.999975303872165
"225",2.2528973431817e-15,0.999999999999998
"226",0.999989637955795,1.03620442053419e-05
"231",0.937047393004447,0.0629526069955529
"251",0.0208999603345278,0.979100039665472
"252",8.64526649566936e-07,0.99999913547335
"254",0.102416030245904,0.897583969754096
"259",0.366035835973937,0.633964164026063
"264",0.398369253404823,0.601630746595177
"265",0.99999939253218,6.0746781962959e-07
"267",0.989329279607137,0.0106707203928635
