"","X2","X1"
"5",0.064,0.936
"9",0.186,0.814
"19",0.178,0.822
"20",0.416,0.584
"22",0.416,0.584
"24",0.092,0.908
"26",0.16,0.84
"30",0.204,0.796
"34",0.046,0.954
"35",0.228,0.772
"37",0.094,0.906
"38",0.028,0.972
"39",0.16,0.84
"41",0.226,0.774
"46",0.202,0.798
"48",0.316,0.684
"51",0.432,0.568
"54",0.342,0.658
"55",0.27,0.73
"57",0.422,0.578
"63",0.334,0.666
"65",0.488,0.512
"66",0.5,0.5
"70",0.344,0.656
"73",0.37,0.63
"77",0.214,0.786
"80",0.248,0.752
"87",0.16,0.84
"93",0.218,0.782
"94",0.02,0.98
"98",0.082,0.918
"103",0.01,0.99
"114",0.04,0.96
"115",0.334,0.666
"126",0.104,0.896
"137",0.03,0.97
"154",0.062,0.938
"157",0.024,0.976
"161",0.016,0.984
"162",0.154,0.846
"169",0.082,0.918
"186",0.146,0.854
"192",0.018,0.982
"193",0.092,0.908
"195",0.22,0.78
"196",0.428,0.572
"198",0.322,0.678
"202",0.14,0.86
"207",0.04,0.96
"209",0.272,0.728
"210",0.186,0.814
"212",0.092,0.908
"214",0.008,0.992
"218",0.11,0.89
"220",0.008,0.992
"222",0.072,0.928
"224",0.088,0.912
"225",0.018,0.982
"226",0.446,0.554
"231",0.282,0.718
"251",0.042,0.958
"252",0.058,0.942
"254",0.218,0.782
"259",0.11,0.89
"264",0.148,0.852
"265",0.606,0.394
"267",0.212,0.788
