"","X2","X1"
"1",0.18,0.82
"2",0.18,0.82
"3",0.18,0.82
"4",0.18,0.82
"5",0.18,0.82
"6",0.18,0.82
"7",0.18,0.82
"8",0.18,0.82
"9",0.18,0.82
"10",0.18,0.82
"11",0.18,0.82
"12",0.18,0.82
"13",0.18,0.82
"14",0.18,0.82
"15",0.18,0.82
"16",0.18,0.82
"17",0.18,0.82
"18",0.18,0.82
"19",0.18,0.82
"20",0.18,0.82
"21",0.18,0.82
"22",0.18,0.82
"23",0.18,0.82
"24",0.18,0.82
"25",0.18,0.82
"26",0.18,0.82
"27",0.18,0.82
"28",0.18,0.82
"29",0.18,0.82
"30",0.18,0.82
"31",0.18,0.82
"32",0.18,0.82
"33",0.18,0.82
"34",0.18,0.82
"35",0.18,0.82
"36",0.18,0.82
"37",0.18,0.82
"38",0.18,0.82
"39",0.18,0.82
"40",0.18,0.82
"41",0.18,0.82
"42",0.18,0.82
"43",0.18,0.82
"44",0.18,0.82
"45",0.18,0.82
"46",0.18,0.82
"47",0.18,0.82
"48",0.18,0.82
"49",0.18,0.82
"50",0.18,0.82
"51",0.18,0.82
"52",0.18,0.82
"53",0.18,0.82
"54",0.18,0.82
"55",0.18,0.82
"56",0.18,0.82
"57",0.18,0.82
"58",0.18,0.82
"59",0.18,0.82
"60",0.18,0.82
"61",0.18,0.82
"62",0.18,0.82
"63",0.18,0.82
"64",0.18,0.82
"65",0.18,0.82
"66",0.18,0.82
"67",0.18,0.82
