"","X2","X1"
"1",0.142857142857143,0.857142857142857
"2",0,1
"3",0,1
"4",0.25,0.75
"5",0.2,0.8
"6",0.2,0.8
"7",0.625,0.375
"8",0,1
"9",0,1
"10",0,1
"11",0,1
"12",0.5,0.5
"13",0.6,0.4
"14",0.25,0.75
"15",0.428571428571429,0.571428571428571
"16",0.75,0.25
"17",0.266666666666667,0.733333333333333
"18",0.333333333333333,0.666666666666667
"19",0.2,0.8
"20",0.333333333333333,0.666666666666667
"21",0.25,0.75
"22",0.736842105263158,0.263157894736842
"23",0.736842105263158,0.263157894736842
"24",0.736842105263158,0.263157894736842
"25",0.333333333333333,0.666666666666667
"26",0.0769230769230769,0.923076923076923
"27",0.6,0.4
"28",0,1
"29",0,1
"30",0.2,0.8
"31",0,1
"32",0,1
"33",0,1
"34",0.5,0.5
"35",0,1
"36",0,1
"37",0,1
"38",0,1
"39",0,1
"40",0,1
"41",0,1
"42",0.111111111111111,0.888888888888889
"43",0.25,0.75
"44",0.333333333333333,0.666666666666667
"45",0.736842105263158,0.263157894736842
"46",0.2,0.8
"47",0,1
"48",0.5,0.5
"49",0.4,0.6
"50",0.375,0.625
"51",0,1
"52",0.285714285714286,0.714285714285714
"53",0.2,0.8
"54",0,1
"55",0,1
"56",0,1
"57",0,1
"58",0,1
"59",0.153846153846154,0.846153846153846
"60",0,1
"61",0,1
"62",0.166666666666667,0.833333333333333
"63",0,1
"64",0.736842105263158,0.263157894736842
"65",0,1
"66",0.25,0.75
"67",0.736842105263158,0.263157894736842
