"","X2","X1"
"5",0.08,0.92
"9",0.02,0.98
"19",0.014,0.986
"20",0.094,0.906
"22",0.146,0.854
"24",0.18,0.82
"26",0.222,0.778
"30",0.03,0.97
"34",0.006,0.994
"35",0.018,0.982
"37",0.036,0.964
"38",0.258,0.742
"39",0.26,0.74
"41",0.342,0.658
"46",0.158,0.842
"48",0.452,0.548
"51",0.102,0.898
"54",0.344,0.656
"55",0.07,0.93
"57",0.43,0.57
"63",0.342,0.658
"65",0.792,0.208
"66",0.792,0.208
"70",0.792,0.208
"73",0.124,0.876
"77",0.058,0.942
"80",0.564,0.436
"87",0.028,0.972
"93",0.042,0.958
"94",0.146,0.854
"98",0.014,0.986
"103",0.01,0.99
"114",0.048,0.952
"115",0.434,0.566
"126",0.038,0.962
"137",0.022,0.978
"154",0.08,0.92
"157",0,1
"161",0.016,0.984
"162",0.024,0.976
"169",0.032,0.968
"186",0.072,0.928
"192",0.342,0.658
"193",0.32,0.68
"195",0.792,0.208
"196",0.126,0.874
"198",0.03,0.97
"202",0.286,0.714
"207",0.15,0.85
"209",0.218,0.782
"210",0.06,0.94
"212",0.164,0.836
"214",0.22,0.78
"218",0.034,0.966
"220",0.092,0.908
"222",0.014,0.986
"224",0.018,0.982
"225",0.018,0.982
"226",0.156,0.844
"231",0.014,0.986
"251",0.04,0.96
"252",0.084,0.916
"254",0.036,0.964
"259",0.792,0.208
"264",0.122,0.878
"265",0.106,0.894
"267",0.792,0.208
