"","X1","X2"
"2",0.978,0.022
"7",0.944,0.056
"9",0.922,0.078
"10",0.974,0.026
"11",0.948,0.052
"15",0.988,0.012
"17",0.958,0.042
"24",0.984,0.016
"27",0.972,0.028
"28",0.958,0.042
"39",0.984,0.016
"42",0.966,0.034
"46",0.976,0.024
"52",0.98,0.02
"59",0.984,0.016
"61",0.964,0.036
"68",0.898,0.102
"69",0.946,0.054
"74",0.968,0.032
"77",0.962,0.038
"80",0.988,0.012
"83",0.984,0.016
"86",0.994,0.006
"87",0.914,0.086
"88",0.916,0.084
"89",0.652,0.348
"90",0.86,0.14
"91",0.904,0.096
"93",0.962,0.038
"99",0.912,0.088
"100",0.93,0.07
"103",0.966,0.034
"107",0.98,0.02
"110",0.898,0.102
"111",0.96,0.04
"113",0.99,0.01
"115",0.99,0.01
"124",0.96,0.04
"127",0.984,0.016
"131",0.976,0.024
"133",0.868,0.132
"135",1,0
"136",0.998,0.002
"147",0.976,0.024
"161",0.962,0.038
"169",0.896,0.104
"171",0.978,0.022
"177",0.762,0.238
"182",0.996,0.004
"185",0.99,0.01
"201",0.99,0.01
"203",0.812,0.188
"208",0.982,0.018
"215",0.992,0.008
"223",0.906,0.094
"245",0.984,0.016
"258",0.992,0.008
"260",0.976,0.024
"269",0.808,0.192
"272",0.66,0.34
"275",0.932,0.068
"277",0.974,0.026
"284",0.966,0.034
"290",0.98,0.02
"294",0.944,0.056
"296",0.972,0.028
"297",0.988,0.012
"302",0.982,0.018
"303",0.924,0.076
"309",0.984,0.016
"314",0.978,0.022
"317",0.994,0.006
"321",0.744,0.256
"322",0.996,0.004
"325",0.948,0.052
"328",0.844,0.156
"336",0.998,0.002
"337",0.914,0.086
"338",0.98,0.02
"339",0.982,0.018
"351",0.896,0.104
"354",0.932,0.068
"359",0.98,0.02
"360",0.956,0.044
"362",0.958,0.042
"365",0.898,0.102
"366",0.944,0.056
"367",0.976,0.024
"368",0.688,0.312
"370",0.998,0.002
"378",0.962,0.038
"381",0.832,0.168
"382",1,0
"389",0.898,0.102
"391",0.992,0.008
"393",0.928,0.072
"400",0.974,0.026
"405",0.968,0.032
"409",0.924,0.076
"411",0.956,0.044
"413",0.988,0.012
"416",0.986,0.014
"419",0.904,0.096
"420",0.848,0.152
"424",0.976,0.024
"427",0.9,0.1
"428",0.914,0.086
"430",0.768,0.232
"433",0.906,0.094
"436",0.99,0.01
"443",0.9,0.1
"447",0.73,0.27
"450",0.982,0.018
"453",0.884,0.116
"459",0.984,0.016
"466",0.91,0.09
"467",0.996,0.004
"469",0.962,0.038
