"","X2","X1"
"1",1,0
"2",0.5,0.5
"3",0.5,0.5
"4",0.6,0.4
"5",1,0
"6",1,0
"7",1,0
"8",1,0
"9",1,0
"10",0,1
"11",1,0
"12",1,0
"13",0.3,0.7
"14",1,0
"15",0,1
"16",0.3,0.7
"17",0.1,0.9
"18",0.9,0.1
"19",0.2,0.8
"20",0.7,0.3
"21",1,0
"22",1,0
"23",1,0
"24",1,0
"25",0.9,0.1
"26",0,1
"27",0.9,0.1
"28",1,0
"29",0.1,0.9
"30",1,0
"31",0.2,0.8
"32",1,0
"33",1,0
"34",1,0
"35",1,0
"36",1,0
"37",1,0
"38",1,0
"39",1,0
"40",0,1
"41",1,0
"42",1,0
"43",1,0
"44",0.2,0.8
"45",0.2,0.8
"46",0,1
"47",1,0
"48",0,1
"49",0.3,0.7
"50",1,0
"51",1,0
"52",1,0
"53",0.6,0.4
"54",1,0
"55",0,1
"56",0,1
"57",1,0
"58",0.9,0.1
"59",1,0
"60",1,0
"61",1,0
"62",0.8,0.2
"63",1,0
"64",1,0
"65",1,0
"66",1,0
"67",1,0
"68",0.9,0.1
"69",0.3,0.7
"70",0,1
"71",1,0
"72",1,0
"73",1,0
"74",1,0
"75",1,0
"76",1,0
"77",0.5,0.5
"78",0.1,0.9
"79",0,1
"80",1,0
"81",1,0
"82",1,0
"83",1,0
"84",1,0
"85",1,0
"86",1,0
"87",0.3,0.7
"88",1,0
"89",0.6,0.4
"90",1,0
"91",1,0
"92",1,0
"93",0,1
"94",1,0
"95",0.9,0.1
"96",1,0
"97",1,0
"98",1,0
"99",1,0
"100",1,0
"101",1,0
"102",1,0
"103",1,0
"104",1,0
"105",1,0
"106",0.7,0.3
"107",0.1,0.9
"108",0.2,0.8
"109",0,1
"110",1,0
