"","X2","X1"
"4",0.982,0.018
"6",0.52,0.48
"7",0.36,0.64
"9",0.96,0.04
"18",0.968,0.032
"22",1,0
"23",0.766,0.234
"34",0.996,0.004
"40",0.954,0.046
"46",0.008,0.992
"53",0.55,0.45
"55",0.998,0.002
"58",0.274,0.726
"59",0.996,0.004
"62",0.152,0.848
"63",0.488,0.512
"68",0.036,0.964
"71",0.992,0.008
"72",0.446,0.554
"74",0.828,0.172
"79",0.998,0.002
"80",0.992,0.008
"84",0.96,0.04
"91",1,0
"92",0.994,0.006
"93",0.062,0.938
"96",0.96,0.04
"99",1,0
"101",0.194,0.806
"104",0.952,0.048
"107",0.178,0.822
"115",0.988,0.012
"116",0.994,0.006
"119",1,0
"122",0.998,0.002
"123",1,0
"127",0.968,0.032
"130",0.982,0.018
"140",0.998,0.002
"146",0.176,0.824
"148",0.996,0.004
"149",1,0
"152",1,0
"157",0.168,0.832
"161",0.194,0.806
"164",0,1
"169",0.996,0.004
"174",0.008,0.992
"176",0.278,0.722
"193",0.998,0.002
"200",1,0
"205",0.924,0.076
"208",0.536,0.464
"211",0.972,0.028
"216",0.012,0.988
"219",0.088,0.912
"224",0.996,0.004
"232",0.934,0.066
"237",0.996,0.004
"238",0.998,0.002
"248",0.998,0.002
"249",0.926,0.074
"250",0.99,0.01
"251",1,0
"253",0.984,0.016
"256",0.998,0.002
"262",1,0
"264",0.786,0.214
"266",0.746,0.254
"267",0.044,0.956
"270",0.992,0.008
"281",0.998,0.002
"287",0.996,0.004
"291",0.996,0.004
"293",0.988,0.012
"297",0.996,0.004
"299",0.128,0.872
"304",0.164,0.836
"313",0.122,0.878
"314",0.966,0.034
"321",0.99,0.01
"322",0.982,0.018
"327",0.99,0.01
"328",0.988,0.012
"330",0.956,0.044
"331",0.986,0.014
"336",0.174,0.826
"338",0.97,0.03
"343",0.512,0.488
"345",1,0
"349",0.994,0.006
"353",1,0
"354",0.006,0.994
"361",0.976,0.024
"364",0.784,0.216
"365",0.992,0.008
"368",0.994,0.006
"371",0.96,0.04
"379",1,0
"381",0.974,0.026
"387",1,0
"388",1,0
"390",1,0
"392",1,0
"394",0.982,0.018
"410",0.624,0.376
"413",0.45,0.55
"416",0.116,0.884
"438",0.036,0.964
"439",0.972,0.028
