"","X2","X1"
"4",0.975,0.025
"6",0.176923076923077,0.823076923076923
"7",0.176923076923077,0.823076923076923
"9",0.975,0.025
"18",0.975,0.025
"22",0.975,0.025
"23",0.176923076923077,0.823076923076923
"34",0.975,0.025
"40",0.975,0.025
"46",0.176923076923077,0.823076923076923
"53",0.176923076923077,0.823076923076923
"55",0.975,0.025
"58",0.176923076923077,0.823076923076923
"59",0.975,0.025
"62",0.176923076923077,0.823076923076923
"63",0.176923076923077,0.823076923076923
"68",0.176923076923077,0.823076923076923
"71",0.975,0.025
"72",0.176923076923077,0.823076923076923
"74",0.975,0.025
"79",0.975,0.025
"80",0.975,0.025
"84",0.975,0.025
"91",0.975,0.025
"92",0.975,0.025
"93",0.176923076923077,0.823076923076923
"96",0.975,0.025
"99",0.975,0.025
"101",0.176923076923077,0.823076923076923
"104",0.975,0.025
"107",0.176923076923077,0.823076923076923
"115",0.975,0.025
"116",0.975,0.025
"119",0.975,0.025
"122",0.975,0.025
"123",0.975,0.025
"127",0.975,0.025
"130",0.975,0.025
"140",0.975,0.025
"146",0.176923076923077,0.823076923076923
"148",0.975,0.025
"149",0.975,0.025
"152",0.975,0.025
"157",0.176923076923077,0.823076923076923
"161",0.176923076923077,0.823076923076923
"164",0.176923076923077,0.823076923076923
"169",0.975,0.025
"174",0.176923076923077,0.823076923076923
"176",0.176923076923077,0.823076923076923
"193",0.975,0.025
"200",0.975,0.025
"205",0.975,0.025
"208",0.176923076923077,0.823076923076923
"211",0.975,0.025
"216",0.176923076923077,0.823076923076923
"219",0.176923076923077,0.823076923076923
"224",0.975,0.025
"232",0.975,0.025
"237",0.975,0.025
"238",0.975,0.025
"248",0.975,0.025
"249",0.975,0.025
"250",0.975,0.025
"251",0.975,0.025
"253",0.975,0.025
"256",0.975,0.025
"262",0.975,0.025
"264",0.176923076923077,0.823076923076923
"266",0.975,0.025
"267",0.176923076923077,0.823076923076923
"270",0.975,0.025
"281",0.975,0.025
"287",0.975,0.025
"291",0.975,0.025
"293",0.975,0.025
"297",0.975,0.025
"299",0.176923076923077,0.823076923076923
"304",0.176923076923077,0.823076923076923
"313",0.176923076923077,0.823076923076923
"314",0.975,0.025
"321",0.975,0.025
"322",0.975,0.025
"327",0.975,0.025
"328",0.975,0.025
"330",0.975,0.025
"331",0.975,0.025
"336",0.176923076923077,0.823076923076923
"338",0.975,0.025
"343",0.176923076923077,0.823076923076923
"345",0.975,0.025
"349",0.975,0.025
"353",0.975,0.025
"354",0.176923076923077,0.823076923076923
"361",0.975,0.025
"364",0.975,0.025
"365",0.975,0.025
"368",0.975,0.025
"371",0.975,0.025
"379",0.975,0.025
"381",0.975,0.025
"387",0.975,0.025
"388",0.975,0.025
"390",0.975,0.025
"392",0.975,0.025
"394",0.975,0.025
"410",0.176923076923077,0.823076923076923
"413",0.176923076923077,0.823076923076923
"416",0.176923076923077,0.823076923076923
"438",0.176923076923077,0.823076923076923
"439",0.975,0.025
