"","no","yes"
"1",7777441025097914,-7777441025097913
"2",7777441025097914,-7777441025097913
"3",7777441025097914,-7777441025097913
"4",7777441025097914,-7777441025097913
"5",7777441025097914,-7777441025097913
"6",7777441025097914,-7777441025097913
"7",7777441025097914,-7777441025097913
"8",7777441025097914,-7777441025097913
"9",7777441025097914,-7777441025097913
"10",7777441025097914,-7777441025097913
"11",-7777441025097913,7777441025097914
"12",-7777441025097913,7777441025097914
"13",-7777441025097913,7777441025097914
"14",-7777441025097913,7777441025097914
"15",-7777441025097913,7777441025097914
"16",-7777441025097913,7777441025097914
"17",-7777441025097913,7777441025097914
"18",-7777441025097913,7777441025097914
"19",-7777441025097913,7777441025097914
"20",7777441025097914,-7777441025097913
"21",-7777441025097913,7777441025097914
"22",-7777441025097913,7777441025097914
"23",-7777441025097913,7777441025097914
"24",-7777441025097913,7777441025097914
"25",-7777441025097913,7777441025097914
"26",-7777441025097913,7777441025097914
"27",-7777441025097913,7777441025097914
"28",7777441025097914,-7777441025097913
"29",-7777441025097913,7777441025097914
"30",-7777441025097913,7777441025097914
