"","no","yes"
"7",0.999999999997099,2.90070146563631e-12
"9",0.999999999997099,2.90070146559904e-12
"19",0.999999999997099,2.90070146537548e-12
"21",0.999999999997099,2.90070146581997e-12
"39",0.999999999997099,2.90070146532274e-12
"45",0.999999999997099,2.90070146528547e-12
"48",0.999999999997099,2.90070146511464e-12
"56",0.999999999997099,2.90070146548461e-12
"58",0.999999999997099,2.90070146506659e-12
"59",0.999999999997099,2.90070146500286e-12
"64",2.90067969643815e-12,0.999999999997099
"67",2.90067969643815e-12,0.999999999997099
"70",2.90067969643815e-12,0.999999999997099
"77",2.90067969643815e-12,0.999999999997099
"79",2.90067969643815e-12,0.999999999997099
"82",2.90067969643815e-12,0.999999999997099
"84",2.90067969643815e-12,0.999999999997099
"85",2.90067969643815e-12,0.999999999997099
"86",2.90067969643815e-12,0.999999999997099
"91",0.999999999997099,2.90070146563732e-12
"92",2.90067969643815e-12,0.999999999997099
"94",2.90067969643815e-12,0.999999999997099
"96",2.90067969643815e-12,0.999999999997099
"97",2.90067969643815e-12,0.999999999997099
"98",2.90067969643815e-12,0.999999999997099
"102",2.90067969643815e-12,0.999999999997099
"105",2.90067969643815e-12,0.999999999997099
"108",0.999999999997099,2.90070146545101e-12
"109",2.90067969643815e-12,0.999999999997099
"114",2.90067969643815e-12,0.999999999997099
