"","no","yes"
"7",0.999588998679585,0.000411001320415296
"9",0.999622436635784,0.00037756336421564
"19",0.999848547564551,0.000151452435448598
"21",0.999942899383776,5.71006162242503e-05
"39",0.999680777711837,0.000319222288162925
"45",0.999490297527255,0.000509702472744931
"48",0.991699082084401,0.00830091791559939
"56",0.994986818896011,0.00501318110398943
"58",0.978195628061978,0.0218043719380216
"59",0.973166886594651,0.0268331134053491
"64",0.173358347509592,0.826641652490408
"67",0.000569660475732366,0.999430339524268
"70",0.101535071677757,0.898464928322243
"77",0.0737509887459148,0.926249011254085
"79",0.0280239092065349,0.971976090793465
"82",0.071731009634853,0.928268990365147
"84",0.00412620177156252,0.995873798228437
"85",0.0221715722213022,0.977828427778698
"86",0.0221715722213022,0.977828427778698
"91",0.986014435509907,0.0139855644900927
"92",0.0478365399442355,0.952163460055765
"94",0.0162425668598627,0.983757433140137
"96",0.044230912542397,0.955769087457603
"97",0.094205259613773,0.905794740386227
"98",0.0894777643709441,0.910522235629056
"102",0.00273153566999042,0.99726846433001
"105",0.086273498189484,0.913726501810516
"108",0.983288471460178,0.0167115285398221
"109",0.0402412824718165,0.959758717528183
"114",0.0858808137254726,0.914119186274527
