"","no","yes"
"7",0.994,0.006
"9",0.994,0.006
"19",0.994,0.006
"21",1,0
"39",0.998,0.002
"45",0.998,0.002
"48",0.99,0.01
"56",0.996,0.004
"58",0.944,0.056
"59",0.966,0.034
"64",0.042,0.958
"67",0.038,0.962
"70",0.04,0.96
"77",0.068,0.932
"79",0.02,0.98
"82",0.068,0.932
"84",0.02,0.98
"85",0.016,0.984
"86",0.016,0.984
"91",0.98,0.02
"92",0.058,0.942
"94",0.016,0.984
"96",0.058,0.942
"97",0.04,0.96
"98",0.04,0.96
"102",0.02,0.98
"105",0.042,0.958
"108",0.972,0.028
"109",0.054,0.946
"114",0.042,0.958
