"","X1","X2"
"3",0.992,0.008
"8",1,0
"10",0.982,0.018
"14",0.812,0.188
"26",0.956,0.044
"35",0.596,0.404
"38",1,0
"46",0.982,0.018
"55",1,0
"57",1,0
"66",1,0
"67",1,0
"71",0.996,0.004
"73",0.998,0.002
"77",1,0
"78",0.816,0.184
"81",1,0
"83",1,0
"84",0.994,0.006
"85",1,0
"87",0.98,0.02
"89",0.994,0.006
"90",0.998,0.002
"102",1,0
"104",1,0
"107",0.858,0.142
"109",0.998,0.002
"110",0.998,0.002
"115",0.998,0.002
"118",0.934,0.066
"119",0.998,0.002
"121",0.998,0.002
"122",1,0
"129",0.992,0.008
"134",0.99,0.01
"137",0.882,0.118
"143",0.978,0.022
"147",1,0
"148",0.996,0.004
"150",0.99,0.01
"151",1,0
"159",1,0
"161",0.978,0.022
"164",1,0
"168",0.992,0.008
"169",1,0
"171",0.994,0.006
"184",1,0
"187",1,0
"191",0.998,0.002
"192",1,0
"193",0.94,0.06
"196",0.942,0.058
"201",0.962,0.038
"202",0.996,0.004
"204",1,0
"211",0.994,0.006
"214",0.972,0.028
"219",0.832,0.168
"228",0.952,0.048
"232",0.998,0.002
"234",0.86,0.14
"238",0.956,0.044
"241",1,0
"249",1,0
"253",0.97,0.03
"254",1,0
"266",0.914,0.086
"268",0.996,0.004
"275",0.972,0.028
"277",0.984,0.016
"281",0.312,0.688
"285",0.99,0.01
"295",0.998,0.002
"303",0.998,0.002
"308",0.988,0.012
"310",1,0
"313",0.988,0.012
"314",0.944,0.056
"328",0.882,0.118
"329",1,0
"330",0.99,0.01
"336",0.998,0.002
"348",1,0
"356",0.908,0.092
"366",1,0
"373",0.928,0.072
"377",1,0
"383",0.982,0.018
"384",1,0
"389",0.92,0.08
"393",0.996,0.004
"395",0.994,0.006
"399",0.996,0.004
"404",1,0
"408",0.9,0.1
"410",0.978,0.022
"412",1,0
"413",1,0
"418",0.994,0.006
"424",0.884,0.116
"429",0.992,0.008
"436",1,0
"439",0.992,0.008
"441",0.998,0.002
"442",0.862,0.138
"445",0.99,0.01
"446",0.996,0.004
"447",0.996,0.004
"449",1,0
"456",0.998,0.002
"459",0.994,0.006
"461",1,0
"463",1,0
"471",0.984,0.016
"472",0.972,0.028
"479",0.584,0.416
"488",1,0
"489",0.992,0.008
"494",0.998,0.002
"503",1,0
"504",0.998,0.002
"505",1,0
"506",0.998,0.002
"509",0.992,0.008
"511",1,0
"513",0.998,0.002
"516",1,0
"520",1,0
"521",1,0
"528",0.998,0.002
"532",0.998,0.002
"534",0.756,0.244
"537",1,0
"548",1,0
"552",0.996,0.004
"556",0.966,0.034
"568",1,0
"569",0.994,0.006
"577",0.774,0.226
"585",0.952,0.048
"588",0.996,0.004
"591",0.994,0.006
"595",0.98,0.02
"598",0.926,0.074
"600",1,0
"607",0.986,0.014
"609",0.998,0.002
"614",1,0
"618",0.988,0.012
"620",0.976,0.024
"622",1,0
"630",1,0
"631",1,0
"632",0.996,0.004
"633",1,0
"634",0.984,0.016
