"","X1","X2"
"3",1,0
"8",1,0
"10",1,0
"14",1,0
"26",0.987654320987654,0.0123456790123457
"35",0.0167364016736402,0.98326359832636
"38",1,0
"46",1,0
"55",1,0
"57",1,0
"66",1,0
"67",1,0
"71",1,0
"73",1,0
"77",1,0
"78",1,0
"81",1,0
"83",1,0
"84",1,0
"85",1,0
"87",1,0
"89",1,0
"90",1,0
"102",1,0
"104",1,0
"107",0.285714285714286,0.714285714285714
"109",1,0
"110",1,0
"115",1,0
"118",1,0
"119",1,0
"121",1,0
"122",1,0
"129",1,0
"134",0.987654320987654,0.0123456790123457
"137",1,0
"143",1,0
"147",1,0
"148",1,0
"150",1,0
"151",1,0
"159",1,0
"161",1,0
"164",1,0
"168",1,0
"169",1,0
"171",0.987654320987654,0.0123456790123457
"184",1,0
"187",1,0
"191",0.987654320987654,0.0123456790123457
"192",1,0
"193",0.987654320987654,0.0123456790123457
"196",1,0
"201",1,0
"202",1,0
"204",1,0
"211",1,0
"214",0.987654320987654,0.0123456790123457
"219",1,0
"228",1,0
"232",1,0
"234",0.987654320987654,0.0123456790123457
"238",1,0
"241",1,0
"249",0.987654320987654,0.0123456790123457
"253",1,0
"254",1,0
"266",0.987654320987654,0.0123456790123457
"268",1,0
"275",1,0
"277",1,0
"281",0.0167364016736402,0.98326359832636
"285",1,0
"295",1,0
"303",1,0
"308",0.987654320987654,0.0123456790123457
"310",1,0
"313",0.987654320987654,0.0123456790123457
"314",0.285714285714286,0.714285714285714
"328",1,0
"329",1,0
"330",0.987654320987654,0.0123456790123457
"336",1,0
"348",1,0
"356",1,0
"366",1,0
"373",0.120689655172414,0.879310344827586
"377",1,0
"383",0.987654320987654,0.0123456790123457
"384",1,0
"389",1,0
"393",0.987654320987654,0.0123456790123457
"395",1,0
"399",1,0
"404",1,0
"408",0.714285714285714,0.285714285714286
"410",0.987654320987654,0.0123456790123457
"412",1,0
"413",1,0
"418",0.987654320987654,0.0123456790123457
"424",1,0
"429",1,0
"436",1,0
"439",1,0
"441",1,0
"442",0.120689655172414,0.879310344827586
"445",0.987654320987654,0.0123456790123457
"446",1,0
"447",1,0
"449",1,0
"456",1,0
"459",1,0
"461",1,0
"463",1,0
"471",1,0
"472",0.987654320987654,0.0123456790123457
"479",0.0167364016736402,0.98326359832636
"488",1,0
"489",0.987654320987654,0.0123456790123457
"494",1,0
"503",1,0
"504",1,0
"505",1,0
"506",1,0
"509",1,0
"511",1,0
"513",1,0
"516",1,0
"520",1,0
"521",1,0
"528",1,0
"532",1,0
"534",0.714285714285714,0.285714285714286
"537",1,0
"548",1,0
"552",1,0
"556",1,0
"568",1,0
"569",1,0
"577",0.120689655172414,0.879310344827586
"585",0.987654320987654,0.0123456790123457
"588",1,0
"591",1,0
"595",1,0
"598",1,0
"600",1,0
"607",1,0
"609",1,0
"614",1,0
"618",1,0
"620",0.987654320987654,0.0123456790123457
"622",1,0
"630",1,0
"631",1,0
"632",1,0
"633",1,0
"634",1,0
"640",1,0
"642",0.987654320987654,0.0123456790123457
"645",1,0
"647",0.120689655172414,0.879310344827586
"648",1,0
"649",0.987654320987654,0.0123456790123457
"651",1,0
"653",1,0
"657",1,0
"660",1,0
"662",0.714285714285714,0.285714285714286
"665",1,0
"668",1,0
"677",0.714285714285714,0.285714285714286
"680",1,0
"683",1,0
"685",1,0
"689",1,0
"695",0.987654320987654,0.0123456790123457
"699",1,0
"700",1,0
"707",1,0
"721",1,0
"726",1,0
"735",1,0
"737",1,0
"738",1,0
"742",1,0
"743",1,0
"746",0.987654320987654,0.0123456790123457
"753",1,0
"760",1,0
"763",0,1
"770",0,1
"780",0.0167364016736402,0.98326359832636
"786",0.0167364016736402,0.98326359832636
"788",0.0167364016736402,0.98326359832636
"793",0.0167364016736402,0.98326359832636
"810",0.0167364016736402,0.98326359832636
"812",0,1
"818",0,1
"820",0.0167364016736402,0.98326359832636
"828",0.0167364016736402,0.98326359832636
"835",0.0167364016736402,0.98326359832636
"839",0,1
"848",0.0167364016736402,0.98326359832636
"859",0,1
"860",0,1
"861",0,1
"862",0.0167364016736402,0.98326359832636
"867",0,1
"869",0,1
"877",0.0167364016736402,0.98326359832636
"883",0.0167364016736402,0.98326359832636
"888",0.0167364016736402,0.98326359832636
"892",0,1
"900",0,1
"902",0.0167364016736402,0.98326359832636
"903",0.0167364016736402,0.98326359832636
"907",0,1
"909",0.0167364016736402,0.98326359832636
"910",0.0167364016736402,0.98326359832636
"913",0.120689655172414,0.879310344827586
"915",0.0167364016736402,0.98326359832636
"917",0.0167364016736402,0.98326359832636
"918",0.120689655172414,0.879310344827586
"924",0.120689655172414,0.879310344827586
"926",0.285714285714286,0.714285714285714
"931",0.0167364016736402,0.98326359832636
"936",0,1
"938",0.0167364016736402,0.98326359832636
"941",0.0167364016736402,0.98326359832636
"948",0.0167364016736402,0.98326359832636
"949",0.0167364016736402,0.98326359832636
"952",0,1
"953",0,1
"957",0.0167364016736402,0.98326359832636
"958",0.0167364016736402,0.98326359832636
"964",0.0167364016736402,0.98326359832636
"968",0.714285714285714,0.285714285714286
"969",0.0167364016736402,0.98326359832636
"970",0.0167364016736402,0.98326359832636
"971",0.0167364016736402,0.98326359832636
"972",0.0167364016736402,0.98326359832636
"976",0.0167364016736402,0.98326359832636
"981",0.120689655172414,0.879310344827586
"982",0,1
"983",0,1
"984",0.0167364016736402,0.98326359832636
"989",0,1
"993",0.0167364016736402,0.98326359832636
"999",0.0167364016736402,0.98326359832636
"1001",0,1
"1003",0.0167364016736402,0.98326359832636
"1004",0.0167364016736402,0.98326359832636
"1005",0.0167364016736402,0.98326359832636
"1006",0.0167364016736402,0.98326359832636
"1007",0,1
"1012",0.0167364016736402,0.98326359832636
"1013",0,1
"1014",0,1
"1016",0.0167364016736402,0.98326359832636
"1018",0.0167364016736402,0.98326359832636
"1026",0.0167364016736402,0.98326359832636
"1027",0.0167364016736402,0.98326359832636
"1028",0,1
"1030",0.0167364016736402,0.98326359832636
"1035",0.120689655172414,0.879310344827586
"1036",0.714285714285714,0.285714285714286
"1038",0.0167364016736402,0.98326359832636
"1041",0.285714285714286,0.714285714285714
"1042",0,1
"1049",0,1
"1056",0,1
"1063",0,1
"1064",0.0167364016736402,0.98326359832636
"1071",0.0167364016736402,0.98326359832636
"1075",0,1
"1076",0.987654320987654,0.0123456790123457
"1081",0,1
"1083",0,1
"1089",0.120689655172414,0.879310344827586
"1091",0.0167364016736402,0.98326359832636
"1094",0.987654320987654,0.0123456790123457
"1096",0.120689655172414,0.879310344827586
"1101",0.120689655172414,0.879310344827586
"1108",0.120689655172414,0.879310344827586
"1115",0.0167364016736402,0.98326359832636
"1116",0,1
"1122",0.0167364016736402,0.98326359832636
"1125",0.0167364016736402,0.98326359832636
"1133",0.0167364016736402,0.98326359832636
"1134",0.0167364016736402,0.98326359832636
"1140",0.0167364016736402,0.98326359832636
"1145",0.0167364016736402,0.98326359832636
"1146",0.0167364016736402,0.98326359832636
"1147",0.0167364016736402,0.98326359832636
"1155",0,1
"1161",0.0167364016736402,0.98326359832636
"1162",0.120689655172414,0.879310344827586
"1164",0.120689655172414,0.879310344827586
"1165",0,1
"1173",0,1
"1181",0.0167364016736402,0.98326359832636
"1184",0,1
"1199",0.0167364016736402,0.98326359832636
"1204",0,1
