"","no","yes"
"3",0.174180038982558,0.825819961017442
"4",0.166924312094162,0.833075687905838
"12",0.0510935500542918,0.948906449945708
"18",0.531831541242907,0.468168458757093
"22",0.140999008953119,0.859000991046881
"28",0.531831541242907,0.468168458757093
"31",0.531831541242907,0.468168458757093
"42",0.231842161323607,0.768157838676393
"44",0.482024100511573,0.517975899488427
"45",0.0594403632388576,0.940559636761142
"52",0.166924312094162,0.833075687905838
"54",0.166924312094162,0.833075687905838
"55",0.152330577329783,0.847669422670217
"64",0.975252930890046,0.0247470691099538
"65",0.166924312094162,0.833075687905838
"67",0.080640280746669,0.919359719253331
"76",0.166924312094162,0.833075687905838
"77",0.938491975935643,0.0615080240643569
"79",0.210697468005392,0.789302531994608
"80",0.707110569449142,0.292889430550858
"84",0.919697867722317,0.0803021322776832
"85",0.126772146993777,0.873227853006223
"86",0.0594403632388576,0.940559636761142
"88",0.2805757851477,0.7194242148523
"100",0.162292925285575,0.837707074714425
