"","no","yes"
"1",0.176470588235294,0.823529411764706
"2",0.25,0.75
"3",0.136363636363636,0.863636363636364
"4",0,1
"5",0.1875,0.8125
"6",0,1
"7",0,1
"8",0.210526315789474,0.789473684210526
"9",1,0
"10",0,1
"11",0.25,0.75
"12",0.25,0.75
"13",0,1
"14",0.615384615384615,0.384615384615385
"15",0.25,0.75
"16",0,1
"17",0.25,0.75
"18",0.666666666666667,0.333333333333333
"19",0,1
"20",0.428571428571429,0.571428571428571
"21",0,1
"22",0.25,0.75
"23",0,1
"24",0.0666666666666667,0.933333333333333
"25",0,1
