"","no","yes"
"3",0.056331611850755,0.943668388149245
"4",0.0291381803997537,0.970861819600246
"12",0.0518996994011557,0.948100300598844
"18",0.0505656472836569,0.949434352716343
"22",0.0499551205064048,0.950044879493595
"28",0.0505656472836569,0.949434352716343
"31",0.0505656472836569,0.949434352716343
"42",0.0823251732671238,0.917674826732876
"44",0.0853451336294759,0.914654866370524
"45",0.0777473004210672,0.922252699578933
"52",0.0291381803997537,0.970861819600246
"54",0.0291381803997537,0.970861819600246
"55",0.0373157200707983,0.962684279929202
"64",0.7327377753439,0.2672622246561
"65",0.0291381803997537,0.970861819600246
"67",0.02369465664441,0.97630534335559
"76",0.0291381803997537,0.970861819600246
"77",0.76269929091448,0.237300709085521
"79",0.115087397942913,0.884912602057087
"80",0.600377129886911,0.399622870113089
"84",0.425850359579309,0.574149640420691
"85",0.0708296034333885,0.929170396566612
"86",0.0777473004210672,0.922252699578933
"88",0.0693090607032641,0.930690939296736
"100",0.0559013020360954,0.944098697963905
