"","no","yes"
"3",0.142857142857143,0.857142857142857
"4",0.142857142857143,0.857142857142857
"12",0.142857142857143,0.857142857142857
"18",0.590909090909091,0.409090909090909
"22",0.142857142857143,0.857142857142857
"28",0.590909090909091,0.409090909090909
"31",0.590909090909091,0.409090909090909
"42",0.142857142857143,0.857142857142857
"44",0.590909090909091,0.409090909090909
"45",0.142857142857143,0.857142857142857
"52",0.142857142857143,0.857142857142857
"54",0.142857142857143,0.857142857142857
"55",0.142857142857143,0.857142857142857
"64",0.818181818181818,0.181818181818182
"65",0.142857142857143,0.857142857142857
"67",0.142857142857143,0.857142857142857
"76",0.142857142857143,0.857142857142857
"77",0.818181818181818,0.181818181818182
"79",0.142857142857143,0.857142857142857
"80",0.142857142857143,0.857142857142857
"84",0.818181818181818,0.181818181818182
"85",0.142857142857143,0.857142857142857
"86",0.142857142857143,0.857142857142857
"88",0.142857142857143,0.857142857142857
"100",0.142857142857143,0.857142857142857
