"","X1","X2"
"2",0.95,0.05
"4",0.972,0.028
"9",0.776,0.224
"15",0.802,0.198
"22",0.98,0.02
"24",0.968,0.032
"28",0.818,0.182
"34",0.994,0.006
"37",0.984,0.016
"38",0.984,0.016
"40",0.908,0.092
"44",0.99,0.01
"45",0.82,0.18
"46",0.922,0.078
"51",0.886,0.114
"54",0.892,0.108
"62",0.992,0.008
"64",0.902,0.098
"65",0.966,0.034
"68",0.942,0.058
"70",0.834,0.166
"71",0.996,0.004
"73",0.948,0.052
"75",0.956,0.044
"80",0.952,0.048
"83",0.966,0.034
"86",0.904,0.096
"88",0.934,0.066
"97",0.936,0.064
"103",0.97,0.03
"109",0.734,0.266
"110",0.904,0.096
"114",0.99,0.01
"117",0.868,0.132
"128",0.744,0.256
"129",0.814,0.186
"130",0.806,0.194
"139",0.862,0.138
"151",0.64,0.36
"159",0.954,0.046
"178",0.992,0.008
"179",0.892,0.108
"186",0.82,0.18
"187",0.96,0.04
"188",0.938,0.062
"197",0.918,0.082
"198",0.908,0.092
"209",0.824,0.176
"210",0.954,0.046
"212",0.974,0.026
"214",0.974,0.026
"221",0.81,0.19
"223",0.8,0.2
"224",0.872,0.128
"225",0.568,0.432
"227",0.496,0.504
"228",0.802,0.198
"230",0.902,0.098
"235",0.796,0.204
"236",0.65,0.35
"241",0.834,0.166
"243",0.702,0.298
"246",0.75,0.25
"247",0.42,0.58
"248",0.594,0.406
"249",0.58,0.42
"250",0.792,0.208
"251",0.864,0.136
"253",0.874,0.126
"255",0.566,0.434
"256",0.582,0.418
"271",0.58,0.42
