"","X2","X1"
"6",1,2.22044604925031e-16
"8",2.22044604925031e-16,1
"9",2.22044604925031e-16,1
"15",2.22044604925031e-16,1
"18",1,2.22044604925031e-16
"22",1,2.22044604925031e-16
"25",1,2.22044604925031e-16
"39",2.22044604925031e-16,1
"50",2.22044604925031e-16,1
"53",1,2.22044604925031e-16
"54",2.22044604925031e-16,1
"57",2.22044604925031e-16,1
"60",2.22044604925031e-16,1
"61",1,2.22044604925031e-16
"68",2.22044604925031e-16,1
"70",1,2.22044604925031e-16
"73",1,2.22044604925031e-16
"77",1,2.22044604925031e-16
"78",1,2.22044604925031e-16
"81",1,2.22044604925031e-16
"84",2.22044604925031e-16,1
"87",2.22044604925031e-16,1
"89",1,2.22044604925031e-16
"90",2.22044604925031e-16,1
"91",1,2.22044604925031e-16
"94",1,2.22044604925031e-16
"95",1,2.22044604925031e-16
"100",2.22044604925031e-16,1
"104",1,2.22044604925031e-16
"112",2.22044604925031e-16,1
"114",2.22044604925031e-16,1
"115",1,2.22044604925031e-16
"118",2.22044604925031e-16,1
"121",2.22044604925031e-16,1
"126",2.22044604925031e-16,1
"137",2.22044604925031e-16,1
"146",1,2.22044604925031e-16
"156",2.22044604925031e-16,1
"157",2.22044604925031e-16,1
"158",1,2.22044604925031e-16
"164",2.22044604925031e-16,1
"166",1,2.22044604925031e-16
"168",2.22044604925031e-16,1
"172",2.22044604925031e-16,1
"174",1,2.22044604925031e-16
"184",2.22044604925031e-16,1
"197",1,2.22044604925031e-16
"200",1,2.22044604925031e-16
"212",2.22044604925031e-16,1
"213",1,2.22044604925031e-16
"215",2.22044604925031e-16,1
"222",1,2.22044604925031e-16
"224",2.22044604925031e-16,1
"226",2.22044604925031e-16,1
"231",2.22044604925031e-16,1
"232",2.22044604925031e-16,1
"233",1,2.22044604925031e-16
"234",2.22044604925031e-16,1
"247",1,2.22044604925031e-16
"252",2.22044604925031e-16,1
"259",1,2.22044604925031e-16
"261",1,2.22044604925031e-16
"262",1,2.22044604925031e-16
"265",1,2.22044604925031e-16
"266",1,2.22044604925031e-16
"269",1,2.22044604925031e-16
"273",1,2.22044604925031e-16
"279",2.22044604925031e-16,1
"281",1,2.22044604925031e-16
"296",2.22044604925031e-16,1
"301",2.22044604925031e-16,1
"311",2.22044604925031e-16,1
"314",2.22044604925031e-16,1
"317",1,2.22044604925031e-16
"318",1,2.22044604925031e-16
"320",1,2.22044604925031e-16
"322",1,2.22044604925031e-16
"326",9.97825667595764e-05,0.99990021743324
"328",2.22044604925031e-16,1
"330",1,2.22044604925031e-16
"336",2.22044604925031e-16,1
"349",1,2.22044604925031e-16
"352",2.22044604925031e-16,1
"356",1.65925390094301e-08,0.999999983407461
"358",2.22044604925031e-16,1
"360",2.22044604925031e-16,1
"361",1,2.22044604925031e-16
"366",1,2.22044604925031e-16
"371",1,2.22044604925031e-16
"372",0.999999999999869,1.31462520758836e-13
"378",2.22044604925031e-16,1
"379",2.22044604925031e-16,1
"383",1.11024190618814e-07,0.999999888975809
"386",1,2.22044604925031e-16
"387",1,2.22044604925031e-16
"389",2.22044604925031e-16,1
"392",1,2.22044604925031e-16
"397",1,2.22044604925031e-16
"400",2.22044604925031e-16,1
"404",2.22044604925031e-16,1
"413",2.22044604925031e-16,1
"414",2.22044604925031e-16,1
"418",1,2.22044604925031e-16
"419",1,2.22044604925031e-16
"421",2.22044604925031e-16,1
"422",1,2.22044604925031e-16
"424",1,2.22044604925031e-16
"430",2.22044604925031e-16,1
"434",2.22044604925031e-16,1
