"","X2","X1"
"6",0.999999999999962,3.79121552159103e-14
"8",2.11576837018957e-19,1
"9",3.87190606454487e-25,1
"15",6.23379537284719e-20,1
"18",1,5.54141578289681e-54
"22",1,1.22685367812421e-42
"25",1,3.16753930733728e-56
"39",2.23639629486895e-31,1
"50",2.72179762044783e-31,1
"53",1,7.47658067581235e-54
"54",2.07759427256364e-29,1
"57",6.21150261948457e-23,1
"60",1.46494954776147e-25,1
"61",1,1.74978673075322e-54
"68",2.23639629486895e-31,1
"70",1,1.29733891320133e-56
"73",1,1.12110672060254e-58
"77",0.99999992557832,7.44216797568282e-08
"78",9.17775341916876e-09,0.999999990822247
"81",1,8.87883538276488e-28
"84",2.42093060273349e-31,1
"87",1.75333117117059e-31,1
"89",1,1.21129164741902e-18
"90",1.88097199410935e-23,1
"91",1,2.28484446254797e-56
"94",1,1.2005176059111e-54
"95",1,1.45257263377748e-31
"100",1.82052814308975e-30,1
"104",0.999999336599675,6.63400324483183e-07
"112",2.47169628881586e-25,1
"114",1.97123065161838e-31,1
"115",1,2.8174000840049e-56
"118",2.57747789914193e-11,0.999999999974225
"121",1.28527656473017e-20,1
"126",2.47169628881586e-25,1
"137",4.80827639894057e-06,0.999995191723601
"146",1,7.88571203083816e-32
"156",4.93306242058816e-25,1
"157",6.79956651737198e-27,1
"158",1,1.12041215884088e-34
"164",9.1775532545631e-23,1
"166",1,8.63067822458305e-51
"168",0.067574084809262,0.932425915190738
"172",2.47169628881586e-25,1
"174",0.914037508086293,0.0859624919137072
"184",0.999999999932284,6.77156901411112e-11
"197",1,3.3160569818482e-32
"200",1,1.56735798987076e-50
"212",2.80418347686044e-25,1
"213",1,6.94000819938485e-57
"215",2.605064023809e-23,1
"222",1,1.12414199625451e-35
"224",4.83895560442047e-22,1
"226",3.41282085475159e-25,1
"231",3.87190606454487e-25,1
"232",1.8771525926464e-21,1
"233",1,6.97191498846098e-53
"234",2.80418347686044e-25,1
"247",1,1.31360292391287e-27
"252",3.08792789354976e-31,1
"259",1,6.94000819938485e-57
"261",1,1.85820661993067e-52
"262",1,2.4128141105435e-38
"265",1,3.16753930733728e-56
"266",1,1.85820661993067e-52
"269",1,3.16753930733728e-56
"273",1,4.37361347963391e-56
"279",3.03556825343822e-25,1
"281",1,1.33629030774799e-33
"296",1.55569294007711e-15,0.999999999999998
"301",6.47188277602422e-12,0.999999999993528
"311",1.42594020844934e-27,1
"314",5.31803084682318e-19,1
"317",0.999999999999996,3.67619371001355e-15
"318",1,4.3331235036116e-50
"320",1,3.16753930733728e-56
"322",1,5.48485517578414e-50
"326",0.884751095389423,0.115248904610577
"328",3.87190606454487e-25,1
"330",1,6.20124007662974e-53
"336",2.54406442219765e-23,1
"349",1,8.84732878769242e-52
"352",6.26143102308042e-05,0.999937385689769
"356",0.999999999999909,9.15370139506033e-14
"358",2.42093060273349e-31,1
"360",2.28273269354119e-24,1
"361",1,1.11522272468595e-46
"366",0.179523085170413,0.820476914829587
"371",1,2.69777756647782e-44
"372",1,4.06809659905286e-52
"378",2.20135906826997e-13,0.99999999999978
"379",3.03556825343822e-25,1
"383",8.42005724473314e-17,1
"386",0.918591021814113,0.0814089781858868
"387",1,8.91184687792096e-36
"389",3.83606078822039e-19,1
"392",1,3.30116617792376e-44
"397",1,2.04493389158561e-39
"400",6.91140449543257e-28,1
"404",3.7108898122062e-30,1
"413",2.19847542715998e-25,1
"414",3.84567524240338e-06,0.999996154324758
"418",1,2.47613841595432e-52
"419",1,9.7521942752948e-49
"421",2.75700552999054e-06,0.99999724299447
"422",1,8.01473462818863e-40
"424",1,6.71400482409692e-37
"430",1,2.2854763106448e-35
"434",2.97628606481982e-20,1
