"","X2","X1"
"6",0.89,0.11
"8",0.244,0.756
"9",0,1
"15",0.07,0.93
"18",1,0
"22",0.994,0.006
"25",1,0
"39",0,1
"50",0,1
"53",1,0
"54",0.004,0.996
"57",0.024,0.976
"60",0.002,0.998
"61",1,0
"68",0,1
"70",1,0
"73",1,0
"77",0.94,0.06
"78",0.474,0.526
"81",0.954,0.046
"84",0,1
"87",0,1
"89",0.94,0.06
"90",0.01,0.99
"91",1,0
"94",0.962,0.038
"95",0.892,0.108
"100",0.072,0.928
"104",0.656,0.344
"112",0,1
"114",0,1
"115",1,0
"118",0.182,0.818
"121",0.132,0.868
"126",0,1
"137",0.102,0.898
"146",0.988,0.012
"156",0.166,0.834
"157",0.01,0.99
"158",0.984,0.016
"164",0.022,0.978
"166",1,0
"168",0.326,0.674
"172",0,1
"174",0.788,0.212
"184",0.21,0.79
"197",0.986,0.014
"200",0.946,0.054
"212",0,1
"213",1,0
"215",0.002,0.998
"222",0.962,0.038
"224",0.002,0.998
"226",0,1
"231",0,1
"232",0.02,0.98
"233",1,0
"234",0,1
"247",0.844,0.156
"252",0,1
"259",1,0
"261",0.992,0.008
"262",0.982,0.018
"265",1,0
"266",0.992,0.008
"269",1,0
"273",1,0
"279",0,1
"281",0.944,0.056
"296",0.052,0.948
"301",0.016,0.984
"311",0.052,0.948
"314",0.184,0.816
"317",0.84,0.16
"318",0.864,0.136
"320",1,0
"322",0.996,0.004
"326",0.708,0.292
"328",0,1
"330",0.998,0.002
"336",0.126,0.874
"349",0.976,0.024
"352",0.142,0.858
"356",0.374,0.626
"358",0,1
"360",0.028,0.972
"361",0.998,0.002
"366",0.766,0.234
"371",0.964,0.036
"372",0.99,0.01
"378",0.122,0.878
"379",0,1
"383",0.148,0.852
"386",0.814,0.186
"387",0.95,0.05
"389",0.29,0.71
"392",0.922,0.078
"397",0.984,0.016
"400",0.096,0.904
"404",0.052,0.948
"413",0,1
"414",0.344,0.656
"418",0.998,0.002
"419",0.992,0.008
"421",0.246,0.754
"422",0.946,0.054
"424",1,0
"430",0.904,0.096
"434",0.03,0.97
