"","X2","X1"
"4",2.22044604925031e-16,1
"7",2.22044604925031e-16,1
"9",2.22044604925031e-16,1
"12",2.22044604925031e-16,1
"23",8.76064276678079e-09,0.999999991239357
"24",2.22044604925031e-16,1
"29",2.22044604925031e-16,1
"30",2.03992378544626e-12,0.99999999999796
"39",2.22044604925031e-16,1
"49",2.22044604925031e-16,1
"50",2.22044604925031e-16,1
"53",5.88936850620669e-07,0.999999411063149
"94",1,2.22044604925031e-16
"98",0.000656540716139742,0.99934345928386
"103",1,2.22044604925031e-16
"105",0.999999990871119,9.12888070700479e-09
"109",2.22044604925031e-16,1
"113",1,2.22044604925031e-16
"114",2.22044604925031e-16,1
"118",1,2.22044604925031e-16
"120",1,2.22044604925031e-16
"123",1,2.22044604925031e-16
"131",1,2.22044604925031e-16
"132",1,2.22044604925031e-16
"139",1,2.22044604925031e-16
"141",1,2.22044604925031e-16
"143",1,2.22044604925031e-16
"145",1,2.22044604925031e-16
"146",1,2.22044604925031e-16
"147",1,2.22044604925031e-16
"148",1,2.22044604925031e-16
"155",2.22044604925031e-16,1
"156",2.22044604925031e-16,1
"160",1,2.22044604925031e-16
"161",2.22044604925031e-16,1
"166",0.999986091873393,1.39081266069467e-05
"167",1,2.22044604925031e-16
"170",2.22044604925031e-16,1
"171",0.068552702666244,0.931447297333756
"172",1,2.22044604925031e-16
"173",1,2.22044604925031e-16
"175",1,2.22044604925031e-16
"176",1,2.22044604925031e-16
"182",1,2.22044604925031e-16
"186",1,2.22044604925031e-16
"191",1,2.22044604925031e-16
"192",2.22044604925031e-16,1
"193",1,2.22044604925031e-16
"194",1,2.22044604925031e-16
"195",0.999999999838387,1.61612800923767e-10
"196",1,2.22044604925031e-16
"204",1,2.22044604925031e-16
