"","X2","X1"
"4",0.446,0.554
"7",0.524,0.476
"9",0.514,0.486
"12",0.348,0.652
"23",0.45,0.55
"24",0.208,0.792
"29",0.49,0.51
"30",0.49,0.51
"39",0.114,0.886
"49",0.414,0.586
"50",0.444,0.556
"53",0.208,0.792
"94",0.372,0.628
"98",0.478,0.522
"103",0.692,0.308
"105",0.518,0.482
"109",0.518,0.482
"113",0.654,0.346
"114",0.56,0.44
"118",0.836,0.164
"120",0.672,0.328
"123",0.752,0.248
"131",0.67,0.33
"132",0.69,0.31
"139",0.648,0.352
"141",0.7,0.3
"143",0.696,0.304
"145",0.57,0.43
"146",0.622,0.378
"147",0.73,0.27
"148",0.732,0.268
"155",0.502,0.498
"156",0.384,0.616
"160",0.662,0.338
"161",0.758,0.242
"166",0.542,0.458
"167",0.49,0.51
"170",0.494,0.506
"171",0.484,0.516
"172",0.582,0.418
"173",0.55,0.45
"175",0.784,0.216
"176",0.732,0.268
"182",0.856,0.144
"186",0.886,0.114
"191",0.59,0.41
"192",0.552,0.448
"193",0.658,0.342
"194",0.47,0.53
"195",0.642,0.358
"196",0.854,0.146
"204",0.812,0.188
