"","X1","X2"
"3",1,2.22044604925031e-16
"9",2.22044604925031e-16,1
"10",1,2.22044604925031e-16
"11",0.999999999999142,8.58411473395688e-13
"15",1,2.22044604925031e-16
"19",2.22044604925031e-16,1
"22",2.22044604925031e-16,1
"29",2.22044604925031e-16,1
"32",2.29549712571497e-12,0.999999999997705
"39",2.22044604925031e-16,1
"41",1,2.22044604925031e-16
"43",2.22044604925031e-16,1
"48",1,2.22044604925031e-16
"51",2.22044604925031e-16,1
"52",1.79503695241223e-08,0.99999998204963
"55",1,2.22044604925031e-16
"56",0.999937433472393,6.25665276067279e-05
"58",0.999999999751943,2.48056549119634e-10
"63",1,2.22044604925031e-16
"67",1,2.22044604925031e-16
"76",2.22044604925031e-16,1
"80",2.22044604925031e-16,1
"81",2.22044604925031e-16,1
