"","X1","X2"
"3",0.814814814814815,0.185185185185185
"9",0.225,0.775
"10",0.814814814814815,0.185185185185185
"11",0.225,0.775
"15",0.225,0.775
"19",0.225,0.775
"22",0.225,0.775
"29",0.225,0.775
"32",0.225,0.775
"39",0.225,0.775
"41",0.225,0.775
"43",0.225,0.775
"48",0.225,0.775
"51",0.225,0.775
"52",0.225,0.775
"55",0.225,0.775
"56",0.814814814814815,0.185185185185185
"58",0.814814814814815,0.185185185185185
"63",0.814814814814815,0.185185185185185
"67",0.814814814814815,0.185185185185185
"76",0.225,0.775
"80",0.225,0.775
"81",0.225,0.775
