"","X1","X2"
"1",1,0
"2",0.95,0.05
"3",0.95,0.05
"4",1,0
"5",0.95,0.05
"6",0.9,0.1
"7",1,0
"8",1,0
"9",1,0
"10",0.95,0.05
"11",0.95,0.05
"12",1,0
"13",1,0
"14",1,0
"15",0.95,0.05
"16",0.95,0.05
"17",0.9,0.1
"18",1,0
"19",0.95,0.05
"20",1,0
"21",1,0
"22",1,0
"23",0.95,0.05
"24",1,0
"25",1,0
"26",0.95,0.05
"27",0.85,0.15
"28",0.85,0.15
"29",0.95,0.05
"30",1,0
"31",0.95,0.05
"32",0.9,0.1
"33",1,0
"34",0.9,0.1
"35",0.95,0.05
"36",1,0
"37",1,0
"38",1,0
"39",0.95,0.05
"40",1,0
"41",0.9,0.1
"42",0.95,0.05
"43",0.9,0.1
"44",0.85,0.15
"45",0.95,0.05
"46",1,0
"47",0.9,0.1
"48",1,0
"49",0.95,0.05
"50",1,0
"51",0.9,0.1
"52",1,0
"53",0.95,0.05
"54",1,0
"55",1,0
"56",0.95,0.05
"57",1,0
"58",0.85,0.15
"59",1,0
"60",0.95,0.05
"61",0.95,0.05
"62",0.95,0.05
"63",1,0
"64",1,0
"65",0.9,0.1
"66",0.85,0.15
"67",1,0
"68",1,0
"69",1,0
"70",0.95,0.05
"71",0.85,0.15
"72",0.85,0.15
"73",1,0
"74",0.95,0.05
"75",1,0
"76",0.9,0.1
"77",1,0
"78",1,0
"79",0.95,0.05
"80",0.95,0.05
"81",1,0
"82",1,0
"83",1,0
"84",0.95,0.05
"85",1,0
"86",0.95,0.05
"87",1,0
"88",0.95,0.05
"89",0.95,0.05
"90",0.95,0.05
"91",1,0
"92",1,0
"93",1,0
"94",1,0
"95",0.95,0.05
"96",0.95,0.05
"97",0.95,0.05
"98",1,0
"99",1,0
"100",1,0
"101",0.95,0.05
"102",0.95,0.05
"103",1,0
"104",0.95,0.05
"105",0.95,0.05
"106",0.95,0.05
"107",0.95,0.05
"108",1,0
"109",1,0
"110",1,0
"111",0.95,0.05
"112",1,0
"113",1,0
"114",0.95,0.05
"115",0.95,0.05
"116",1,0
"117",0.95,0.05
"118",0.95,0.05
"119",0.95,0.05
"120",0.95,0.05
"121",1,0
"122",0.9,0.1
"123",0.95,0.05
"124",1,0
"125",0.95,0.05
"126",1,0
"127",0.95,0.05
"128",1,0
"129",1,0
"130",0.95,0.05
"131",0.85,0.15
"132",0.95,0.05
"133",0.95,0.05
"134",0.95,0.05
"135",1,0
"136",0.95,0.05
"137",1,0
"138",0.95,0.05
"139",1,0
"140",0.95,0.05
"141",1,0
"142",1,0
"143",1,0
"144",1,0
"145",0.95,0.05
"146",0.9,0.1
"147",0.9,0.1
"148",1,0
"149",0.95,0.05
"150",0.95,0.05
"151",1,0
"152",1,0
"153",0.95,0.05
"154",0.95,0.05
"155",0.85,0.15
"156",0.85,0.15
"157",0.95,0.05
"158",0.85,0.15
"159",1,0
"160",1,0
"161",1,0
"162",1,0
"163",0.95,0.05
"164",0.85,0.15
"165",0.95,0.05
"166",1,0
"167",1,0
"168",1,0
"169",0.95,0.05
"170",1,0
"171",1,0
"172",1,0
"173",0.95,0.05
"174",0.95,0.05
"175",0.95,0.05
"176",1,0
"177",0.9,0.1
"178",0.95,0.05
"179",1,0
"180",0.95,0.05
"181",1,0
"182",0.95,0.05
"183",0.9,0.1
"184",1,0
"185",1,0
"186",0.95,0.05
"187",1,0
"188",0.85,0.15
"189",0.95,0.05
"190",1,0
"191",0.95,0.05
"192",1,0
"193",1,0
"194",1,0
"195",1,0
"196",0.95,0.05
"197",1,0
"198",1,0
"199",1,0
"200",1,0
"201",0.9,0.1
"202",0.85,0.15
"203",1,0
"204",1,0
"205",1,0
"206",0.85,0.15
"207",1,0
"208",1,0
"209",0.9,0.1
"210",0.95,0.05
"211",1,0
"212",0.95,0.05
"213",0.95,0.05
"214",0.9,0.1
"215",0.95,0.05
"216",0.95,0.05
"217",0.95,0.05
"218",0.85,0.15
"219",0.95,0.05
"220",0.85,0.15
"221",1,0
"222",1,0
"223",1,0
"224",0.95,0.05
"225",0.9,0.1
"226",1,0
"227",0.95,0.05
"228",1,0
"229",1,0
"230",1,0
"231",0.95,0.05
"232",0.95,0.05
"233",1,0
"234",1,0
"235",0.9,0.1
"236",0.95,0.05
"237",1,0
"238",0.95,0.05
"239",1,0
"240",1,0
"241",0.95,0.05
"242",1,0
"243",0.95,0.05
"244",1,0
"245",0.95,0.05
"246",0.95,0.05
"247",1,0
"248",1,0
"249",0.95,0.05
"250",0.95,0.05
