"","X1","X2"
"2",1,1.08313259468564e-30
"16",1,3.45569930222871e-21
"18",1,1.20213924400055e-22
"19",1,4.72605022289689e-25
"20",1,4.66918457306333e-22
"23",1,8.03697612104619e-19
"29",1,7.98177818845098e-19
"33",1,7.23891545144811e-30
"36",1,2.03914759884205e-24
"39",1,1.28899280783527e-18
"42",1,2.39116297977122e-21
"44",1,3.20794919299377e-28
"49",1,3.06227592498805e-19
"52",1,2.62017091683375e-30
"53",1,1.30383303240453e-19
"54",1,1.5257731050557e-20
"55",1,8.60655791322187e-26
"58",1,5.82056302965883e-24
"62",1,2.78688418709216e-22
"65",1,1.87735230407987e-22
"69",1,3.9676501134725e-23
"70",1,2.02317479461123e-23
"72",1,9.45662123255825e-21
"74",1,1.05929428179883e-29
"75",1,4.62159861298361e-24
"89",1,1.16433651180292e-21
"90",1,6.5366930197609e-20
"92",1,7.93650377443098e-21
"98",1,4.04413252514518e-22
"101",1,2.13506979740008e-20
"103",1,9.33507785556921e-20
"115",1,3.23173318632582e-20
"119",1,2.98212124791841e-24
"126",1,4.59185262197974e-19
"127",1,7.92530635411496e-19
"128",1,2.05961664878375e-20
"132",1,3.35205016925047e-24
"134",1,4.54683721558967e-21
"138",1,1.73912621407051e-21
"142",1,6.55563455598611e-27
"150",1,4.76730560615054e-22
"154",1,2.33967374835922e-22
"157",1,6.50397214043581e-19
"162",1,1.32311471213314e-20
"175",1,2.22422020956312e-20
"191",1,2.37155976368418e-23
"197",1,5.18927004193278e-21
"199",1,2.16617855237746e-23
"202",1,1.0937270446779e-18
"213",1,2.170153838348e-28
"220",1,4.12679931421452e-22
"221",1,1.62847296520678e-19
"222",1,1.09361198122572e-20
"232",1,5.32465804832709e-21
"234",1,2.8947412130162e-19
"235",1,1.10066712110213e-18
"240",1,2.51037437939602e-21
"253",1,9.47686827392434e-23
"254",1,2.14302913244889e-20
"257",1,7.07267685686444e-20
"262",1,8.71035920081899e-23
"265",1,2.20384781896177e-19
"266",1,8.2680650716914e-23
"269",1,8.07675921156524e-24
"270",1,1.82718003479471e-21
"272",1,8.6037963966675e-22
"273",1,1.64633871896366e-24
"274",1,6.61873034413122e-24
"277",1,2.60433243338361e-21
"278",1,8.97148155076438e-21
"283",1,5.09486858152981e-21
"289",1,1.89231446940924e-21
"296",1,2.03537567591882e-25
"302",1,5.22959146358086e-25
"309",1,8.16207230351469e-21
"313",1,3.30240901753718e-21
"315",1,1.23963760881402e-17
"318",1,5.84045033175526e-22
"319",1,1.01173908880388e-19
"328",1,1.15179033937814e-21
"331",1,3.12634846195763e-24
"332",1,5.75874690977395e-21
"334",1,8.07457760872288e-25
"338",1,1.437080058438e-20
"339",1,1.69420685491319e-20
"355",1,6.38253180969244e-22
"356",1,3.5298945637861e-20
"359",1,1.86471972902791e-19
"367",1,6.71346856221171e-21
"369",1,2.02454219135947e-23
"379",1,4.11127298381866e-26
"382",1,2.40848888671559e-24
"385",1,8.91665495343214e-22
"389",1,7.31331601086742e-22
"394",1,6.74704565378588e-21
"397",1,1.65555423697319e-21
"400",1,6.50393366539023e-20
"409",1,7.41263056971698e-23
"413",1,3.8743935332201e-22
"426",1,4.75290022041099e-22
"433",1,4.63810255014013e-21
"434",1,5.86487664998482e-20
"436",1,5.0463984504007e-21
"438",1,3.39123663819723e-22
"442",1,5.02329060621927e-19
"443",1,5.10932422907929e-21
"444",1,3.7125570714111e-21
"447",1,1.47971706524505e-24
"457",1,5.57120133059691e-19
"463",1,4.49468890125557e-21
"465",1,6.93650994448001e-22
"471",1,5.66601112679876e-23
"478",1,1.88562773247574e-25
"484",1,4.95135171309574e-20
"485",1,1.54239219547143e-20
"487",1,4.90241990410303e-22
"491",1,8.53012597000312e-21
"492",1,1.23999976505655e-25
"493",1,1.12406861986122e-19
"500",1,2.11213486196755e-21
"502",1,3.55322997508397e-30
"503",1,1.06517061720921e-20
"511",1,2.70368902219669e-20
"512",1,1.09693602347436e-24
"513",1,1.56144181350292e-21
"516",1,2.14017573135484e-20
"520",1,1.67254697930512e-21
"521",1,3.41202305492006e-28
"522",1,1.21938479411352e-21
"524",1,7.14154130067072e-22
"525",1,3.30078733755698e-20
"527",1,5.88443134996371e-21
"532",1,1.12620674881538e-23
"541",1,1.49481263044244e-20
"543",1,1.14153975387127e-27
"548",1,2.41577237961203e-20
"554",1,8.71146135522022e-21
"557",1,1.32216653614748e-22
"559",1,7.14595305274155e-22
"562",1,2.43780597105331e-21
"565",1,1.21716080371424e-23
