"","X1","X2"
"2",0.998,0.002
"16",0.992,0.008
"18",0.994,0.006
"19",0.998,0.002
"20",0.994,0.006
"23",0.884,0.116
"29",0.92,0.08
"33",1,0
"36",0.988,0.012
"39",0.964,0.036
"42",0.992,0.008
"44",0.986,0.014
"49",0.912,0.088
"52",0.996,0.004
"53",0.988,0.012
"54",0.982,0.018
"55",1,0
"58",0.99,0.01
"62",0.984,0.016
"65",0.998,0.002
"69",0.998,0.002
"70",1,0
"72",0.95,0.05
"74",0.988,0.012
"75",1,0
"89",0.996,0.004
"90",0.98,0.02
"92",0.98,0.02
"98",0.998,0.002
"101",0.98,0.02
"103",0.98,0.02
"115",0.98,0.02
"119",0.988,0.012
"126",0.962,0.038
"127",0.976,0.024
"128",0.984,0.016
"132",0.998,0.002
"134",0.98,0.02
"138",0.982,0.018
"142",0.99,0.01
"150",0.996,0.004
"154",0.99,0.01
"157",0.942,0.058
"162",1,0
"175",0.994,0.006
"191",0.99,0.01
"197",0.97,0.03
"199",0.998,0.002
"202",0.984,0.016
"213",0.992,0.008
"220",0.962,0.038
"221",0.96,0.04
"222",0.99,0.01
"232",0.948,0.052
"234",0.958,0.042
"235",0.932,0.068
"240",0.982,0.018
"253",0.958,0.042
"254",0.996,0.004
"257",0.976,0.024
"262",0.998,0.002
"265",0.954,0.046
"266",0.996,0.004
"269",0.998,0.002
"270",0.986,0.014
"272",0.996,0.004
"273",0.98,0.02
"274",0.982,0.018
"277",0.998,0.002
"278",0.976,0.024
"283",0.984,0.016
"289",0.956,0.044
"296",0.974,0.026
"302",0.996,0.004
"309",0.974,0.026
"313",0.99,0.01
"315",0.862,0.138
"318",0.98,0.02
"319",0.988,0.012
"328",0.988,0.012
"331",0.986,0.014
"332",0.99,0.01
"334",0.97,0.03
"338",0.998,0.002
"339",0.996,0.004
"355",0.988,0.012
"356",0.984,0.016
"359",0.976,0.024
"367",0.99,0.01
"369",1,0
"379",0.998,0.002
"382",1,0
"385",0.994,0.006
"389",0.994,0.006
"394",0.982,0.018
"397",0.992,0.008
"400",0.988,0.012
"409",0.998,0.002
"413",1,0
"426",0.98,0.02
"433",0.966,0.034
"434",0.99,0.01
"436",0.98,0.02
"438",0.994,0.006
"442",0.956,0.044
"443",0.998,0.002
"444",0.994,0.006
"447",1,0
"457",0.958,0.042
"463",0.992,0.008
"465",0.992,0.008
"471",0.992,0.008
"478",0.996,0.004
"484",0.984,0.016
"485",0.99,0.01
"487",0.992,0.008
"491",0.99,0.01
"492",0.998,0.002
"493",0.96,0.04
"500",0.916,0.084
"502",0.998,0.002
"503",0.958,0.042
"511",0.982,0.018
"512",0.992,0.008
"513",0.978,0.022
"516",0.98,0.02
"520",0.984,0.016
"521",1,0
"522",0.998,0.002
"524",0.996,0.004
"525",0.974,0.026
"527",0.988,0.012
"532",0.994,0.006
"541",0.99,0.01
"543",0.996,0.004
"548",0.988,0.012
"554",0.982,0.018
"557",0.996,0.004
"559",0.99,0.01
"562",0.962,0.038
"565",0.994,0.006
"569",1,0
"582",0.948,0.052
"591",0.992,0.008
"592",0.996,0.004
"595",0.996,0.004
"597",1,0
"601",0.968,0.032
"604",1,0
"611",0.992,0.008
"612",0.952,0.048
"617",0.994,0.006
"621",0.998,0.002
"625",0.99,0.01
"627",0.962,0.038
"628",0.964,0.036
"632",0.99,0.01
"636",0.994,0.006
"638",0.996,0.004
"640",1,0
"643",0.99,0.01
"644",0.98,0.02
"645",0.988,0.012
"648",0.992,0.008
"650",0.974,0.026
"653",0.978,0.022
"657",0.992,0.008
"658",0.996,0.004
"675",0.978,0.022
"679",0.982,0.018
"686",1,0
"693",0.994,0.006
"698",0.978,0.022
"699",0.994,0.006
"700",0.998,0.002
"715",0.996,0.004
"721",0.988,0.012
"725",0.996,0.004
"731",0.996,0.004
"734",0.994,0.006
"738",0.994,0.006
"758",0.99,0.01
"763",0.966,0.034
"764",0.998,0.002
"767",0.988,0.012
"773",0.992,0.008
"775",0.938,0.062
"783",0.972,0.028
"786",0.98,0.02
"788",1,0
"791",0.992,0.008
"792",1,0
"795",0.998,0.002
"796",0.994,0.006
"807",0.968,0.032
"808",1,0
"812",0.968,0.032
"813",1,0
"815",0.998,0.002
"819",0.988,0.012
"820",0.988,0.012
"821",0.942,0.058
"830",1,0
"831",0.996,0.004
"834",0.996,0.004
"836",0.984,0.016
"841",0.99,0.01
"847",0.992,0.008
"849",0.946,0.054
"850",0.99,0.01
"852",0.99,0.01
"858",0.988,0.012
"860",0.94,0.06
"866",0.99,0.01
"870",0.998,0.002
"876",0.986,0.014
"877",0.978,0.022
"879",0.976,0.024
"881",0.994,0.006
"883",0.996,0.004
"885",1,0
"886",0.996,0.004
"896",0.998,0.002
"897",0.996,0.004
"898",0.986,0.014
"900",0.996,0.004
"902",0.982,0.018
"911",1,0
"916",0.992,0.008
"918",0.986,0.014
"920",1,0
"923",0.992,0.008
"925",0.98,0.02
"935",1,0
"944",0.906,0.094
"946",0.98,0.02
"953",0.996,0.004
"961",0.964,0.036
"967",0.982,0.018
"970",0.918,0.082
"971",0.93,0.07
"975",1,0
"977",0.948,0.052
"978",0.998,0.002
"980",0.974,0.026
"981",0.994,0.006
"987",0.982,0.018
"989",0.992,0.008
"990",0.976,0.024
"997",0.988,0.012
