"","X1","X2"
"1",0.964,0.036
"2",0.964,0.036
"3",0.964,0.036
"4",0.964,0.036
"5",0.964,0.036
"6",0.964,0.036
"7",0.964,0.036
"8",0.964,0.036
"9",0.964,0.036
"10",0.964,0.036
"11",0.964,0.036
"12",0.964,0.036
"13",0.964,0.036
"14",0.964,0.036
"15",0.964,0.036
"16",0.964,0.036
"17",0.964,0.036
"18",0.964,0.036
"19",0.964,0.036
"20",0.964,0.036
"21",0.964,0.036
"22",0.964,0.036
"23",0.964,0.036
"24",0.964,0.036
"25",0.964,0.036
"26",0.964,0.036
"27",0.964,0.036
"28",0.964,0.036
"29",0.964,0.036
"30",0.964,0.036
"31",0.964,0.036
"32",0.964,0.036
"33",0.964,0.036
"34",0.964,0.036
"35",0.964,0.036
"36",0.964,0.036
"37",0.964,0.036
"38",0.964,0.036
"39",0.964,0.036
"40",0.964,0.036
"41",0.964,0.036
"42",0.964,0.036
"43",0.964,0.036
"44",0.964,0.036
"45",0.964,0.036
"46",0.964,0.036
"47",0.964,0.036
"48",0.964,0.036
"49",0.964,0.036
"50",0.964,0.036
"51",0.964,0.036
"52",0.964,0.036
"53",0.964,0.036
"54",0.964,0.036
"55",0.964,0.036
"56",0.964,0.036
"57",0.964,0.036
"58",0.964,0.036
"59",0.964,0.036
"60",0.964,0.036
"61",0.964,0.036
"62",0.964,0.036
"63",0.964,0.036
"64",0.964,0.036
"65",0.964,0.036
"66",0.964,0.036
"67",0.964,0.036
"68",0.964,0.036
"69",0.964,0.036
"70",0.964,0.036
"71",0.964,0.036
"72",0.964,0.036
"73",0.964,0.036
"74",0.964,0.036
"75",0.964,0.036
"76",0.964,0.036
"77",0.964,0.036
"78",0.964,0.036
"79",0.964,0.036
"80",0.964,0.036
"81",0.964,0.036
"82",0.964,0.036
"83",0.964,0.036
"84",0.964,0.036
"85",0.964,0.036
"86",0.964,0.036
"87",0.964,0.036
"88",0.964,0.036
"89",0.964,0.036
"90",0.964,0.036
"91",0.964,0.036
"92",0.964,0.036
"93",0.964,0.036
"94",0.964,0.036
"95",0.964,0.036
"96",0.964,0.036
"97",0.964,0.036
"98",0.964,0.036
"99",0.964,0.036
"100",0.964,0.036
"101",0.964,0.036
"102",0.964,0.036
"103",0.964,0.036
"104",0.964,0.036
"105",0.964,0.036
"106",0.964,0.036
"107",0.964,0.036
"108",0.964,0.036
"109",0.964,0.036
"110",0.964,0.036
"111",0.964,0.036
"112",0.964,0.036
"113",0.964,0.036
"114",0.964,0.036
"115",0.964,0.036
"116",0.964,0.036
"117",0.964,0.036
"118",0.964,0.036
"119",0.964,0.036
"120",0.964,0.036
"121",0.964,0.036
"122",0.964,0.036
"123",0.964,0.036
"124",0.964,0.036
"125",0.964,0.036
"126",0.964,0.036
"127",0.964,0.036
"128",0.964,0.036
"129",0.964,0.036
"130",0.964,0.036
"131",0.964,0.036
"132",0.964,0.036
"133",0.964,0.036
"134",0.964,0.036
"135",0.964,0.036
"136",0.964,0.036
"137",0.964,0.036
"138",0.964,0.036
"139",0.964,0.036
"140",0.964,0.036
"141",0.964,0.036
"142",0.964,0.036
"143",0.964,0.036
"144",0.964,0.036
"145",0.964,0.036
"146",0.964,0.036
"147",0.964,0.036
"148",0.964,0.036
"149",0.964,0.036
"150",0.964,0.036
"151",0.964,0.036
"152",0.964,0.036
"153",0.964,0.036
"154",0.964,0.036
"155",0.964,0.036
"156",0.964,0.036
"157",0.964,0.036
"158",0.964,0.036
"159",0.964,0.036
"160",0.964,0.036
"161",0.964,0.036
"162",0.964,0.036
"163",0.964,0.036
"164",0.964,0.036
"165",0.964,0.036
"166",0.964,0.036
"167",0.964,0.036
"168",0.964,0.036
"169",0.964,0.036
"170",0.964,0.036
"171",0.964,0.036
"172",0.964,0.036
"173",0.964,0.036
"174",0.964,0.036
"175",0.964,0.036
"176",0.964,0.036
"177",0.964,0.036
"178",0.964,0.036
"179",0.964,0.036
"180",0.964,0.036
"181",0.964,0.036
"182",0.964,0.036
"183",0.964,0.036
"184",0.964,0.036
"185",0.964,0.036
"186",0.964,0.036
"187",0.964,0.036
"188",0.964,0.036
"189",0.964,0.036
"190",0.964,0.036
"191",0.964,0.036
"192",0.964,0.036
"193",0.964,0.036
"194",0.964,0.036
"195",0.964,0.036
"196",0.964,0.036
"197",0.964,0.036
"198",0.964,0.036
"199",0.964,0.036
"200",0.964,0.036
"201",0.964,0.036
"202",0.964,0.036
"203",0.964,0.036
"204",0.964,0.036
"205",0.964,0.036
"206",0.964,0.036
"207",0.964,0.036
"208",0.964,0.036
"209",0.964,0.036
"210",0.964,0.036
"211",0.964,0.036
"212",0.964,0.036
"213",0.964,0.036
"214",0.964,0.036
"215",0.964,0.036
"216",0.964,0.036
"217",0.964,0.036
"218",0.964,0.036
"219",0.964,0.036
"220",0.964,0.036
"221",0.964,0.036
"222",0.964,0.036
"223",0.964,0.036
"224",0.964,0.036
"225",0.964,0.036
"226",0.964,0.036
"227",0.964,0.036
"228",0.964,0.036
"229",0.964,0.036
"230",0.964,0.036
"231",0.964,0.036
"232",0.964,0.036
"233",0.964,0.036
"234",0.964,0.036
"235",0.964,0.036
"236",0.964,0.036
"237",0.964,0.036
"238",0.964,0.036
"239",0.964,0.036
"240",0.964,0.036
"241",0.964,0.036
"242",0.964,0.036
"243",0.964,0.036
"244",0.964,0.036
"245",0.964,0.036
"246",0.964,0.036
"247",0.964,0.036
"248",0.964,0.036
"249",0.964,0.036
"250",0.964,0.036
