"","X1","X2"
"3",0.32,0.68
"5",0.556,0.444
"7",0.382,0.618
"9",0.488,0.512
"11",0.766,0.234
"21",0.646,0.354
"22",0.38,0.62
"24",0.602,0.398
"30",0.162,0.838
"32",0.75,0.25
"33",0.13,0.87
"35",0.396,0.604
"36",0.39,0.61
"42",0.61,0.39
"44",0.416,0.584
"45",0.538,0.462
"50",0.57,0.43
"52",0.51,0.49
"53",0.596,0.404
"54",0.578,0.422
"56",0.058,0.942
"57",0.08,0.92
"64",0.694,0.306
"65",0.324,0.676
"68",0.828,0.172
"82",0.64,0.36
"84",0.006,0.994
"85",0.702,0.298
"88",0.536,0.464
"89",0.07,0.93
"90",0.238,0.762
"92",0.2,0.8
"94",0.654,0.346
"95",0.032,0.968
"96",0.444,0.556
"98",0.542,0.458
"101",0.402,0.598
"110",0.494,0.506
"113",0.808,0.192
"115",0.29,0.71
"118",0.668,0.332
"119",0.57,0.43
"122",0.674,0.326
"125",0.472,0.528
"134",0.192,0.808
"139",0.576,0.424
"147",0.824,0.176
"150",0.296,0.704
"152",0.512,0.488
"158",0.402,0.598
"159",0.512,0.488
"160",0.684,0.316
"161",0.52,0.48
"164",0.726,0.274
"171",0.696,0.304
"174",0.766,0.234
"175",0.594,0.406
"181",0.434,0.566
"186",0.452,0.548
"188",0.806,0.194
"193",0.654,0.346
"196",0.496,0.504
"199",0.564,0.436
"200",0.776,0.224
"202",0.798,0.202
"204",0.424,0.576
"212",0.49,0.51
"217",0.036,0.964
"219",0.32,0.68
"220",0.612,0.388
"224",0.094,0.906
"225",0.464,0.536
"228",0.49,0.51
"233",0.102,0.898
"234",0.574,0.426
"236",0.682,0.318
"249",0.22,0.78
"253",0.516,0.484
"258",0.564,0.436
"259",0.644,0.356
"268",0.73,0.27
"271",0.51,0.49
"274",0.648,0.352
"278",0.422,0.578
"297",0.768,0.232
"299",0.754,0.246
"301",0.622,0.378
"309",0.604,0.396
"312",0.462,0.538
"314",0.282,0.718
"315",0.656,0.344
"318",0.256,0.744
"320",0.524,0.476
"321",0.55,0.45
"333",0.046,0.954
"338",0.1,0.9
"344",0.696,0.304
"346",0.216,0.784
"354",0.436,0.564
"357",0.706,0.294
"358",0.454,0.546
"360",0.844,0.156
"361",0.534,0.466
"364",0.404,0.596
"368",0.58,0.42
"376",0.56,0.44
"383",0.422,0.578
"389",0.464,0.536
"391",0.216,0.784
"392",0.442,0.558
"397",0.55,0.45
"404",0.61,0.39
"413",0.602,0.398
"416",0.496,0.504
"417",0.642,0.358
"421",0.076,0.924
"423",0.454,0.546
"427",0.59,0.41
"432",0.784,0.216
"435",0.388,0.612
"436",0.188,0.812
"440",0.614,0.386
"445",0.438,0.562
"448",0.536,0.464
"449",0.356,0.644
"455",0.574,0.426
"457",0.388,0.612
"459",0.754,0.246
"468",0.468,0.532
"474",0.86,0.14
"477",0.786,0.214
"482",0.698,0.302
"486",0.332,0.668
"498",0.282,0.718
"503",0.47,0.53
"504",0.474,0.526
"515",0.428,0.572
"519",0.674,0.326
"530",0.586,0.414
"541",0.556,0.444
"546",0.584,0.416
"556",0.89,0.11
"559",0.566,0.434
"560",0.802,0.198
"563",0.294,0.706
"565",0.418,0.582
"568",0.65,0.35
"570",0.546,0.454
"571",0.106,0.894
"576",0.152,0.848
"579",0.682,0.318
"582",0.554,0.446
"583",0.718,0.282
"585",0.666,0.334
"588",0.538,0.462
"590",0.06,0.94
"591",0.394,0.606
"603",0.684,0.316
"608",0.028,0.972
"611",0.506,0.494
"615",0.694,0.306
"617",0.594,0.406
"618",0.534,0.466
"619",0.342,0.658
"622",0.336,0.664
"633",0.724,0.276
"636",0.446,0.554
"638",0.174,0.826
"648",0.63,0.37
"674",0.562,0.438
"695",0.55,0.45
"697",0.528,0.472
"701",0.342,0.658
"703",0.364,0.636
"704",0.58,0.42
"707",0.184,0.816
"708",0.674,0.326
"711",0.338,0.662
"716",0.174,0.826
"717",0.778,0.222
"720",0.538,0.462
"722",0.554,0.446
"723",0.568,0.432
"725",0.684,0.316
"727",0.49,0.51
"731",0.006,0.994
"732",0.388,0.612
"734",0.53,0.47
"738",0.856,0.144
"747",0.656,0.344
"751",0.5,0.5
"755",0.39,0.61
"762",0.302,0.698
"765",0.064,0.936
"770",0.434,0.566
"771",0.744,0.256
"772",0.57,0.43
"773",0.686,0.314
"774",0.48,0.52
"776",0.1,0.9
"778",0.336,0.664
"781",0.064,0.936
"791",0.198,0.802
"792",0.104,0.896
"800",0.072,0.928
"804",0.658,0.342
"805",0.164,0.836
"807",0.326,0.674
"813",0.322,0.678
"818",0.606,0.394
"830",0.55,0.45
"834",0.386,0.614
"838",0.58,0.42
"839",0.494,0.506
"841",0.604,0.396
"852",0.614,0.386
"854",0.652,0.348
"861",0.698,0.302
"864",0.416,0.584
"865",0.298,0.702
"867",0.472,0.528
"871",0.492,0.508
"876",0.406,0.594
"889",0.716,0.284
"890",0.84,0.16
"891",0.684,0.316
"893",0.364,0.636
"894",0.262,0.738
"899",0.628,0.372
"904",0.408,0.592
"917",0.136,0.864
"921",0.308,0.692
"924",0.484,0.516
"927",0.492,0.508
"930",0.772,0.228
"931",0.106,0.894
"942",0.398,0.602
"944",0.816,0.184
"955",0.464,0.536
"963",0.72,0.28
"965",0.626,0.374
"969",0.802,0.198
"973",0.558,0.442
"977",0.412,0.588
"984",0.6,0.4
"985",0.368,0.632
"989",0.678,0.322
"994",0.608,0.392
"997",0.784,0.216
