"","X2","X1"
"14",8.85399015840065e-47,1
"16",3.48360986543137e-29,1
"17",3.77724961502784e-13,0.999999999999622
"18",6.61010966338658e-60,1
"23",9.96893150021367e-28,1
"30",1.26002409930426e-143,1
"33",6.75880472701805e-16,0.999999999999999
"36",1.78915914927834e-15,0.999999999999998
"37",1.3101636450799e-27,1
"41",5.98841690005048e-52,1
"45",2.97686471747212e-83,1
"47",1.02241288593282e-64,1
"53",3.26479142061231e-19,1
"61",4.64996591305418e-24,1
"72",8.62032090144602e-17,1
"73",2.17012052954111e-18,1
"79",0.999999815819354,1.84180645882804e-07
"81",2.53655693115525e-15,0.999999999999997
"82",1.05255515503435e-40,1
"84",4.01991319852556e-114,1
"88",3.76031174378181e-25,1
"90",1,1.23032231718405e-96
"95",1.51762801418626e-187,1
"96",6.51953790710293e-40,1
"97",3.65221239465704e-20,1
"103",0.999999800138817,1.99861182926804e-07
"106",2.24839297993645e-38,1
"111",2.91614642381496e-110,1
"114",1.77516788631834e-08,0.999999982248321
"115",6.07121641525023e-98,1
"116",3.45632855269493e-12,0.999999999996544
"121",1.24915416148139e-19,1
"126",4.61688825970595e-89,1
"128",3.15570671010036e-30,1
"130",1.54042871850544e-92,1
"133",4.33084880007889e-13,0.999999999999567
"134",2.00578283619753e-43,1
"137",5.47257263781423e-21,1
"143",4.79519570096062e-169,1
"145",8.11857473628989e-34,1
"147",2.3544126790998e-163,1
"149",9.05971255898135e-28,1
"151",2.95491636872108e-53,1
"155",1.28849388232757e-11,0.999999999987115
"161",6.82339653700123e-51,1
"162",1.81449867962198e-187,1
"171",2.97869447090056e-15,0.999999999999997
"172",1.21077905641277e-21,1
"177",6.50999106871677e-61,1
"182",6.09387238445842e-37,1
"187",1.44308430106053e-21,1
"188",1.15789747995399e-130,1
"191",1.67609362817823e-97,1
"192",1.51817565948624e-117,1
"200",6.27536516614674e-43,1
"204",1.12939592239113e-70,1
"205",1.19528723439037e-147,1
"213",9.71745279356229e-100,1
"222",4.22848822411645e-45,1
"223",4.73727651901385e-47,1
"228",4.55464312228826e-150,1
"232",2.52556656790327e-13,0.999999999999747
"233",1.70670480223905e-23,1
"235",9.27897193020659e-166,1
"244",7.54182126891798e-121,1
"249",9.01511905026737e-81,1
"267",7.947988519131e-16,0.999999999999999
"270",1.43996272390892e-18,1
"272",4.23959009058302e-25,1
"279",1.07434924117608e-21,1
"282",2.00019861076482e-42,1
"286",2.03884686998974e-46,1
"289",9.65155721234855e-65,1
"293",5.13943245612946e-22,1
"304",2.01442074501256e-72,1
"305",1.16479643430534e-23,1
"306",4.82496101750148e-69,1
"316",1.2213476298617e-27,1
"318",7.80278759707864e-46,1
"319",7.41084170818646e-15,0.999999999999993
"321",1.4085197243951e-23,1
"322",0.00724339542745356,0.992756604572546
"335",2.34287369796004e-36,1
"337",1.01891982861767e-60,1
"343",2.07784904900528e-21,1
"345",2.44296737642409e-65,1
"347",1.0947632161911e-20,1
"355",8.13882766296668e-66,1
"357",1.08996394443562e-38,1
"358",4.32920421540563e-81,1
"359",6.58602822608266e-73,1
"363",6.79705193465846e-20,1
"364",1.29762837038249e-23,1
"369",5.12090196514503e-23,1
"373",7.93487395642751e-07,0.999999206512604
"374",7.89876956023801e-15,0.999999999999992
"378",3.99530758419602e-25,1
"385",1.35162294950362e-43,1
"387",6.60140646074565e-66,1
"390",0,1
"394",3.00920484921785e-34,1
"407",2.66044859202554e-37,1
"408",0.999999999920901,7.90991225279724e-11
"409",3.28414294190266e-108,1
"420",1.50537500934959e-208,1
"421",5.78365689482236e-148,1
"434",4.08520704515129e-20,1
"436",2.66138205297662e-80,1
"437",7.55884032175235e-14,0.999999999999924
"438",2.43174382663823e-11,0.999999999975683
"442",2.18677433434639e-33,1
"444",2.63668674226339e-42,1
"458",4.39993419710189e-32,1
"461",4.65571793825135e-48,1
"464",5.85624414144499e-94,1
"481",5.18980150081391e-103,1
"484",1.13606580703578e-63,1
"485",4.36923779567988e-184,1
"490",2.72979950572391e-165,1
"492",2.0605496420001e-87,1
"494",1.95934886586634e-85,1
"499",8.31427756137408e-48,1
"507",1.0690826397635e-24,1
"508",7.77883228824236e-51,1
"513",1.00510930279035e-189,1
"518",2.61983085208804e-25,1
"519",1.86064523825147e-93,1
"522",1.24361887267556e-25,1
"524",9.57071595180415e-88,1
"527",1.1951949454673e-16,1
"528",2.23149561322914e-10,0.999999999776851
"529",1.1951949454673e-16,1
"533",4.46413456674073e-201,1
"535",9.44097835865483e-45,1
"538",5.07407189871805e-46,1
"540",1.59460343937763e-58,1
"548",5.06525408496573e-47,1
"559",2.08057798704588e-65,1
"565",2.8519282027335e-89,1
"566",2.8999692365808e-89,1
"569",1.14911859698468e-22,1
"571",7.32957613905536e-124,1
"574",2.23267288198941e-26,1
"577",1.16960560181533e-84,1
"580",1.46153168969438e-15,0.999999999999999
"589",6.02599468599219e-12,0.999999999993974
"591",6.10862151441463e-62,1
"592",9.60973597793274e-55,1
"595",0.0903692733778099,0.90963072662219
"599",3.68093644753737e-21,1
"602",4.29509941661381e-132,1
"608",1.0846905875541e-91,1
"614",1.20562232522219e-99,1
"615",3.40639802390969e-70,1
"624",9.19306923896316e-51,1
"626",3.37781161773753e-36,1
"635",5.45354539287071e-26,1
"637",5.58382906665416e-109,1
"639",1.04989825695092e-102,1
"641",3.07597142928514e-188,1
"646",1.87030037573644e-144,1
"647",0,1
"655",3.00576472086871e-67,1
"656",8.92354642101146e-83,1
"666",3.19117282473283e-145,1
"669",1.93442406298065e-24,1
"681",2.28733099138125e-78,1
"682",0.0316972368624415,0.968302763137558
"684",3.20254399037617e-98,1
"685",6.17802281927579e-77,1
"704",3.20274325098048e-79,1
"706",9.97554420216238e-103,1
"709",3.7625518135526e-82,1
"712",0,1
"716",3.42279222043551e-89,1
"718",3.15271275364256e-46,1
"719",2.04629414854224e-22,1
"722",2.27041095437649e-72,1
"729",1.67015732818907e-07,0.999999832984267
"732",9.51112571102089e-90,1
"733",9.83541051693673e-53,1
"740",2.63784589846904e-10,0.999999999736215
"741",2.59621621359731e-20,1
"745",8.54830922629454e-15,0.999999999999991
"747",0,1
"765",3.82042031819947e-12,0.99999999999618
"766",3.73377842354033e-64,1
"770",1.6396420078303e-55,1
"771",4.7254845051093e-38,1
"775",3.20560335298624e-26,1
"785",2.91228466351456e-68,1
"795",1.50816082901443e-20,1
"797",6.79411053942832e-23,1
"798",4.08374071734996e-86,1
"801",1.63937150682391e-106,1
"802",2.39968396273771e-24,1
"811",1.64300830692747e-36,1
"812",6.79411053942832e-23,1
"814",0,1
"822",5.58671404553554e-23,1
"840",2.03965306581075e-87,1
"842",4.94435973635587e-67,1
"845",1.26698673166052e-102,1
"848",4.54889788031535e-85,1
"849",2.9082621311257e-15,0.999999999999997
"857",3.44472657804592e-39,1
"868",2.993753293955e-15,0.999999999999997
"871",1,1.225922867244e-21
"874",2.88901422200592e-15,0.999999999999997
"876",4.34706709144615e-15,0.999999999999996
"880",1.3870915924674e-128,1
"884",7.18651447100759e-148,1
"896",3.47292576895222e-19,1
"897",5.61357881759494e-84,1
"899",1.44278937736559e-41,1
"900",2.74291141590388e-46,1
"901",2.74291141590388e-46,1
"904",1.94973282804384e-53,1
"907",3.68699859018412e-31,1
"909",1.74733607025132e-67,1
"910",2.72826955348816e-83,1
"914",2.74291141590388e-46,1
"915",1.5900709297668e-96,1
"920",3.70347916388462e-16,1
"924",4.98865675019631e-107,1
"932",1.43180614122924e-125,1
"936",0.99999991293229,8.70677102443795e-08
"937",1.25184970666161e-27,1
"938",2.62462896964862e-18,1
"941",9.69770518016155e-41,1
"942",4.39358413415075e-42,1
"943",1.61367605491391e-27,1
"944",1.6895345822262e-27,1
"945",2.98219378820077e-28,1
"959",3.22629738046351e-60,1
"961",3.51480695701644e-63,1
"965",3.61321198237002e-12,0.999999999996387
"972",1.35127086867261e-28,1
"974",3.3254572728918e-150,1
"977",2.34670531256918e-88,1
"980",2.94041487789981e-67,1
"984",1.20612460461606e-77,1
"994",1.41385715556957e-25,1
"997",4.98722350909734e-103,1
"1009",3.90012070953531e-73,1
"1012",3.1089078785613e-26,1
"1018",7.86593701758095e-12,0.999999999992134
"1023",1.77005590493901e-64,1
"1024",1.13634741445594e-29,1
"1031",2.00186128500217e-23,1
"1034",1.16578725717043e-62,1
"1035",8.41708993376464e-19,1
"1039",1.04707089821496e-18,1
"1042",2.42833993027956e-113,1
"1047",1.22786199967232e-96,1
"1051",2.27432377210078e-81,1
"1052",0.000348800446550791,0.999651199553449
"1062",1.06421172578835e-14,0.999999999999989
"1066",1.30224425977449e-83,1
"1073",2.48962796362043e-20,1
"1074",3.53398321067688e-17,1
"1079",1.74386398768362e-84,1
"1090",2.12516757463277e-38,1
"1093",4.81046047398731e-23,1
"1100",0,1
"1118",1.16529423257722e-24,1
"1119",3.31566620459244e-24,1
"1124",3.29903533470879e-24,1
"1129",1,3.28261644711668e-28
"1131",5.54297890799336e-37,1
"1141",1.88950589770522e-29,1
"1146",4.20971735772259e-21,1
"1149",1.82207188056638e-22,1
"1153",3.11325798746217e-19,1
"1159",8.76349214805067e-41,1
"1167",1.36265601259927e-59,1
"1182",4.87260853780259e-156,1
"1187",2.00555014442719e-173,1
"1188",1.19964703475308e-33,1
"1195",2.59847054068756e-15,0.999999999999997
"1196",1,3.92563867263453e-28
"1202",9.47678436874289e-32,1
"1205",1.84584859015557e-62,1
"1207",3.33477529506999e-15,0.999999999999997
"1212",2.5639911841781e-104,1
"1224",1,1.13628222047336e-83
"1226",1.01583915345621e-12,0.999999999998984
"1232",3.08103318068709e-13,0.999999999999692
"1234",9.91193963642229e-10,0.999999999008806
"1235",4.46724115449112e-21,1
"1239",7.36245804574375e-102,1
"1240",0.999999999999998,1.71613773665034e-15
"1241",2.47677061974669e-26,1
"1243",2.14000247793476e-68,1
"1247",1,6.5349639232925e-60
"1252",5.95059670868676e-44,1
"1255",2.20191775760129e-45,1
"1259",2.79214943640811e-60,1
"1260",1.46095980289275e-46,1
"1265",1.26109148303599e-182,1
"1268",2.68379509693094e-95,1
"1272",1.35708066228181e-101,1
"1274",2.11834301780268e-37,1
"1278",1.45663867853376e-45,1
