"","X2","X1"
"14",0.194,0.806
"16",0.03,0.97
"17",0.032,0.968
"18",0.042,0.958
"23",0.04,0.96
"30",0.026,0.974
"33",0.212,0.788
"36",0.456,0.544
"37",0.03,0.97
"41",0.112,0.888
"45",0.074,0.926
"47",0,1
"53",0.028,0.972
"61",0.212,0.788
"72",0.004,0.996
"73",0.008,0.992
"79",0.5,0.5
"81",0.014,0.986
"82",0.108,0.892
"84",0.142,0.858
"88",0.204,0.796
"90",0.47,0.53
"95",0.03,0.97
"96",0.172,0.828
"97",0.02,0.98
"103",0.022,0.978
"106",0.05,0.95
"111",0.094,0.906
"114",0.82,0.18
"115",0.144,0.856
"116",0.048,0.952
"121",0.01,0.99
"126",0.178,0.822
"128",0.048,0.952
"130",0.024,0.976
"133",0.008,0.992
"134",0.044,0.956
"137",0.03,0.97
"143",0,1
"145",0.438,0.562
"147",0.002,0.998
"149",0.694,0.306
"151",0.202,0.798
"155",0.248,0.752
"161",0.408,0.592
"162",0.03,0.97
"171",0.022,0.978
"172",0,1
"177",0.95,0.05
"182",0.006,0.994
"187",0.22,0.78
"188",0.146,0.854
"191",0.158,0.842
"192",0.014,0.986
"200",0.192,0.808
"204",0.052,0.948
"205",0.046,0.954
"213",0.006,0.994
"222",0.004,0.996
"223",0.028,0.972
"228",0.042,0.958
"232",0.006,0.994
"233",0.014,0.986
"235",0.05,0.95
"244",0.174,0.826
"249",0.008,0.992
"267",0.026,0.974
"270",0.002,0.998
"272",0.086,0.914
"279",0.024,0.976
"282",0.08,0.92
"286",0.038,0.962
"289",0,1
"293",0.006,0.994
"304",0.004,0.996
"305",0,1
"306",0.004,0.996
"316",0.644,0.356
"318",0.002,0.998
"319",0.01,0.99
"321",0,1
"322",0.132,0.868
"335",0.09,0.91
"337",0.002,0.998
"343",0,1
"345",0,1
"347",0.012,0.988
"355",0,1
"357",0.11,0.89
"358",0.338,0.662
"359",0.308,0.692
"363",0.002,0.998
"364",0,1
"369",0,1
"373",0.128,0.872
"374",0.094,0.906
"378",0.02,0.98
"385",0.016,0.984
"387",0.002,0.998
"390",0.052,0.948
"394",0.016,0.984
"407",0.014,0.986
"408",0.45,0.55
"409",0.082,0.918
"420",0,1
"421",0.02,0.98
"434",0.008,0.992
"436",0.002,0.998
"437",0.13,0.87
"438",0.256,0.744
"442",0.492,0.508
"444",0.26,0.74
"458",0.062,0.938
"461",0.072,0.928
"464",0.086,0.914
"481",0.01,0.99
"484",0.074,0.926
"485",0,1
"490",0.492,0.508
"492",0.006,0.994
"494",0.008,0.992
"499",0,1
"507",0.074,0.926
"508",0.004,0.996
"513",0,1
"518",0.01,0.99
"519",0.05,0.95
"522",0.01,0.99
"524",0.022,0.978
"527",0.05,0.95
"528",0.054,0.946
"529",0.05,0.95
"533",0.042,0.958
"535",0.134,0.866
"538",0.064,0.936
"540",0.314,0.686
"548",0.506,0.494
"559",0.032,0.968
"565",0.078,0.922
"566",0.078,0.922
"569",0.44,0.56
"571",0.092,0.908
"574",0.012,0.988
"577",0,1
"580",0.058,0.942
"589",0.586,0.414
"591",0.078,0.922
"592",0.014,0.986
"595",0.234,0.766
"599",0.304,0.696
"602",0.01,0.99
"608",0.038,0.962
"614",0,1
"615",0.004,0.996
"624",0.006,0.994
"626",0.062,0.938
"635",0.036,0.964
"637",0.03,0.97
"639",0.006,0.994
"641",0.002,0.998
"646",0.092,0.908
"647",0.078,0.922
"655",0.032,0.968
"656",0.122,0.878
"666",0.006,0.994
"669",0.02,0.98
"681",0,1
"682",0.778,0.222
"684",0.114,0.886
"685",0.046,0.954
"704",0.014,0.986
"706",0.268,0.732
"709",0.022,0.978
"712",0.52,0.48
"716",0.006,0.994
"718",0.006,0.994
"719",0.002,0.998
"722",0.044,0.956
"729",0.852,0.148
"732",0.012,0.988
"733",0.016,0.984
"740",0.58,0.42
"741",0.068,0.932
"745",0.24,0.76
"747",0,1
"765",0.208,0.792
"766",0.014,0.986
"770",0,1
"771",0.186,0.814
"775",0.008,0.992
"785",0.084,0.916
"795",0.47,0.53
"797",0.002,0.998
"798",0.002,0.998
"801",0.022,0.978
"802",0.002,0.998
"811",0.01,0.99
"812",0.002,0.998
"814",0.36,0.64
"822",0,1
"840",0.024,0.976
"842",0.126,0.874
"845",0.006,0.994
"848",0.004,0.996
"849",0.29,0.71
"857",0.24,0.76
"868",0.12,0.88
"871",0.486,0.514
"874",0.014,0.986
"876",0.18,0.82
"880",0,1
"884",0.148,0.852
"896",0.23,0.77
"897",0.062,0.938
"899",0.028,0.972
"900",0,1
"901",0,1
"904",0.22,0.78
"907",0.234,0.766
"909",0.026,0.974
"910",0.132,0.868
"914",0,1
"915",0.046,0.954
"920",0.036,0.964
"924",0.084,0.916
"932",0.018,0.982
"936",0.386,0.614
"937",0.16,0.84
"938",0,1
"941",0.074,0.926
"942",0.066,0.934
"943",0.31,0.69
"944",0.31,0.69
"945",0.296,0.704
"959",0.266,0.734
"961",0.292,0.708
"965",0.024,0.976
"972",0.04,0.96
"974",0.014,0.986
