"","X1","X2"
"1",0.333333333333333,0.666666666666667
"2",0,1
"3",0.125,0.875
"4",0,1
"5",0,1
"6",0.5,0.5
"7",0,1
"8",0,1
"9",0.5,0.5
"10",0.111111111111111,0.888888888888889
"11",0.166666666666667,0.833333333333333
"12",0.666666666666667,0.333333333333333
"13",0.222222222222222,0.777777777777778
"14",0,1
"15",0.125,0.875
"16",0.166666666666667,0.833333333333333
"17",0.333333333333333,0.666666666666667
"18",0.166666666666667,0.833333333333333
"19",0.166666666666667,0.833333333333333
"20",0.272727272727273,0.727272727272727
"21",0.166666666666667,0.833333333333333
"22",0.166666666666667,0.833333333333333
"23",0.125,0.875
"24",0.125,0.875
"25",0,1
"26",0.333333333333333,0.666666666666667
"27",0,1
"28",0.166666666666667,0.833333333333333
"29",0.285714285714286,0.714285714285714
"30",0.1,0.9
"31",0.666666666666667,0.333333333333333
"32",0,1
"33",0.222222222222222,0.777777777777778
"34",0.142857142857143,0.857142857142857
"35",0,1
"36",0,1
"37",0,1
"38",0.5,0.5
