"","X1","X2"
"3",2.76000121208805e-28,1
"11",2.87601490893678e-29,1
"13",1.12557383221746e-28,1
"15",1.9912781145819e-30,1
"17",1.78856693470506e-30,1
"18",3.50715249663224e-29,1
"19",3.87081715922577e-29,1
"27",5.89253827669141e-30,1
"31",4.13513394170011e-29,1
"35",7.50190379116805e-30,1
"40",2.98071379945579e-28,1
"44",1.31939982893119e-28,1
"51",5.25475271894686e-29,1
"58",3.87081715922577e-29,1
"63",2.36653526696291e-30,1
"67",9.06181131971251e-31,1
"69",5.52986759716792e-29,1
"78",2.15217467157888e-30,1
"84",8.2619065458574e-29,1
"86",6.38205452017989e-29,1
"87",3.03280210774437e-28,1
"88",3.03280210774437e-28,1
"89",1.25208221317117e-28,1
"92",5.74405510291278e-29,1
"96",5.44036100341691e-30,1
"99",1.53930574515532e-30,1
"100",3.97664246028811e-30,1
"103",3.15785426436454e-29,1
"105",1.69988847160273e-29,1
"110",1.26458772147676e-29,1
"115",1.40065028645219e-29,1
"121",5.84402150502831e-30,1
"128",4.65248488671924e-29,1
"133",4.93996583348606e-30,1
"135",1.02055304865037e-29,1
"136",2.96487900255064e-29,1
"145",5.01956336057101e-29,1
"150",4.62666716926371e-29,1
