"","X1","X2"
"3",0.346,0.654
"11",0.02,0.98
"13",0.044,0.956
"15",0.074,0.926
"17",0,1
"18",0.23,0.77
"19",0.256,0.744
"27",0.086,0.914
"31",0.28,0.72
"35",0.114,0.886
"40",0.224,0.776
"44",0.18,0.82
"51",0.126,0.874
"58",0.256,0.744
"63",0.088,0.912
"67",0.064,0.936
"69",0.162,0.838
"78",0.09,0.91
"84",0.044,0.956
"86",0.096,0.904
"87",0.214,0.786
"88",0.214,0.786
"89",0.204,0.796
"92",0.016,0.984
"96",0.008,0.992
"99",0.014,0.986
"100",0.112,0.888
"103",0.132,0.868
"105",0.132,0.868
"110",0.102,0.898
"115",0.078,0.922
"121",0.02,0.98
"128",0.206,0.794
"133",0.05,0.95
"135",0.004,0.996
"136",0.006,0.994
"145",0.014,0.986
"150",0.294,0.706
