"","negative","positive"
"1",5.64674700092604e-28,1
"2",1.88765060685452e-40,1
"3",4.13912056687026e-44,1
"4",2.62808755438552e-63,1
"5",4.75693769870146e-51,1
"6",2.05336179986195e-58,1
"7",1.06398778405034e-42,1
"8",3.51791431099034e-32,1
"9",6.95158475468379e-34,1
"10",5.10045356480774e-39,1
"11",2.30125302485001e-38,1
"12",4.07852138829359e-36,1
"13",6.00070286601869e-39,1
"14",2.21361275669167e-40,1
"15",1.06361050035802e-44,1
"16",1.71465084249943e-50,1
"17",3.71624830934588e-36,1
"18",1.29675808763491e-38,1
"19",1.5040769069931e-37,1
"20",8.66446153020593e-34,1
"21",2.72349083044648e-43,1
"22",1.22903486316755e-35,1
"23",1.69678669672477e-31,1
"24",5.73855552605097e-24,1
"25",3.18912946755539e-46,1
"26",6.85707568314941e-31,1
"27",1.66145577905074e-32,1
"28",1.53862129157452e-46,1
"29",3.78678544655285e-41,1
"30",4.7928749173365e-30,1
"31",1.21460009313271e-37,1
"32",2.80049442140831e-36,1
"33",6.08924738723629e-17,1
"34",9.56201772992624e-51,1
"35",1.67043903951427e-52,1
"36",3.88073975420116e-57,1
"37",1.79430386524335e-34,1
"38",3.40186769668732e-16,1
"39",3.10608527481173e-46,1
"40",1.34108824723719e-42,1
"41",2.26355074885472e-34,1
"42",6.40553959990392e-41,1
"43",9.27311604938316e-28,1
"44",9.82061622038783e-34,1
"45",8.36913827719681e-29,1
"46",3.89199878627307e-33,1
"47",7.97613152533455e-47,1
"48",1.87609797735736e-24,1
"49",1.2131258051734e-32,1
"50",4.53256640507338e-56,1
"51",1.71674318852073e-36,1
"52",5.50450021175494e-32,1
"53",4.09177856885483e-42,1
"54",2.16378334715492e-53,1
"55",5.38564046752717e-43,1
"56",1.04250600207447e-43,1
"57",7.06431274228257e-49,1
"58",7.07281842597951e-40,1
"59",4.10604769922549e-34,1
"60",7.8450403865466e-57,1
"61",4.22487628111222e-38,1
"62",6.28450524960286e-36,1
"63",6.63359563115574e-24,1
"64",7.79479237364568e-23,1
"65",3.95056546052311e-32,1
"66",1.82708891305654e-33,1
"67",8.99059058010618e-34,1
"68",2.18664319543925e-39,1
"69",5.27852661916459e-51,1
"70",2.36294394277311e-43,1
"71",6.6986743572779e-39,1
"72",1.31505402999176e-31,1
"73",3.28201275842071e-35,1
"74",8.27729700651805e-31,1
"75",8.00017156244004e-42,1
"76",9.94533230494949e-58,1
"77",5.80439259109766e-37,1
"78",2.73192893230144e-36,1
"79",3.40148621834502e-21,1
"80",7.55305580775783e-17,1
"81",1.02442783892123e-12,0.999999999998975
"82",7.90670572620742e-22,1
"83",2.15318756256065e-29,1
"84",4.16364233582487e-49,1
"85",1.08957125498576e-32,1
"86",9.6053494275224e-27,1
"87",4.94559017909864e-31,1
"88",1.66699842433874e-38,1
"89",2.19227729800075e-43,1
"90",3.44289212437892e-18,1
"91",1.33234457365586e-19,1
"92",4.97176304972218e-22,1
"93",3.38056048362641e-42,1
"94",2.75208686700063e-37,1
"95",2.97982812385465e-43,1
"96",6.36435281250144e-35,1
"97",9.8879712115901e-38,1
"98",6.53807536636808e-32,1
"99",2.04743569195981e-35,1
"100",3.79135802164221e-47,1
"101",8.9389871720544e-58,1
"102",1.97603171677469e-55,1
"103",3.26313539108682e-31,1
"104",3.90566037304099e-50,1
"105",7.78722235736342e-48,1
"106",2.88047078852719e-35,1
"107",1.9523068954836e-32,1
"108",4.32064127825448e-36,1
"109",1.89534926776057e-35,1
"110",3.2824566189364e-36,1
"111",1.89960545135741e-56,1
"112",2.60338883574125e-34,1
"113",1.23489347587404e-44,1
"114",8.16658166483223e-39,1
"115",4.23970004443179e-27,1
"116",1.15787022776706e-31,1
"117",8.42447790821738e-48,1
"118",4.7588018679845e-39,1
"119",1.36841427758349e-26,1
"120",4.98881096667788e-31,1
"121",1.4536467524051e-35,1
"122",1.01050060434546e-27,1
"123",2.09763768399671e-30,1
"124",1.28013886332972e-25,1
"125",5.23025210553093e-32,1
"126",1.03686964913144e-35,1
"127",1.9739916537769e-42,1
"128",1.07026836413369e-46,1
"129",1.88269415307095e-54,1
"130",1.61235666933603e-38,1
"131",2.86444073198228e-50,1
"132",2.97154855492689e-28,1
"133",1.61955544431757e-28,1
"134",1.29167787555725e-31,1
"135",7.53430160234479e-31,1
