"","negative","positive"
"2",0.269980449428827,0.730019550571173
"6",1.98306260301706e-10,0.999999999801694
"16",8.7470364285025e-11,0.99999999991253
"17",9.6250563075273e-11,0.999999999903749
"18",8.59817772536076e-11,0.999999999914018
"24",0.369140223205496,0.630859776794504
"26",3.48690409879282e-10,0.99999999965131
"29",1.983690989249e-10,0.999999999801631
"31",2.20672480288897e-10,0.999999999779328
"37",2.18454365707998e-10,0.999999999781546
"40",1.32112210060598e-10,0.999999999867888
"41",1.18877574450948e-10,0.999999999881122
"42",1.29863897413429e-10,0.999999999870136
"44",2.22044604925031e-16,1
"46",1.53642654154851e-10,0.999999999846357
"50",2.22044604925031e-16,1
"53",9.20357123845861e-11,0.999999999907964
"54",3.39193784171243e-10,0.999999999660806
"57",1.8258083933631e-10,0.999999999817419
"60",1.81439752111601e-10,0.99999999981856
"67",2.22044604925031e-16,1
"78",2.22044604925031e-16,1
"79",0.113143481320253,0.886856518679747
"82",1.34728561640429e-10,0.999999999865271
"97",6.90557611093823e-11,0.999999999930944
"100",8.03098698654026e-11,0.99999999991969
"107",7.14309722482653e-11,0.999999999928569
"109",7.8601125608202e-11,0.999999999921399
"110",9.23205956127049e-11,0.999999999907679
"112",7.5907169438949e-11,0.999999999924093
"113",7.64603935721198e-11,0.99999999992354
"121",1.07177822172844e-10,0.999999999892822
"122",0.149441659750539,0.850558340249461
"123",0.163496832345125,0.836503167654875
"128",6.23028295620998e-11,0.999999999937697
"132",8.11098965769474e-11,0.99999999991889
"142",7.89008858248508e-11,0.999999999921099
"146",0.132896412129172,0.867103587870828
"149",9.19978537794464e-11,0.999999999908002
"165",1.02141073377027e-10,0.999999999897859
"173",7.72981678665019e-11,0.999999999922702
"175",4.92266227780647e-11,0.999999999950773
"177",0.21942627516725,0.78057372483275
"179",7.51929629672077e-11,0.999999999924807
"180",8.27407031778193e-11,0.999999999917259
"185",2.22044604925031e-16,1
"187",6.11316552934227e-11,0.999999999938868
