"","negative","positive"
"2",0.476380118515603,0.523619881484397
"6",0.259718657535245,0.740281342464755
"16",0.0165177045653646,0.983482295434636
"17",0.00726815002784813,0.992731849972152
"18",0.0154508940741961,0.984549105925804
"24",0.231726378495287,0.768273621504713
"26",0.174891226688333,0.825108773311667
"29",0.155185571536014,0.844814428463986
"31",0.183393683406167,0.816606316593833
"37",0.0839247613433851,0.916075238656615
"40",0.0668245689851165,0.933175431014884
"41",0.0378098836188728,0.962190116381127
"42",0.0627158385770396,0.937284161422961
"44",0.0268727041100135,0.973127295889987
"46",0.150302602107405,0.849697397892595
"50",0.0638576523380699,0.93614234766193
"53",0.0155678946682214,0.984432105331779
"54",0.32884881589943,0.67115118410057
"57",0.0697117663889873,0.930288233611013
"60",0.164144296072301,0.835855703927698
"67",0.267306872934796,0.732693127065205
"78",0.0643172631617441,0.935682736838256
"79",0.0360074689336616,0.963992531066338
"82",0.210494250653672,0.789505749346328
"97",0.0542776116003303,0.94572238839967
"100",0.124167379585556,0.875832620414444
"107",0.0162599335944922,0.983740066405508
"109",0.00715367523426737,0.992846324765733
"110",0.0692514005456995,0.930748599454301
"112",0.0610864151647013,0.938913584835299
"113",0.0163829586287373,0.983617041371263
"121",0.0298453927821147,0.970154607217885
"122",0.00908225951786581,0.990917740482134
"123",0.0110814968484316,0.988918503151568
"128",0.00314619203298438,0.996853807967016
"132",0.00362394894440051,0.996376051055599
"142",0.00833761302103263,0.991662386978967
"146",0.135645883925226,0.864354116074774
"149",0.0274579336340178,0.972542066365982
"165",0.110277052130949,0.889722947869051
"173",0.014442250555734,0.985557749444266
"175",0.00588974167073258,0.994110258329267
"177",0.14402065070245,0.85597934929755
"179",0.0327645426015597,0.96723545739844
"180",0.0145517261700603,0.98544827382994
"185",0.010875363597586,0.989124636402414
"187",0.0216115335380524,0.978388466461948
"189",0.0683979476511031,0.931602052348897
"190",0.0310126945096304,0.96898730549037
"191",0.00521112971624199,0.994788870283758
"201",0.101464303500984,0.898535696499016
"202",0.0615169030778948,0.938483096922105
"206",0.0222627069705296,0.97773729302947
"207",0.0465355243260905,0.953464475673909
"211",0.00562841537878085,0.994371584621219
"216",0.0114598346328937,0.988540165367106
"220",0.00502041425624326,0.994979585743757
"221",0.0131633643857896,0.98683663561421
"225",0.130949422476308,0.869050577523692
"231",0.00357932844508799,0.996420671554912
"234",0.192616971638789,0.807383028361211
"237",0.00674615877331802,0.993253841226682
"241",0.136448371533775,0.863551628466225
"246",0.0270937255175732,0.972906274482427
"247",0.0329260056272986,0.967073994372701
"250",0.192497156289293,0.807502843710707
"251",0.115680707558651,0.884319292441349
"254",0.195508925546267,0.804491074453733
"258",0.0467139347556606,0.953286065244339
"266",0.0122661951526683,0.987733804847332
"273",0.0279059829935827,0.972094017006417
"275",0.110859263932774,0.889140736067226
"277",0.0153843340668253,0.984615665933175
"278",0.270070045369063,0.729929954630937
"283",0.215988157494188,0.784011842505812
"284",0.0219936592809077,0.978006340719092
"291",0.0148424136610569,0.985157586338943
"295",0.0149548765768739,0.985045123423126
"296",0.0317151647453272,0.968284835254673
"298",0.536895265637035,0.463104734362965
"307",0.186736442819594,0.813263557180406
"308",0.29719226179346,0.70280773820654
"309",0.0785674001299055,0.921432599870095
"313",0.0543674653295728,0.945632534670427
"314",0.0308441089674211,0.969155891032579
"315",0.131936360938218,0.868063639061782
"317",0.298795252585178,0.701204747414822
"323",0.115560615392387,0.884439384607613
"327",0.201457354648442,0.798542645351558
"329",0.375495421526187,0.624504578473812
"330",0.125753112548061,0.874246887451939
"331",0.109991176647945,0.890008823352055
"336",0.104668844008176,0.895331155991824
"338",0.210697430880792,0.789302569119208
"349",0.10376256737706,0.89623743262294
"350",0.097620278500511,0.902379721499489
"358",0.0509178606360985,0.949082139363902
"359",0.244627708283586,0.755372291716414
"363",0.10111937921534,0.89888062078466
"364",0.0951169499659904,0.90488305003401
"366",0.0340306656684879,0.965969334331512
"389",0.152815086447263,0.847184913552737
"395",0.0350433986323909,0.964956601367609
"396",0.0155842452062434,0.984415754793757
"398",0.00552338922458145,0.994476610775419
"401",0.0102128373203394,0.989787162679661
"404",0.119207019963153,0.880792980036847
"409",0.0254124995003588,0.974587500499641
"418",0.011262964387933,0.988737035612067
"422",0.0414994138089894,0.958500586191011
"425",0.0687660629511866,0.931233937048813
"429",0.478349522565691,0.521650477434309
"434",0.0175665924310278,0.982433407568972
"436",0.00623407983815636,0.993765920161844
"442",0.132594985684591,0.867405014315409
"447",0.039692971575817,0.960307028424183
"449",0.00628173218740831,0.993718267812592
"452",0.0245548245839102,0.97544517541609
"454",0.466384333501215,0.533615666498785
"459",0.0531351552591627,0.946864844740837
"461",0.211353977849499,0.788646022150501
"462",0.128207393064154,0.871792606935846
"464",0.0602453003390941,0.939754699660906
"466",0.354030906179532,0.645969093820468
"470",0.0209870126622288,0.979012987337771
"472",0.0852365384412193,0.914763461558781
"476",0.111410746424059,0.888589253575941
"478",0.104868693819111,0.895131306180888
"484",0.0410076384809733,0.958992361519027
"486",0.0137618291006979,0.986238170899302
"488",0.0282293740013832,0.971770625998617
"491",0.330612089106379,0.669387910893621
"493",0.0905706865779853,0.909429313422015
"494",0.0138662195288802,0.98613378047112
"504",0.0215989668814587,0.978401033118541
"508",0.0447547554629041,0.955245244537096
"512",0.0550861115159524,0.944913888484048
"515",0.0918989731630727,0.908101026836927
"518",0.140620986465536,0.859379013534464
"522",0.0537828711212313,0.946217128878769
"523",0.050432677207012,0.949567322792988
"528",0.0704412483890497,0.92955875161095
"529",0.0319774945940152,0.968022505405985
"534",0.0763963868427445,0.923603613157255
"536",0.0147865866432921,0.985213413356708
"539",0.00508797508466684,0.994912024915333
"540",0.0027984324446869,0.997201567555313
"541",0.0124749200488787,0.987525079951121
"547",0.0161182364764917,0.983881763523508
"553",0.0109255041716981,0.989074495828302
"561",0.0651955114664872,0.934804488533513
"567",0.100737567304492,0.899262432695508
"571",0.0411342576904719,0.958865742309528
"574",0.0094986277286444,0.990501372271356
"580",0.0531091743755972,0.946890825624403
"585",0.127176502304391,0.872823497695609
"590",0.318285547651762,0.681714452348238
"593",0.0123226682320363,0.987677331767964
"596",0.00589876478388955,0.99410123521611
"597",0.0125593102841938,0.987440689715806
"599",0.306329786259305,0.693670213740695
"607",0.146470868886935,0.853529131113065
"616",0.0107152982687132,0.989284701731287
"626",0.0974519999832798,0.90254800001672
"627",0.0989609085798636,0.901039091420136
"628",0.0456897125910248,0.954310287408975
"634",0.503074313439635,0.496925686560365
"635",0.727988362735752,0.272011637264248
"639",0.31893307147527,0.68106692852473
"644",0.176672062889444,0.823327937110556
"647",0.393220905583849,0.606779094416151
"648",0.0848746087032894,0.91512539129671
"651",0.0388017663766627,0.961198233623337
"652",0.751900540224445,0.248099459775555
"656",0.361702749613768,0.638297250386232
"660",0.146844143689392,0.853155856310608
"663",0.201578696794601,0.798421303205399
"683",0.053736109661389,0.946263890338611
"690",0.0551217251395681,0.944878274860432
"700",0.192024114950657,0.807975885049343
"702",0.0627756321285673,0.937224367871433
"705",0.047851145701904,0.952148854298096
"713",0.129123894741781,0.870876105258219
"715",0.0540843363446067,0.945915663655393
"718",0.0894197748335315,0.910580225166469
"727",0.0190781897790922,0.980921810220908
"734",0.0688346710383987,0.931165328961601
"738",0.0469437907991954,0.953056209200805
"743",0.597748182104578,0.402251817895422
"747",0.741549817454222,0.258450182545778
"753",0.0318112462666697,0.96818875373333
"754",0.0503030348114275,0.949696965188572
"758",0.187024682063865,0.812975317936135
"766",0.184232158424021,0.815767841575979
"768",0.133190407467264,0.866809592532736
"770",0.764655231292749,0.235344768707251
"771",0.556135360003821,0.443864639996179
"774",0.513283929357533,0.486716070642467
"784",0.360786521342215,0.639213478657785
"785",0.69762336876344,0.30237663123656
"790",0.483201935760914,0.516798064239086
"792",0.664917499541301,0.335082500458699
"795",0.0495445796833251,0.950455420316675
