"","negative","positive"
"2",0.202,0.798
"6",0.062,0.938
"16",0.012,0.988
"17",0.004,0.996
"18",0.02,0.98
"24",0.068,0.932
"26",0.076,0.924
"29",0.184,0.816
"31",0.162,0.838
"37",0.12,0.88
"40",0.096,0.904
"41",0.084,0.916
"42",0.09,0.91
"44",0.046,0.954
"46",0.098,0.902
"50",0.024,0.976
"53",0.128,0.872
"54",0.14,0.86
"57",0.17,0.83
"60",0.18,0.82
"67",0.032,0.968
"78",0.072,0.928
"79",0.05,0.95
"82",0.168,0.832
"97",0.026,0.974
"100",0.176,0.824
"107",0.022,0.978
"109",0.012,0.988
"110",0.104,0.896
"112",0.086,0.914
"113",0.03,0.97
"121",0.062,0.938
"122",0.096,0.904
"123",0.024,0.976
"128",0.004,0.996
"132",0.004,0.996
"142",0.03,0.97
"146",0.262,0.738
"149",0.014,0.986
"165",0.076,0.924
"173",0.056,0.944
"175",0.01,0.99
"177",0.158,0.842
"179",0.016,0.984
"180",0.018,0.982
"185",0.02,0.98
"187",0.02,0.98
"189",0.32,0.68
"190",0.114,0.886
"191",0,1
"201",0.076,0.924
"202",0.126,0.874
"206",0.058,0.942
"207",0.018,0.982
"211",0.006,0.994
"216",0.01,0.99
"220",0.002,0.998
"221",0.01,0.99
"225",0.056,0.944
"231",0,1
"234",0.064,0.936
"237",0.026,0.974
"241",0.226,0.774
"246",0.134,0.866
"247",0.022,0.978
"250",0.104,0.896
"251",0.062,0.938
"254",0.02,0.98
"258",0.008,0.992
"266",0,1
"273",0.004,0.996
"275",0.138,0.862
"277",0.036,0.964
"278",0.188,0.812
"283",0.034,0.966
"284",0.002,0.998
"291",0.03,0.97
"295",0.032,0.968
"296",0.064,0.936
"298",0.34,0.66
"307",0.262,0.738
"308",0.228,0.772
"309",0.164,0.836
"313",0.03,0.97
"314",0.014,0.986
"315",0.224,0.776
"317",0.148,0.852
"323",0.124,0.876
"327",0.042,0.958
"329",0.18,0.82
"330",0.234,0.766
"331",0.26,0.74
"336",0.048,0.952
"338",0.102,0.898
"349",0.078,0.922
"350",0.074,0.926
"358",0.068,0.932
"359",0.208,0.792
"363",0.168,0.832
"364",0.022,0.978
"366",0.002,0.998
"389",0.02,0.98
"395",0.21,0.79
"396",0.03,0.97
"398",0.008,0.992
"401",0.014,0.986
"404",0.062,0.938
"409",0.066,0.934
"418",0.124,0.876
"422",0.084,0.916
"425",0.072,0.928
"429",0.212,0.788
"434",0.092,0.908
"436",0.016,0.984
"442",0.126,0.874
"447",0.198,0.802
"449",0.018,0.982
"452",0,1
"454",0.238,0.762
"459",0.296,0.704
"461",0.19,0.81
"462",0.252,0.748
"464",0.324,0.676
"466",0.184,0.816
"470",0.166,0.834
"472",0.146,0.854
"476",0.054,0.946
"478",0,1
"484",0.01,0.99
"486",0.026,0.974
"488",0.022,0.978
"491",0.234,0.766
"493",0.14,0.86
"494",0.042,0.958
"504",0.056,0.944
"508",0.006,0.994
"512",0.006,0.994
"515",0.11,0.89
"518",0.23,0.77
"522",0.074,0.926
"523",0.008,0.992
"528",0.184,0.816
"529",0.09,0.91
"534",0.086,0.914
"536",0.028,0.972
"539",0.01,0.99
"540",0,1
"541",0.028,0.972
"547",0.042,0.958
"553",0.04,0.96
"561",0.008,0.992
"567",0.226,0.774
"571",0.12,0.88
"574",0.122,0.878
"580",0.002,0.998
"585",0.04,0.96
"590",0.296,0.704
"593",0.024,0.976
"596",0,1
"597",0.002,0.998
"599",0.22,0.78
"607",0.11,0.89
"616",0.028,0.972
"626",0.098,0.902
"627",0.522,0.478
"628",0.66,0.34
"634",0.674,0.326
"635",0.868,0.132
"639",0.664,0.336
"644",0.824,0.176
"647",0.956,0.044
"648",0.738,0.262
"651",0.756,0.244
"652",0.886,0.114
"656",0.958,0.042
"660",0.8,0.2
"663",0.862,0.138
"683",0.732,0.268
"690",0.746,0.254
"700",0.942,0.058
"702",0.752,0.248
"705",0.76,0.24
"713",0.64,0.36
"715",0.756,0.244
"718",0.564,0.436
"727",0.762,0.238
"734",0.78,0.22
"738",0.782,0.218
"743",0.924,0.076
"747",0.898,0.102
"753",0.804,0.196
"754",0.822,0.178
"758",0.878,0.122
"766",0.838,0.162
"768",0.76,0.24
"770",0.854,0.146
"771",0.914,0.086
"774",0.954,0.046
"784",0.814,0.186
"785",0.908,0.092
"790",0.946,0.054
"792",0.988,0.012
"795",0.826,0.174
"800",0.868,0.132
"803",0.966,0.034
"804",0.864,0.136
"806",0.926,0.074
"811",0.964,0.036
"812",0.772,0.228
"818",0.67,0.33
"821",0.688,0.312
"823",0.682,0.318
"826",0.812,0.188
"829",0.862,0.138
"830",0.796,0.204
"838",0.838,0.162
"843",0.87,0.13
"845",0.784,0.216
"846",0.75,0.25
"849",0.758,0.242
"851",0.954,0.046
"852",0.874,0.126
"859",0.744,0.256
"863",0.844,0.156
"868",0.694,0.306
"876",0.872,0.128
"881",0.738,0.262
"892",0.698,0.302
"893",0.756,0.244
"894",0.972,0.028
"896",0.996,0.004
"897",0.746,0.254
"899",0.988,0.012
"924",0.918,0.082
"934",0.856,0.144
"944",0.538,0.462
"945",0.496,0.504
"946",0.36,0.64
"956",0.602,0.398
"958",0.316,0.684
