"","negative","positive"
"2",0.538461538461538,0.461538461538462
"6",0.714285714285714,0.285714285714286
"16",0,1
"17",0,1
"18",0,1
"24",0.176470588235294,0.823529411764706
"26",0,1
"29",0,1
"31",0.176470588235294,0.823529411764706
"37",0,1
"40",0,1
"41",0,1
"42",0,1
"44",0,1
"46",0.137931034482759,0.862068965517241
"50",0,1
"53",0,1
"54",0.176470588235294,0.823529411764706
"57",0.285714285714286,0.714285714285714
"60",0.176470588235294,0.823529411764706
"67",0.176470588235294,0.823529411764706
"78",0,1
"79",0,1
"82",0,1
"97",0,1
"100",0.137931034482759,0.862068965517241
"107",0,1
"109",0,1
"110",0.137931034482759,0.862068965517241
"112",0.137931034482759,0.862068965517241
"113",0,1
"121",0,1
"122",0,1
"123",0,1
"128",0,1
"132",0,1
"142",0,1
"146",0.137931034482759,0.862068965517241
"149",0,1
"165",0.192307692307692,0.807692307692308
"173",0,1
"175",0,1
"177",0.75,0.25
"179",0,1
"180",0,1
"185",0,1
"187",0,1
"189",0.137931034482759,0.862068965517241
"190",0,1
"191",0,1
"201",0,1
"202",0,1
"206",0,1
"207",0,1
"211",0,1
"216",0,1
"220",0,1
"221",0,1
"225",0,1
"231",0,1
"234",0.176470588235294,0.823529411764706
"237",0,1
"241",0.137931034482759,0.862068965517241
"246",0.192307692307692,0.807692307692308
"247",0,1
"250",0,1
"251",0,1
"254",0,1
"258",0,1
"266",0,1
"273",0,1
"275",0.285714285714286,0.714285714285714
"277",0,1
"278",0,1
"283",0,1
"284",0,1
"291",0,1
"295",0,1
"296",0,1
"298",0.538461538461538,0.461538461538462
"307",0.266666666666667,0.733333333333333
"308",0.266666666666667,0.733333333333333
"309",0,1
"313",0,1
"314",0,1
"315",0.137931034482759,0.862068965517241
"317",0.266666666666667,0.733333333333333
"323",0.19047619047619,0.80952380952381
"327",0.19047619047619,0.80952380952381
"329",0.1,0.9
"330",0.192307692307692,0.807692307692308
"331",0.19047619047619,0.80952380952381
"336",0.19047619047619,0.80952380952381
"338",0.192307692307692,0.807692307692308
"349",0.0666666666666667,0.933333333333333
"350",0,1
"358",0,1
"359",0.137931034482759,0.862068965517241
"363",0.0666666666666667,0.933333333333333
"364",0,1
"366",0,1
"389",0.1,0.9
"395",0.0666666666666667,0.933333333333333
"396",0,1
"398",0,1
"401",0,1
"404",0.1,0.9
"409",0,1
"418",0,1
"422",0,1
"425",0,1
"429",0.538461538461538,0.461538461538462
"434",0,1
"436",0,1
"442",0.1,0.9
"447",0.0666666666666667,0.933333333333333
"449",0,1
"452",0,1
"454",0.176470588235294,0.823529411764706
"459",0.19047619047619,0.80952380952381
"461",0.19047619047619,0.80952380952381
"462",0.19047619047619,0.80952380952381
"464",0.19047619047619,0.80952380952381
"466",0.1,0.9
"470",0.19047619047619,0.80952380952381
"472",0.19047619047619,0.80952380952381
"476",0.0666666666666667,0.933333333333333
"478",0,1
"484",0,1
"486",0,1
"488",0,1
"491",0.176470588235294,0.823529411764706
"493",0,1
"494",0,1
"504",0,1
"508",0,1
"512",0,1
"515",0.192307692307692,0.807692307692308
"518",0.137931034482759,0.862068965517241
"522",0,1
"523",0,1
"528",0.137931034482759,0.862068965517241
"529",0,1
"534",0,1
"536",0,1
"539",0,1
"540",0,1
"541",0,1
"547",0,1
"553",0,1
"561",0,1
"567",0.192307692307692,0.807692307692308
"571",0,1
"574",0,1
"580",0,1
"585",0.1,0.9
"590",0.538461538461538,0.461538461538462
"593",0,1
"596",0,1
"597",0,1
"599",0.176470588235294,0.823529411764706
"607",0.266666666666667,0.733333333333333
"616",0,1
"626",0.1,0.9
"627",0.137931034482759,0.862068965517241
"628",1,0
"634",0.714285714285714,0.285714285714286
"635",1,0
"639",0.137931034482759,0.862068965517241
"644",1,0
"647",1,0
"648",1,0
"651",1,0
"652",1,0
"656",1,0
"660",1,0
"663",1,0
"683",1,0
"690",0.75,0.25
"700",0.714285714285714,0.285714285714286
"702",0.75,0.25
"705",0.75,0.25
"713",0.176470588235294,0.823529411764706
"715",1,0
"718",0.137931034482759,0.862068965517241
"727",1,0
"734",1,0
"738",1,0
"743",1,0
"747",0.538461538461538,0.461538461538462
"753",1,0
"754",1,0
"758",1,0
"766",1,0
"768",1,0
"770",0.176470588235294,0.823529411764706
"771",1,0
"774",1,0
"784",0.19047619047619,0.80952380952381
"785",1,0
"790",1,0
"792",1,0
"795",1,0
"800",1,0
"803",1,0
"804",1,0
"806",1,0
"811",1,0
"812",1,0
"818",1,0
"821",1,0
"823",0.1,0.9
"826",1,0
"829",1,0
"830",1,0
"838",1,0
"843",1,0
"845",1,0
"846",1,0
"849",0.266666666666667,0.733333333333333
"851",1,0
"852",0.538461538461538,0.461538461538462
"859",1,0
"863",1,0
"868",1,0
"876",1,0
"881",0.538461538461538,0.461538461538462
"892",1,0
"893",1,0
"894",1,0
"896",1,0
"897",1,0
"899",1,0
"924",1,0
"934",1,0
"944",0,1
"945",0,1
"946",0.137931034482759,0.862068965517241
"956",0.266666666666667,0.733333333333333
"958",0.0666666666666667,0.933333333333333
