"","X2","X1"
"5",0.26,0.74
"10",0.75,0.25
"11",0.064,0.936
"13",0.228,0.772
"18",0.438,0.562
"20",0.552,0.448
"21",0.552,0.448
"25",0.794,0.206
"26",0.076,0.924
"28",0.63,0.37
"31",0.644,0.356
"32",0.09,0.91
"37",0.762,0.238
"39",0.438,0.562
"46",0.368,0.632
"52",0.742,0.258
"53",0.438,0.562
"55",0.21,0.79
"56",0.072,0.928
"57",0.582,0.418
"69",0.364,0.636
"74",0.618,0.382
"75",0.618,0.382
"80",0.618,0.382
"82",0.916,0.084
"85",0.788,0.212
"87",0.526,0.474
"90",0.114,0.886
"92",0.526,0.474
"94",0.526,0.474
"97",0.516,0.484
"100",0.794,0.206
"116",0.524,0.476
"124",0.8,0.2
"125",0.972,0.028
"143",0.214,0.786
"144",0.214,0.786
"151",0.986,0.014
"155",0.998,0.002
"161",0.998,0.002
"162",0.998,0.002
"167",0.998,0.002
"170",0.998,0.002
"174",0.998,0.002
"176",0.97,0.03
"181",0.786,0.214
"187",0.208,0.792
"191",0.918,0.082
"192",0.918,0.082
"194",0.634,0.366
"196",0.946,0.054
"197",0.71,0.29
"201",0.964,0.036
"207",0.746,0.254
"209",1,0
"214",0.994,0.006
"217",0.994,0.006
"219",0.994,0.006
"220",0.994,0.006
"231",0.994,0.006
"234",0.72,0.28
"237",0.808,0.192
"239",0.776,0.224
"240",0.768,0.232
"241",0.614,0.386
"242",0.508,0.492
"246",0.632,0.368
"247",0.638,0.362
"248",0.878,0.122
"252",0.956,0.044
"256",0.72,0.28
"259",0.61,0.39
"266",0.776,0.224
"268",0.548,0.452
"271",0.854,0.146
"276",0.828,0.172
"280",0.49,0.51
"286",0.908,0.092
"293",0.728,0.272
"297",0.29,0.71
"300",0.948,0.052
"301",0.948,0.052
"304",0.624,0.376
"305",0.918,0.082
"312",0.682,0.318
"313",0.84,0.16
"319",0.812,0.188
"322",0.958,0.042
"331",0.974,0.026
"332",0.982,0.018
"333",0.982,0.018
"335",0.938,0.062
"342",0.776,0.224
"343",0.9,0.1
"353",0.908,0.092
"356",0.896,0.104
"364",0.88,0.12
"367",0.854,0.146
"368",0.856,0.144
"375",0.848,0.152
"376",0.846,0.154
"378",1,0
"386",0.99,0.01
"388",1,0
"393",0.83,0.17
"402",0.92,0.08
"404",1,0
"406",0.926,0.074
"407",1,0
"410",1,0
"413",1,0
"419",1,0
"424",0.98,0.02
"430",0.96,0.04
"433",0.996,0.004
"434",0.988,0.012
"437",0.95,0.05
"438",0.996,0.004
"445",0.964,0.036
"447",0.99,0.01
"453",0.996,0.004
"463",1,0
"467",0.99,0.01
"474",0.978,0.022
"475",0.916,0.084
"478",1,0
"481",1,0
"483",1,0
"484",1,0
"487",0.996,0.004
"489",0.946,0.054
"490",1,0
"498",0.962,0.038
"500",0.972,0.028
"505",0.19,0.81
"506",0.306,0.694
"508",0.704,0.296
"514",0.086,0.914
"516",0.618,0.382
"524",0.48,0.52
"525",0.368,0.632
"530",0.438,0.562
"539",0.116,0.884
"541",0.788,0.212
"550",0.442,0.558
"553",0.906,0.094
"560",0.636,0.364
"564",0.834,0.166
"568",0.944,0.056
"569",0.866,0.134
"575",0.83,0.17
"578",0.89,0.11
"579",0.732,0.268
"586",0.998,0.002
"589",0.998,0.002
"593",0.984,0.016
"598",0.266,0.734
"600",0.93,0.07
"602",0.684,0.316
"606",0.868,0.132
"607",0.984,0.016
"615",0.994,0.006
"620",0.994,0.006
"627",0.692,0.308
"632",0.994,0.006
"633",0.774,0.226
"639",0.94,0.06
"641",0.476,0.524
"646",0.948,0.052
"654",0.972,0.028
"664",0.768,0.232
"666",0.996,0.004
"669",0.996,0.004
"696",0.952,0.048
"699",0.988,0.012
"706",1,0
"712",0.994,0.006
"715",1,0
"717",0.946,0.054
"719",0.998,0.002
"724",0.996,0.004
"729",1,0
"733",1,0
"737",1,0
"739",1,0
"741",1,0
"747",0.964,0.036
