"","B","M"
"8",2.90067969643815e-12,0.999999999997099
"13",2.90067969643815e-12,0.999999999997099
"14",2.90067969643815e-12,0.999999999997099
"15",2.90067969643815e-12,0.999999999997099
"16",2.90067969643815e-12,0.999999999997099
"18",2.90067969643815e-12,0.999999999997099
"22",2.90067969643815e-12,0.999999999997099
"25",2.90067969643815e-12,0.999999999997099
"35",2.90067969643815e-12,0.999999999997099
"39",2.90067969643815e-12,0.999999999997099
"48",2.90067969643815e-12,0.999999999997099
"49",2.90067969643815e-12,0.999999999997099
"52",2.90067969643815e-12,0.999999999997099
"55",2.90067969643815e-12,0.999999999997099
"58",2.90067969643815e-12,0.999999999997099
"60",2.90067969643815e-12,0.999999999997099
"70",2.90067969643815e-12,0.999999999997099
"71",2.90067969643815e-12,0.999999999997099
"75",2.90067969643815e-12,0.999999999997099
"76",2.90067969643815e-12,0.999999999997099
"81",2.90067969643815e-12,0.999999999997099
"82",2.90067969643815e-12,0.999999999997099
"96",2.90067969643815e-12,0.999999999997099
"97",2.90067969643815e-12,0.999999999997099
"101",2.90067969643815e-12,0.999999999997099
"103",2.90067969643815e-12,0.999999999997099
"105",2.90067969643815e-12,0.999999999997099
"106",2.90067969643815e-12,0.999999999997099
"112",2.90067969643815e-12,0.999999999997099
"113",2.90067969643815e-12,0.999999999997099
"114",2.90067969643815e-12,0.999999999997099
"118",2.90067969643815e-12,0.999999999997099
"119",2.90067969643815e-12,0.999999999997099
"121",2.90067969643815e-12,0.999999999997099
"127",2.90067969643815e-12,0.999999999997099
"133",2.90067969643815e-12,0.999999999997099
"134",2.90067969643815e-12,0.999999999997099
"135",2.90067969643815e-12,0.999999999997099
"137",2.90067969643815e-12,0.999999999997099
"138",2.90067969643815e-12,0.999999999997099
"144",2.90067969643815e-12,0.999999999997099
"149",2.90067969643815e-12,0.999999999997099
"152",2.90067969643815e-12,0.999999999997099
"158",2.90067969643815e-12,0.999999999997099
"161",2.90067969643815e-12,0.999999999997099
"168",2.90067969643815e-12,0.999999999997099
"175",2.90067969643815e-12,0.999999999997099
"177",2.90067969643815e-12,0.999999999997099
"181",2.90067969643815e-12,0.999999999997099
"186",2.90067969643815e-12,0.999999999997099
"189",2.90067969643815e-12,0.999999999997099
"190",2.90067969643815e-12,0.999999999997099
"191",2.90067969643815e-12,0.999999999997099
"200",2.90067969643815e-12,0.999999999997099
"201",2.90067969643815e-12,0.999999999997099
"202",2.90067969643815e-12,0.999999999997099
"206",2.90067969643815e-12,0.999999999997099
"207",2.90067969643815e-12,0.999999999997099
"208",2.90067969643815e-12,0.999999999997099
"209",2.90067969643815e-12,0.999999999997099
"215",2.90067969643815e-12,0.999999999997099
"220",2.90067969643815e-12,0.999999999997099
"222",2.90067969643815e-12,0.999999999997099
"224",2.90067969643815e-12,0.999999999997099
"227",2.90067969643815e-12,0.999999999997099
"230",2.90067969643815e-12,0.999999999997099
"233",2.90067969643815e-12,0.999999999997099
"241",2.90067969643815e-12,0.999999999997099
"242",2.90067969643815e-12,0.999999999997099
"246",2.90067969643815e-12,0.999999999997099
"247",2.90067969643815e-12,0.999999999997099
"250",2.90067969643815e-12,0.999999999997099
"255",2.90067969643815e-12,0.999999999997099
"256",2.90067969643815e-12,0.999999999997099
"258",2.90067969643815e-12,0.999999999997099
"262",2.90067969643815e-12,0.999999999997099
"272",2.90067969643815e-12,0.999999999997099
"273",2.90067969643815e-12,0.999999999997099
"274",2.90067969643815e-12,0.999999999997099
"277",2.90067969643815e-12,0.999999999997099
"281",2.90067969643815e-12,0.999999999997099
"291",2.90067969643815e-12,0.999999999997099
"306",2.90067969643815e-12,0.999999999997099
"312",2.90067969643815e-12,0.999999999997099
"314",2.90067969643815e-12,0.999999999997099
"316",2.90067969643815e-12,0.999999999997099
"317",2.90067969643815e-12,0.999999999997099
"321",2.90067969643815e-12,0.999999999997099
"325",2.90067969643815e-12,0.999999999997099
"327",2.90067969643815e-12,0.999999999997099
"344",2.90067969643815e-12,0.999999999997099
"345",2.90067969643815e-12,0.999999999997099
"350",2.90067969643815e-12,0.999999999997099
"358",2.90067969643815e-12,0.999999999997099
"361",2.90067969643815e-12,0.999999999997099
"366",2.90067969643815e-12,0.999999999997099
"367",2.90067969643815e-12,0.999999999997099
"376",2.90067969643815e-12,0.999999999997099
"389",2.90067969643815e-12,0.999999999997099
"393",2.90067969643815e-12,0.999999999997099
"394",2.90067969643815e-12,0.999999999997099
"395",2.90067969643815e-12,0.999999999997099
"396",2.90067969643815e-12,0.999999999997099
"398",2.90067969643815e-12,0.999999999997099
"400",2.90067969643815e-12,0.999999999997099
"403",2.90067969643815e-12,0.999999999997099
"404",2.90067969643815e-12,0.999999999997099
"410",2.90067969643815e-12,0.999999999997099
"412",2.90067969643815e-12,0.999999999997099
"419",2.90067969643815e-12,0.999999999997099
"422",2.90067969643815e-12,0.999999999997099
"423",2.90067969643815e-12,0.999999999997099
"424",2.90067969643815e-12,0.999999999997099
"425",2.90067969643815e-12,0.999999999997099
"428",2.90067969643815e-12,0.999999999997099
"444",2.90067969643815e-12,0.999999999997099
"446",2.90067969643815e-12,0.999999999997099
"452",2.90067969643815e-12,0.999999999997099
"454",2.90067969643815e-12,0.999999999997099
"455",2.90067969643815e-12,0.999999999997099
"456",2.90067969643815e-12,0.999999999997099
"458",2.90067969643815e-12,0.999999999997099
"474",2.90067969643815e-12,0.999999999997099
"476",2.90067969643815e-12,0.999999999997099
"481",2.90067969643815e-12,0.999999999997099
"482",2.90067969643815e-12,0.999999999997099
"484",2.90067969643815e-12,0.999999999997099
"486",2.90067969643815e-12,0.999999999997099
"495",2.90067969643815e-12,0.999999999997099
"496",2.90067969643815e-12,0.999999999997099
"498",2.90067969643815e-12,0.999999999997099
"504",2.90067969643815e-12,0.999999999997099
"508",2.90067969643815e-12,0.999999999997099
"513",2.90067969643815e-12,0.999999999997099
"519",2.90067969643815e-12,0.999999999997099
"531",2.90067969643815e-12,0.999999999997099
"540",2.90067969643815e-12,0.999999999997099
"541",2.90067969643815e-12,0.999999999997099
"542",2.90067969643815e-12,0.999999999997099
"549",2.90067969643815e-12,0.999999999997099
"558",2.90067969643815e-12,0.999999999997099
"561",2.90067969643815e-12,0.999999999997099
"563",2.90067969643815e-12,0.999999999997099
