"","B","M"
"1",0,1
"2",0,1
"3",0,1
"4",0,1
"5",0,1
"6",0,1
"7",1,0
"8",0,1
"9",0,1
"10",0.666666666666667,0.333333333333333
"11",0,1
"12",1,0
"13",1,0
"14",0,1
"15",0,1
"16",1,0
"17",1,0
"18",0,1
"19",1,0
"20",0.333333333333333,0.666666666666667
"21",1,0
"22",0.666666666666667,0.333333333333333
"23",0,1
"24",0.666666666666667,0.333333333333333
"25",0,1
"26",1,0
"27",1,0
"28",0,1
"29",1,0
"30",1,0
"31",1,0
"32",0,1
"33",0,1
"34",1,0
"35",0,1
"36",0,1
"37",1,0
"38",0,1
"39",0.666666666666667,0.333333333333333
"40",1,0
"41",1,0
"42",1,0
"43",1,0
"44",0.333333333333333,0.666666666666667
"45",1,0
"46",0,1
"47",1,0
"48",1,0
"49",0,1
"50",1,0
"51",1,0
"52",1,0
"53",0,1
"54",0.333333333333333,0.666666666666667
"55",1,0
"56",0,1
"57",0.666666666666667,0.333333333333333
"58",1,0
"59",0,1
"60",1,0
"61",0,1
"62",0,1
"63",0.666666666666667,0.333333333333333
"64",0,1
"65",1,0
"66",0,1
"67",1,0
"68",1,0
"69",1,0
"70",1,0
"71",1,0
"72",1,0
"73",0,1
"74",0.666666666666667,0.333333333333333
"75",0,1
"76",0.333333333333333,0.666666666666667
"77",1,0
"78",0,1
"79",1,0
"80",1,0
"81",0,1
"82",1,0
"83",1,0
"84",1,0
"85",1,0
"86",1,0
"87",1,0
"88",1,0
"89",1,0
"90",1,0
"91",0,1
"92",1,0
"93",1,0
"94",1,0
"95",1,0
"96",0,1
"97",0,1
"98",1,0
"99",1,0
"100",0,1
"101",0,1
"102",1,0
"103",1,0
"104",1,0
"105",1,0
"106",1,0
"107",1,0
"108",1,0
"109",1,0
"110",1,0
"111",0.666666666666667,0.333333333333333
"112",1,0
"113",1,0
"114",1,0
"115",1,0
"116",1,0
"117",1,0
"118",0,1
"119",1,0
"120",1,0
"121",1,0
"122",1,0
"123",1,0
"124",1,0
"125",1,0
"126",1,0
"127",1,0
"128",0.666666666666667,0.333333333333333
"129",1,0
"130",1,0
"131",1,0
"132",0,1
"133",1,0
"134",0,1
"135",1,0
"136",1,0
"137",1,0
"138",1,0
"139",0.333333333333333,0.666666666666667
"140",1,0
"141",1,0
"142",0.666666666666667,0.333333333333333
"143",0,1
