"","B","M"
"8",1,2.52624384570698e-151
"13",1,5.89507977664402e-139
"14",1,6.0131672026753e-156
"15",1,7.0009197529688e-149
"16",1,7.79413809629129e-147
"18",1,1.60247662593726e-136
"22",NA,0
"25",1,3.0082165219186e-141
"35",1,7.74672930691534e-145
"39",1,7.80184518708166e-170
"48",1,3.07562276377213e-153
"49",NA,0
"52",NA,0
"55",1,3.50248450090872e-160
"58",1,5.98430546913007e-149
"60",1,1.39541930737169e-176
"70",NA,0
"71",1,4.02955568008025e-147
"75",NA,0
"76",1,8.48517307084252e-149
"81",1,1.83127034118122e-171
"82",1,1.07374733183833e-156
"96",1,3.28736714412252e-142
"97",NA,0
"101",1,7.73479633239647e-161
"103",NA,0
"105",NA,0
"106",1,1.43923308714846e-150
"112",1,9.7073430950653e-164
"113",1,1.5108086155338e-154
"114",1,1.22139150292855e-172
"118",1,6.74394143870663e-144
"119",1,7.95592878661739e-138
"121",NA,0
"127",1,9.83387688932086e-164
"133",1,7.28034805215685e-150
"134",1,5.84059802111364e-162
"135",1,1.6770217277794e-145
"137",1,1.66702613851435e-173
"138",NA,0
"144",NA,0
"149",1,5.99181918727439e-161
"152",1,1.69812869253255e-156
"158",1,1.01292047125093e-158
"161",1,2.04794869417511e-165
"168",1,1.241705390385e-149
"175",1,2.16706626182711e-191
"177",1,4.25936271030543e-166
"181",1,1.14060624245768e-141
"186",1,6.90572667402839e-188
"189",NA,0
"190",NA,0
"191",1,8.48208564135242e-149
"200",1,1.26615196251623e-153
"201",NA,0
"202",1,2.72503880749872e-146
"206",1,4.82447443376943e-161
"207",NA,0
"208",1,5.47488129545405e-154
"209",1,1.34041623249966e-161
"215",1,4.77999055915491e-150
"220",1,7.83745344925352e-148
"222",1,4.80062902705542e-166
"224",1,1.91948819066794e-148
"227",NA,0
"230",1,2.62456229542256e-151
"233",1,9.1212442478918e-190
"241",NA,0
"242",NA,0
"246",1,5.01735056773542e-176
"247",NA,0
"250",NA,0
"255",1,9.67980564821068e-144
"256",1,2.00868529836955e-157
"258",1,4.0873926130663e-140
"262",1,5.0581472168401e-161
"272",NA,0
"273",1,3.11888814405657e-142
"274",NA,0
"277",NA,0
"281",1,1.93969113379357e-137
"291",1,6.6579703365271e-156
"306",NA,0
"312",1,1.06953467696483e-177
"314",NA,0
"316",1,6.60848156757913e-191
"317",NA,0
"321",1,6.15521602400944e-171
"325",NA,0
"327",NA,0
"344",1,7.49696585400087e-136
"345",NA,0
"350",NA,0
"358",NA,0
"361",1,8.05561309819179e-189
"366",1,7.92371000145037e-149
"367",1,2.45828808132525e-137
"376",1,7.9723400521805e-161
"389",1,1.74206380887139e-170
"393",1,8.38295044719828e-138
"394",1,4.15548772786412e-137
"395",NA,0
"396",NA,0
"398",NA,0
"400",NA,0
"403",NA,0
"404",NA,0
"410",NA,0
"412",NA,0
"419",NA,0
"422",1,2.89962420902663e-153
"423",NA,0
"424",1,4.01798007647111e-161
"425",1,9.96738731911116e-177
"428",NA,0
"444",NA,0
"446",1,1.00464052858711e-168
"452",1,1.13635150003692e-144
"454",1,1.74195420390305e-166
"455",NA,0
"456",1,8.11327473420616e-173
"458",NA,0
"474",1,9.3258197071621e-186
"476",NA,0
"481",NA,0
"482",NA,0
"484",NA,0
"486",1,1.16038556386051e-158
"495",NA,0
"496",1,1.76674367971039e-166
"498",NA,0
"504",1,6.2037074437914e-145
"508",1,7.64415039632527e-174
"513",1,3.75447743817804e-149
"519",1,4.6204040303362e-164
"531",NA,0
"540",1,5.00022961737669e-161
"541",NA,0
"542",1,2.04913095967131e-156
"549",NA,0
"558",1,7.04440152199243e-183
"561",1,1.7557068539684e-163
"563",1,1.232460325396e-142
