"","B","M"
"8",0.17,0.83
"13",0.122,0.878
"14",0.416,0.584
"15",0.174,0.826
"16",0.068,0.932
"18",0.006,0.994
"22",0.986,0.014
"25",0.016,0.984
"35",0.09,0.91
"39",0.774,0.226
"48",0.158,0.842
"49",0.962,0.038
"52",0.992,0.008
"55",0.516,0.484
"58",0.112,0.888
"60",0.946,0.054
"70",0.99,0.01
"71",0.07,0.93
"75",0.992,0.008
"76",0.1,0.9
"81",0.96,0.04
"82",0.37,0.63
"96",0.02,0.98
"97",0.978,0.022
"101",0.518,0.482
"103",0.988,0.012
"105",0.98,0.02
"106",0.194,0.806
"112",0.79,0.21
"113",0.468,0.532
"114",0.958,0.042
"118",0.098,0.902
"119",0.01,0.99
"121",0.974,0.026
"127",0.686,0.314
"133",0.136,0.864
"134",0.638,0.362
"135",0.07,0.93
"137",0.892,0.108
"138",0.99,0.01
"144",0.972,0.028
"149",0.594,0.406
"152",0.556,0.444
"158",0.46,0.54
"161",0.846,0.154
"168",0.146,0.854
"175",0.988,0.012
"177",0.776,0.224
"181",0.036,0.964
"186",0.98,0.02
"189",0.994,0.006
"190",0.98,0.02
"191",0.162,0.838
"200",0.198,0.802
"201",0.962,0.038
"202",0.106,0.894
"206",0.664,0.336
"207",0.99,0.01
"208",0.292,0.708
"209",0.646,0.354
"215",0.134,0.866
"220",0.086,0.914
"222",0.902,0.098
"224",0.102,0.898
"227",0.988,0.012
"230",0.136,0.864
"233",0.974,0.026
"241",0.986,0.014
"242",0.968,0.032
"246",0.974,0.026
"247",0.968,0.032
"250",0.982,0.018
"255",0.022,0.978
"256",0.546,0.454
"258",0.11,0.89
"262",0.522,0.478
"272",0.984,0.016
"273",0.02,0.98
"274",0.988,0.012
"277",0.996,0.004
"281",0.002,0.998
"291",0.548,0.452
"306",0.986,0.014
"312",0.948,0.052
"314",0.974,0.026
"316",0.994,0.006
"317",0.992,0.008
"321",0.968,0.032
"325",1,0
"327",0.984,0.016
"344",0.018,0.982
"345",0.986,0.014
"350",0.968,0.032
"358",1,0
"361",0.956,0.044
"366",0.058,0.942
"367",0.022,0.978
"376",0.696,0.304
"389",0.932,0.068
"393",0.004,0.996
"394",0,1
"395",0.982,0.018
"396",0.998,0.002
"398",0.99,0.01
"400",0.986,0.014
"403",0.986,0.014
"404",0.962,0.038
"410",0.962,0.038
"412",0.994,0.006
"419",0.992,0.008
"422",0.45,0.55
"423",0.974,0.026
"424",0.758,0.242
"425",0.842,0.158
"428",0.976,0.024
"444",0.99,0.01
"446",0.964,0.036
"452",0.066,0.934
"454",0.844,0.156
"455",0.988,0.012
"456",0.96,0.04
"458",0.964,0.036
"474",0.938,0.062
"476",0.962,0.038
"481",0.984,0.016
"482",0.93,0.07
"484",0.962,0.038
"486",0.694,0.306
"495",0.998,0.002
"496",0.814,0.186
"498",0.98,0.02
"504",0.084,0.916
"508",0.954,0.046
"513",0.122,0.878
"519",0.786,0.214
"531",0.892,0.108
"540",0.654,0.346
"541",0.99,0.01
"542",0.596,0.404
"549",0.974,0.026
"558",0.912,0.088
"561",0.816,0.184
"563",0.078,0.922
