"","x"
"1","X2"
"2","X1"
"3","X1"
"4","X2"
"5","X2"
"6","X2"
"7","X2"
"8","X2"
"9","X2"
"10","X1"
"11","X1"
"12","X2"
"13","X1"
"14","X2"
"15","X1"
"16","X1"
"17","X1"
"18","X2"
"19","X2"
"20","X1"
"21","X2"
"22","X2"
"23","X2"
"24","X2"
"25","X2"
"26","X1"
"27","X2"
"28","X2"
"29","X1"
"30","X2"
"31","X1"
"32","X2"
"33","X2"
"34","X2"
"35","X2"
"36","X2"
"37","X2"
"38","X2"
"39","X2"
"40","X1"
"41","X2"
"42","X2"
"43","X2"
"44","X1"
"45","X1"
"46","X1"
"47","X2"
"48","X1"
"49","X1"
"50","X2"
"51","X2"
"52","X2"
"53","X1"
"54","X2"
"55","X2"
"56","X1"
"57","X1"
"58","X2"
"59","X2"
"60","X2"
"61","X2"
"62","X2"
"63","X2"
"64","X2"
"65","X2"
"66","X2"
"67","X2"
"68","X2"
"69","X2"
"70","X1"
"71","X2"
"72","X2"
"73","X2"
"74","X2"
"75","X2"
"76","X2"
"77","X1"
"78","X1"
"79","X1"
"80","X2"
"81","X2"
"82","X2"
"83","X2"
"84","X2"
"85","X2"
"86","X2"
"87","X1"
"88","X2"
"89","X2"
"90","X2"
"91","X2"
"92","X2"
"93","X1"
"94","X2"
"95","X2"
"96","X2"
"97","X2"
"98","X1"
"99","X2"
"100","X2"
"101","X2"
"102","X2"
"103","X2"
"104","X2"
"105","X2"
"106","X2"
"107","X2"
"108","X1"
"109","X1"
"110","X2"
